Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,227,255,244.206,7.942,5320,57,190,98.800,26.006,5320,57,190,98.800,26.006
G2,5320,68,255,216.395,48.048,5320,0,126,58.174,29.733,5320,0,126,58.174,29.733
G3,5320,124,255,231.528,32.194,5320,124,224,185.842,22.879,5320,127,234,191.182,22.294
G4,5320,175,255,230.540,19.940,5320,60,246,167.428,44.969,5320,60,246,167.435,44.976
G5,5320,116,255,230.905,25.846,5320,39,241,152.729,42.642,5320,39,241,152.732,42.647
G6,5320,33,193,125.014,35.894,5320,33,193,125.014,35.894,5320,72,254,209.088,34.305
G7,5320,82,253,195.996,38.643,5320,82,248,192.633,36.412,5320,112,255,218.326,30.340
G8,5320,203,255,235.805,13.709,5320,203,254,234.401,12.965,5320,208,255,243.564,11.650
G9,5320,174,255,238.480,15.089,5320,164,252,233.314,15.959,5320,164,255,244.842,15.811
G10,5320,63,251,172.230,53.950,5320,46,248,156.708,61.291,5320,46,255,165.498,69.014
G11,5320,23,187,137.172,34.705,5320,23,187,137.172,34.705,5320,65,255,224.273,41.264
G12,5320,98,249,198.010,26.439,5320,98,249,197.941,26.424,5320,118,255,239.629,22.373
G13,5320,95,255,218.712,30.584,5320,65,253,213.577,34.110,5320,65,255,218.528,37.557
G14,5320,52,255,212.308,32.377,5320,1,252,187.276,50.473,5320,1,255,194.144,55.254
G15,5320,57,255,212.015,29.780,5320,55,246,207.029,28.642,5320,55,255,224.247,34.681
G16,5320,96,255,219.035,27.347,5320,40,225,135.862,41.800,5320,40,225,135.893,41.858
G17,5320,95,242,187.663,36.053,5320,95,242,187.663,36.053,5320,116,255,227.280,30.884
G18,5320,44,249,169.305,56.686,5320,27,249,157.580,67.327,5320,27,255,160.980,71.122
G19,5320,42,255,206.011,44.439,5320,42,254,177.475,60.445,5320,42,255,179.746,62.569
G20,5320,41,255,196.539,71.455,5320,36,254,193.188,74.617,5320,36,255,194.711,75.691
G21,5320,51,255,170.555,68.692,5320,28,253,157.135,77.715,5320,28,255,159.690,80.431
G22,5320,45,255,192.963,34.699,5320,28,246,169.440,29.459,5320,28,246,169.440,29.459
G23,5320,75,255,204.067,56.289,5320,61,253,184.458,56.776,5320,61,253,184.477,56.790
G24,5320,65,255,165.298,47.773,5320,49,235,138.275,37.649,5320,49,254,146.454,43.075
G25,5320,69,255,209.750,46.154,5320,69,254,208.655,45.216,5320,93,255,233.117,29.300
G26,5320,80,255,219.696,43.845,5320,38,253,177.916,62.888,5320,38,254,178.554,63.571
G27,5320,84,255,224.467,32.896,5320,34,176,114.826,24.158,5320,34,176,114.826,24.158
G28,5320,112,255,185.755,35.305,5320,29,147,72.812,31.453,5320,29,147,72.812,31.453
G29,5320,120,255,234.200,26.259,5320,47,248,197.732,36.394,5320,47,254,203.293,37.485
G30,5320,61,250,159.721,45.828,5320,61,250,159.629,45.691,5320,142,255,225.033,28.802
G31,5320,16,255,153.106,78.674,5320,15,251,127.523,63.614,5320,19,255,185.759,57.936
G32,5320,44,227,164.402,46.886,5320,17,131,90.574,32.591,5320,17,131,90.574,32.591
G33,5320,89,253,160.627,33.529,5320,31,177,79.185,34.736,5320,31,177,79.185,34.736
G34,5320,15,255,183.431,56.536,5320,0,148,31.667,24.506,5320,0,246,31.779,25.041
G35,5320,11,239,87.296,52.234,5320,11,226,86.700,50.964,5320,46,255,174.463,42.119
G36,5320,0,242,97.882,83.248,5320,0,242,96.355,81.874,5320,68,255,195.393,34.901
G37,5320,155,255,227.744,26.644,5320,109,252,184.383,39.034,5320,109,254,189.305,43.494
G38,5320,168,255,245.524,16.166,5320,109,197,149.858,15.552,5320,109,197,149.858,15.552
G39,5320,29,255,186.696,57.865,5320,29,190,124.650,35.683,5320,43,230,131.473,31.793
G40,5320,0,164,16.460,21.864,5320,0,164,16.460,21.864,5320,107,241,204.817,25.528
G41,5320,0,255,141.532,81.087,5320,0,240,138.564,77.451,5320,129,255,211.767,30.702
G42,5320,69,255,209.710,37.863,5320,57,231,176.834,32.228,5320,57,243,179.952,34.011
G43,5320,0,185,13.681,33.555,5320,0,185,13.681,33.555,5320,83,255,224.023,35.847
G44,5320,0,245,146.687,48.935,5320,0,204,139.370,44.177,5320,61,254,184.381,39.856
G45,5320,21,255,112.725,63.007,5320,21,255,110.488,59.351,5320,32,255,146.295,53.785
G46,5320,117,247,164.947,27.168,5320,115,235,164.000,25.988,5320,121,255,236.569,22.252
