Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,193,255,241.670,11.459,5320,35,174,85.887,25.548,5320,35,174,85.887,25.548
G2,5320,81,255,214.306,48.102,5320,0,105,51.486,27.240,5320,0,105,51.486,27.240
G3,5320,130,255,232.490,29.283,5320,107,216,162.039,21.648,5320,107,217,164.868,24.631
G4,5320,166,255,237.080,15.648,5320,64,177,134.302,22.481,5320,64,177,134.302,22.481
G5,5320,50,255,225.376,41.107,5320,0,137,85.723,28.164,5320,0,137,85.723,28.164
G6,5320,29,198,128.595,38.472,5320,29,198,128.595,38.472,5320,65,253,200.936,38.097
G7,5320,105,255,211.663,38.180,5320,105,254,189.029,31.056,5320,131,255,199.178,29.974
G8,5320,199,255,238.786,15.070,5320,99,194,134.997,17.392,5320,99,194,134.997,17.392
G9,5320,207,255,248.150,9.950,5320,74,125,106.176,7.801,5320,74,125,106.176,7.801
G10,5320,40,255,182.380,43.407,5320,25,193,122.695,32.260,5320,25,193,122.976,32.484
G11,5320,33,213,160.857,35.998,5320,33,213,160.857,35.998,5320,77,255,230.848,35.275
G12,5320,110,255,223.624,22.841,5320,110,254,210.772,21.630,5320,114,255,229.120,29.306
G13,5320,74,255,223.560,31.671,5320,0,192,108.185,36.323,5320,0,192,108.185,36.323
G14,5320,51,255,209.042,51.445,5320,0,248,140.613,65.757,5320,0,248,140.613,65.757
G15,5320,49,255,207.676,42.454,5320,31,249,191.705,54.095,5320,31,249,191.731,54.119
G16,5320,62,251,126.764,46.547,5320,54,246,110.579,45.401,5320,54,246,110.615,45.389
G17,5320,111,255,209.326,37.803,5320,111,252,202.005,32.446,5320,116,255,218.859,29.850
G18,5320,60,255,207.693,47.987,5320,0,229,136.153,65.564,5320,0,229,136.153,65.564
G19,5320,53,255,216.057,42.978,5320,0,245,179.198,55.659,5320,0,245,179.204,55.658
G20,5320,138,255,221.369,35.370,5320,138,252,218.588,33.740,5320,163,255,226.809,25.021
G21,5320,94,255,189.354,40.343,5320,93,253,187.607,40.665,5320,94,255,203.463,47.797
G22,5320,50,248,204.536,32.786,5320,50,245,193.326,29.317,5320,53,252,195.284,29.646
G23,5320,218,255,250.038,7.416,5320,81,211,172.028,25.772,5320,81,211,172.028,25.772
G24,5320,133,255,249.526,16.185,5320,72,234,171.720,37.634,5320,72,235,171.964,37.896
G25,5320,78,255,168.936,41.904,5320,78,246,166.884,39.154,5320,112,255,208.900,34.683
G26,5320,78,251,179.307,31.238,5320,78,249,179.089,31.092,5320,110,255,226.879,30.336
G27,5320,83,255,225.985,31.740,5320,59,247,189.303,34.558,5320,59,255,191.675,37.260
G28,5320,103,255,182.482,36.660,5320,37,169,88.498,37.513,5320,37,169,88.498,37.513
G29,5320,139,255,210.411,38.232,5320,60,234,125.810,51.663,5320,60,237,127.420,53.249
G30,5320,88,255,189.067,44.238,5320,88,252,187.528,42.272,5320,185,255,239.257,14.423
G31,5320,27,198,146.369,29.324,5320,25,197,144.419,29.796,5320,25,255,215.660,43.162
G32,5320,38,227,172.011,44.870,5320,29,220,122.581,38.669,5320,29,225,123.760,40.476
G33,5320,86,255,161.523,41.363,5320,20,173,84.411,38.068,5320,20,173,84.411,38.068
G34,5320,50,255,181.248,60.212,5320,0,150,31.862,26.782,5320,0,255,32.030,27.593
G35,5320,77,173,121.917,23.768,5320,77,173,121.917,23.768,5320,145,255,216.598,23.378
G36,5320,46,254,153.214,55.919,5320,46,248,149.716,52.711,5320,58,255,217.983,37.607
G37,5320,155,255,231.723,25.668,5320,114,246,175.447,36.676,5320,114,247,175.917,37.390
G38,5320,182,255,244.871,16.182,5320,97,175,133.901,16.598,5320,97,175,133.901,16.598
G39,5320,19,255,184.530,61.085,5320,19,184,118.887,34.835,5320,36,247,128.375,33.534
G40,5320,44,225,107.741,29.168,5320,44,225,107.741,29.167,5320,76,255,189.699,33.616
G41,5320,67,255,188.586,55.448,5320,67,251,177.055,45.944,5320,98,255,202.851,29.029
G42,5320,56,255,213.340,39.606,5320,53,239,165.469,34.234,5320,53,241,165.855,34.678
G43,5320,0,218,40.599,46.034,5320,0,218,40.599,46.034,5320,87,255,220.075,36.286
G44,5320,12,238,167.988,40.248,5320,12,215,151.051,33.735,5320,49,252,174.980,42.157
G45,5320,32,255,128.308,58.978,5320,32,255,124.717,54.483,5320,40,255,149.918,53.011
G46,5320,122,246,166.491,30.089,5320,118,227,164.912,28.171,5320,119,255,235.877,23.762
