Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,192,255,240.974,11.813,5320,46,183,98.643,27.782,5320,46,183,98.643,27.782
G2,5320,71,255,215.936,46.434,5320,0,132,62.954,30.093,5320,0,132,62.954,30.093
G3,5320,137,255,232.569,29.344,5320,133,225,187.068,19.095,5320,134,229,190.560,19.680
G4,5320,169,255,229.625,19.852,5320,69,243,167.457,42.604,5320,69,243,167.496,42.635
G5,5320,126,255,225.414,25.101,5320,49,247,154.640,41.399,5320,49,251,154.946,41.828
G6,5320,30,210,128.995,38.468,5320,30,210,128.995,38.468,5320,62,254,209.878,35.623
G7,5320,84,255,200.090,39.301,5320,84,251,196.271,37.420,5320,113,255,217.225,32.617
G8,5320,199,255,233.185,15.540,5320,199,254,231.286,14.291,5320,201,255,240.787,14.357
G9,5320,162,255,228.677,19.297,5320,162,253,227.023,18.256,5320,189,255,249.665,9.367
G10,5320,48,246,131.894,42.245,5320,48,244,130.291,40.628,5320,50,246,163.349,46.466
G11,5320,32,195,142.591,37.878,5320,32,195,142.591,37.878,5320,74,255,221.854,44.683
G12,5320,101,254,208.143,26.564,5320,101,252,207.662,26.452,5320,116,255,240.799,22.863
G13,5320,153,255,220.022,25.510,5320,141,252,211.844,29.449,5320,141,255,215.927,32.933
G14,5320,111,255,208.808,33.345,5320,111,233,198.257,25.412,5320,126,255,211.227,24.987
G15,5320,85,252,141.132,33.183,5320,78,227,136.502,26.937,5320,78,234,169.202,34.066
G16,5320,108,255,197.894,36.841,5320,99,251,191.173,33.537,5320,99,255,228.863,23.746
G17,5320,101,255,204.470,40.589,5320,101,248,197.031,34.146,5320,116,255,218.805,28.207
G18,5320,167,255,231.550,20.699,5320,70,236,168.070,43.269,5320,70,236,168.070,43.269
G19,5320,34,255,238.135,38.518,5320,22,217,143.179,37.769,5320,22,217,143.179,37.769
G20,5320,13,255,172.453,59.276,5320,0,190,104.860,41.550,5320,0,190,104.860,41.550
G21,5320,36,255,182.418,64.366,5320,0,250,126.591,91.001,5320,0,250,126.634,91.003
G22,5320,47,250,188.793,43.223,5320,43,230,172.180,34.301,5320,43,230,172.563,34.124
G23,5320,202,255,246.209,10.734,5320,24,188,100.841,43.544,5320,24,188,100.841,43.544
G24,5320,60,255,202.553,39.901,5320,0,218,105.504,62.918,5320,0,218,105.504,62.918
G25,5320,63,255,195.343,38.653,5320,41,252,182.450,39.419,5320,41,252,183.719,39.788
G26,5320,113,255,215.191,30.238,5320,102,253,199.242,32.680,5320,102,254,200.233,33.420
G27,5320,86,255,219.616,27.896,5320,40,226,153.031,29.662,5320,40,226,153.031,29.662
G28,5320,92,254,183.751,38.808,5320,32,154,78.428,32.830,5320,32,154,78.428,32.830
G29,5320,114,255,230.362,30.668,5320,0,190,52.847,68.193,5320,0,190,52.847,68.193
G30,5320,143,255,217.012,19.094,5320,119,244,197.430,18.439,5320,119,255,202.466,23.391
G31,5320,37,251,198.394,43.477,5320,30,251,189.876,47.110,5320,30,255,196.199,49.922
G32,5320,38,241,179.919,45.941,5320,21,177,121.254,36.432,5320,21,177,121.254,36.432
G33,5320,86,250,164.611,34.246,5320,29,164,82.557,33.037,5320,29,164,82.557,33.037
G34,5320,45,255,182.113,56.274,5320,0,118,39.155,27.448,5320,0,118,39.156,27.449
G35,5320,0,255,122.704,75.081,5320,0,233,119.231,70.302,5320,153,255,234.652,16.680
G36,5320,0,239,112.209,100.795,5320,0,238,108.975,98.112,5320,61,255,218.518,36.777
G37,5320,151,255,221.577,18.669,5320,103,235,175.113,29.138,5320,103,250,176.621,31.492
G38,5320,143,255,245.758,16.391,5320,90,174,140.123,12.949,5320,90,174,140.123,12.949
G39,5320,19,255,185.519,62.267,5320,19,188,123.060,34.632,5320,38,226,131.787,34.179
G40,5320,0,215,95.765,52.574,5320,0,215,95.765,52.574,5320,83,244,195.213,34.272
G41,5320,82,255,185.033,49.318,5320,82,253,174.961,39.545,5320,122,255,199.582,29.207
G42,5320,66,255,213.179,40.105,5320,56,242,164.303,33.062,5320,56,242,164.506,33.302
G43,5320,0,227,48.074,46.719,5320,0,227,48.071,46.708,5320,94,255,219.800,34.834
G44,5320,34,238,166.045,40.556,5320,34,222,150.447,32.706,5320,40,240,175.333,39.328
G45,5320,30,255,122.802,58.455,5320,30,255,119.861,54.600,5320,38,255,145.261,52.487
G46,5320,125,248,181.014,26.906,5320,119,239,178.763,24.385,5320,120,255,233.853,25.955
