Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,203,255,242.588,10.229,5320,38,174,80.097,27.239,5320,38,174,80.097,27.239
G2,5320,65,255,213.580,48.919,5320,0,105,32.624,25.689,5320,0,105,32.624,25.689
G3,5320,133,255,233.549,27.497,5320,107,217,171.003,23.266,5320,107,224,173.478,25.364
G4,5320,137,255,224.358,25.808,5320,34,220,141.699,45.698,5320,34,220,141.699,45.698
G5,5320,104,255,229.085,28.465,5320,9,194,105.888,40.410,5320,9,194,105.888,40.410
G6,5320,36,203,134.659,34.790,5320,36,203,134.659,34.790,5320,88,254,209.298,27.805
G7,5320,109,255,211.262,35.862,5320,109,250,199.320,30.939,5320,138,255,210.160,26.740
G8,5320,201,255,242.236,14.080,5320,181,243,220.374,15.431,5320,181,243,220.374,15.431
G9,5320,138,255,231.596,29.524,5320,79,230,173.344,34.582,5320,79,230,173.344,34.582
G10,5320,75,255,181.074,35.981,5320,30,157,117.087,28.622,5320,30,157,117.087,28.622
G11,5320,28,214,164.028,39.608,5320,28,214,164.028,39.608,5320,66,255,233.422,37.673
G12,5320,113,255,226.829,23.231,5320,113,251,217.363,23.314,5320,115,255,233.127,28.022
G13,5320,85,255,223.902,33.068,5320,0,223,141.374,49.898,5320,0,223,141.374,49.898
G14,5320,119,255,197.408,36.422,5320,0,206,53.140,65.567,5320,0,206,53.140,65.567
G15,5320,151,255,224.555,20.650,5320,0,153,47.566,51.891,5320,0,153,47.566,51.891
G16,5320,85,255,212.123,39.453,5320,20,140,99.274,20.828,5320,20,140,99.274,20.828
G17,5320,111,255,215.205,34.367,5320,111,243,200.070,25.395,5320,115,255,211.839,27.386
G18,5320,49,255,171.010,63.381,5320,0,203,77.743,69.957,5320,0,203,77.743,69.957
G19,5320,49,232,159.104,39.987,5320,0,114,1.591,11.595,5320,0,114,1.591,11.595
G20,5320,26,255,191.450,52.633,5320,0,173,55.823,65.228,5320,0,173,55.823,65.228
G21,5320,44,255,175.901,63.690,5320,7,116,72.651,27.309,5320,7,116,72.651,27.309
G22,5320,46,255,220.930,33.302,5320,24,122,92.147,18.981,5320,24,122,92.147,18.981
G23,5320,80,255,205.260,57.993,5320,0,179,78.613,65.198,5320,0,179,78.613,65.198
G24,5320,58,253,162.666,48.042,5320,0,166,14.112,34.092,5320,0,166,14.112,34.092
G25,5320,130,255,238.773,24.435,5320,44,188,154.210,26.037,5320,44,188,154.210,26.037
G26,5320,148,255,218.112,26.744,5320,10,134,61.140,37.688,5320,10,134,61.140,37.688
G27,5320,85,255,231.999,30.566,5320,0,58,16.270,12.380,5320,0,58,16.270,12.380
G28,5320,91,255,180.669,39.187,5320,0,59,12.713,15.782,5320,0,59,12.713,15.782
G29,5320,94,255,212.032,40.067,5320,0,228,88.935,62.058,5320,0,228,89.340,62.861
G30,5320,178,255,236.744,21.090,5320,135,243,191.116,22.416,5320,135,244,192.244,23.840
G31,5320,45,255,204.720,44.170,5320,20,165,91.294,38.953,5320,20,165,91.294,38.953
G32,5320,38,251,167.989,47.815,5320,0,105,51.328,31.236,5320,0,105,51.328,31.236
G33,5320,75,255,164.319,44.907,5320,1,158,62.263,45.437,5320,1,158,62.263,45.437
G34,5320,50,255,179.015,60.272,5320,0,197,25.570,31.868,5320,0,255,26.431,36.272
G35,5320,75,210,151.203,33.787,5320,75,209,150.180,32.537,5320,159,255,230.904,21.588
G36,5320,11,252,156.178,58.750,5320,11,249,149.201,55.557,5320,35,255,206.236,41.760
G37,5320,146,255,231.052,30.129,5320,79,254,174.158,49.415,5320,79,254,175.703,51.084
G38,5320,183,255,243.643,15.495,5320,94,188,128.642,15.866,5320,94,188,128.642,15.866
G39,5320,21,255,183.681,59.599,5320,21,179,116.202,31.195,5320,34,231,123.772,31.370
G40,5320,0,187,9.819,21.525,5320,0,187,9.819,21.525,5320,129,255,222.665,21.524
G41,5320,15,255,152.358,83.813,5320,15,243,146.358,77.668,5320,122,255,210.141,30.139
G42,5320,66,255,210.334,40.069,5320,57,223,168.547,35.135,5320,57,236,170.189,36.353
G43,5320,0,198,22.999,40.152,5320,0,198,22.999,40.152,5320,85,255,223.391,34.912
G44,5320,48,245,163.794,41.365,5320,36,193,147.582,30.764,5320,36,234,174.584,36.262
G45,5320,25,255,123.602,59.089,5320,25,255,119.914,54.401,5320,42,255,148.131,51.530
G46,5320,123,248,179.860,24.800,5320,120,236,177.805,22.499,5320,122,255,236.859,22.971
