Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,224,255,244.568,7.624,5320,59,190,103.414,27.240,5320,59,190,103.414,27.240
G2,5320,76,255,216.586,47.634,5320,0,137,58.252,34.806,5320,0,137,58.252,34.806
G3,5320,128,255,230.726,32.988,5320,128,228,189.697,23.066,5320,136,230,195.879,21.557
G4,5320,186,255,230.284,18.874,5320,65,239,164.607,40.681,5320,65,239,164.607,40.681
G5,5320,162,255,230.651,21.210,5320,49,189,120.955,32.457,5320,49,189,120.955,32.457
G6,5320,27,198,119.704,35.371,5320,27,198,119.704,35.371,5320,70,251,207.260,37.032
G7,5320,88,255,194.535,42.907,5320,88,251,191.314,40.680,5320,128,255,217.253,30.623
G8,5320,183,255,234.471,18.831,5320,182,254,228.117,17.965,5320,182,254,228.925,18.635
G9,5320,206,255,250.121,9.309,5320,125,242,204.971,24.607,5320,125,242,204.974,24.611
G10,5320,166,255,221.658,21.284,5320,96,186,144.800,18.445,5320,96,186,144.800,18.445
G11,5320,30,184,135.856,33.914,5320,30,184,135.856,33.914,5320,75,255,223.752,41.091
G12,5320,100,254,200.934,28.958,5320,100,250,200.192,28.362,5320,118,255,240.174,22.232
G13,5320,153,255,224.897,28.585,5320,133,250,199.951,31.226,5320,133,253,200.034,31.301
G14,5320,49,255,235.283,31.713,5320,32,237,182.467,32.314,5320,32,237,182.467,32.314
G15,5320,43,255,198.596,48.542,5320,27,220,129.429,43.989,5320,27,220,129.429,43.989
G16,5320,45,255,184.006,57.256,5320,45,234,162.538,44.494,5320,49,235,171.583,43.642
G17,5320,96,255,193.970,40.317,5320,96,254,193.203,39.575,5320,114,255,224.933,29.944
G18,5320,119,255,209.283,38.195,5320,101,253,189.879,40.305,5320,101,253,189.921,40.357
G19,5320,86,255,190.925,44.728,5320,71,243,170.602,44.543,5320,71,243,170.602,44.543
G20,5320,171,255,243.708,12.063,5320,140,243,209.393,14.118,5320,140,243,209.393,14.118
G21,5320,40,255,222.702,37.623,5320,40,218,168.383,25.105,5320,44,218,168.456,24.903
G22,5320,57,255,212.694,43.487,5320,57,187,147.381,24.395,5320,60,187,147.536,24.115
G23,5320,215,255,247.406,8.280,5320,127,225,185.305,21.696,5320,127,225,185.305,21.696
G24,5320,187,255,232.986,18.337,5320,100,231,174.071,32.250,5320,100,231,174.071,32.250
G25,5320,222,255,250.706,6.920,5320,179,244,212.047,16.630,5320,179,244,212.047,16.630
G26,5320,161,255,229.465,23.230,5320,60,219,127.205,44.226,5320,60,219,127.205,44.226
G27,5320,85,255,231.892,28.236,5320,19,123,78.725,18.996,5320,19,123,78.725,18.996
G28,5320,96,255,191.306,36.261,5320,16,121,57.442,26.681,5320,16,121,57.442,26.681
G29,5320,108,255,212.202,35.106,5320,61,247,154.963,46.320,5320,61,249,155.003,46.387
G30,5320,202,255,242.720,12.611,5320,190,253,217.624,13.121,5320,190,255,220.668,16.903
G31,5320,44,255,205.221,47.667,5320,22,247,144.788,59.773,5320,22,254,145.791,61.075
G32,5320,35,227,172.314,44.905,5320,8,141,86.887,37.629,5320,8,141,86.887,37.629
G33,5320,81,248,163.014,31.570,5320,19,155,71.651,33.019,5320,19,155,71.651,33.019
G34,5320,42,255,181.610,55.956,5320,0,108,35.143,28.013,5320,0,168,35.189,28.121
G35,5320,107,243,151.488,26.078,5320,107,242,151.488,26.076,5320,175,255,227.435,15.915
G36,5320,57,243,170.314,50.871,5320,57,237,165.014,47.196,5320,77,255,217.040,35.282
G37,5320,165,255,227.658,17.730,5320,127,235,177.518,27.596,5320,127,250,179.276,30.407
G38,5320,142,255,248.768,13.453,5320,86,173,134.595,13.845,5320,86,173,134.595,13.845
G39,5320,22,255,187.998,60.438,5320,22,185,122.829,32.798,5320,37,236,132.017,35.598
G40,5320,40,212,111.055,33.239,5320,40,212,111.055,33.239,5320,90,250,199.672,33.442
G41,5320,77,255,183.707,49.361,5320,77,253,173.916,39.522,5320,148,254,200.993,26.313
G42,5320,74,255,213.417,37.758,5320,62,240,163.428,32.038,5320,62,241,163.515,32.162
G43,5320,0,235,44.831,50.551,5320,0,234,44.821,50.496,5320,115,255,217.971,34.036
G44,5320,36,239,167.779,33.694,5320,36,222,148.726,26.485,5320,58,237,165.288,31.246
G45,5320,22,255,121.271,58.019,5320,22,255,118.427,54.283,5320,30,255,138.672,52.059
G46,5320,118,243,159.854,27.064,5320,118,225,159.036,25.865,5320,127,255,235.066,20.827
