Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,226,255,245.556,7.631,5320,59,202,107.973,29.862,5320,59,202,107.973,29.862
G2,5320,66,255,213.944,49.024,5320,4,148,59.106,33.537,5320,4,148,59.106,33.537
G3,5320,117,255,226.882,38.598,5320,117,248,197.728,31.193,5320,140,248,208.136,23.829
G4,5320,182,255,232.192,14.256,5320,75,252,162.118,38.729,5320,75,253,162.293,38.982
G5,5320,80,255,239.590,26.308,5320,22,160,105.798,29.938,5320,22,160,105.798,29.938
G6,5320,19,155,95.326,30.655,5320,19,155,95.326,30.655,5320,65,254,203.349,37.334
G7,5320,81,253,179.726,44.133,5320,81,249,179.327,43.710,5320,138,255,220.849,30.444
G8,5320,172,254,221.766,17.932,5320,156,252,220.833,19.344,5320,156,255,237.453,21.133
G9,5320,152,255,227.244,24.258,5320,86,251,163.928,46.237,5320,86,255,165.492,48.677
G10,5320,86,255,217.908,39.116,5320,64,215,152.382,33.740,5320,64,215,152.435,33.781
G11,5320,20,157,119.986,28.832,5320,20,157,119.986,28.832,5320,74,255,229.392,37.334
G12,5320,84,239,178.164,28.455,5320,84,239,178.164,28.455,5320,116,255,241.920,21.748
G13,5320,1,240,205.708,36.788,5320,1,240,205.708,36.788,5320,82,255,223.150,29.958
G14,5320,0,246,127.284,98.741,5320,0,246,113.560,88.702,5320,83,255,181.841,46.700
G15,5320,54,255,207.208,44.735,5320,42,225,169.128,38.339,5320,42,225,169.128,38.338
G16,5320,0,255,95.316,98.595,5320,0,239,90.055,91.473,5320,36,255,189.632,58.061
G17,5320,85,251,180.419,46.836,5320,85,250,179.832,46.165,5320,116,255,226.213,29.550
G18,5320,0,255,175.130,72.723,5320,0,253,157.611,66.240,5320,56,254,169.551,49.659
G19,5320,0,255,89.837,94.134,5320,0,227,76.954,78.281,5320,30,251,152.343,40.151
G20,5320,159,255,226.927,26.356,5320,146,245,205.161,22.948,5320,146,254,212.429,26.169
G21,5320,2,255,216.557,60.707,5320,2,253,209.858,58.538,5320,20,255,219.800,48.262
G22,5320,4,252,164.160,60.377,5320,4,236,156.762,53.857,5320,38,237,176.014,41.858
G23,5320,203,255,247.972,9.680,5320,59,218,151.019,37.779,5320,59,218,151.019,37.779
G24,5320,100,255,214.555,34.403,5320,34,224,115.117,54.829,5320,34,224,115.117,54.829
G25,5320,161,255,209.199,26.256,5320,161,249,203.424,19.544,5320,194,255,230.017,15.775
G26,5320,84,255,202.375,37.948,5320,56,247,165.452,46.812,5320,56,255,173.124,54.456
G27,5320,136,255,230.029,24.620,5320,63,204,146.972,24.180,5320,63,204,146.972,24.180
G28,5320,99,254,185.308,37.854,5320,41,169,89.575,33.607,5320,41,169,89.575,33.607
G29,5320,102,255,222.342,29.618,5320,51,250,164.810,64.573,5320,51,255,166.726,66.769
G30,5320,44,255,214.352,44.726,5320,44,251,213.270,44.127,5320,98,255,239.748,25.335
G31,5320,11,255,172.533,57.850,5320,10,247,144.129,49.385,5320,16,255,167.539,49.589
G32,5320,38,241,169.473,52.020,5320,23,143,99.782,31.758,5320,23,143,99.782,31.758
G33,5320,66,255,161.122,36.549,5320,27,171,82.289,32.423,5320,27,171,82.289,32.423
G34,5320,26,255,175.952,57.780,5320,0,181,31.282,26.710,5320,0,255,32.247,31.687
G35,5320,71,252,140.100,28.647,5320,71,248,139.902,28.036,5320,128,255,229.823,22.772
G36,5320,26,255,154.933,51.369,5320,26,236,150.053,47.826,5320,58,255,216.705,38.492
G37,5320,173,255,227.805,23.779,5320,96,236,161.776,36.689,5320,96,236,162.669,37.986
G38,5320,177,255,246.930,12.548,5320,105,173,136.733,13.980,5320,105,173,136.733,13.980
G39,5320,28,255,185.989,55.816,5320,28,185,121.535,32.108,5320,41,185,123.773,29.005
G40,5320,38,204,102.241,27.817,5320,38,204,102.241,27.817,5320,92,249,189.525,31.040
G41,5320,54,255,181.944,53.602,5320,54,249,172.492,44.530,5320,142,255,200.992,28.013
G42,5320,62,255,210.813,40.575,5320,52,238,166.843,31.515,5320,52,242,167.439,32.105
G43,5320,0,216,33.713,46.747,5320,0,216,33.713,46.747,5320,58,255,223.236,39.825
G44,5320,13,237,153.537,37.510,5320,13,213,141.436,32.083,5320,56,254,172.806,43.325
G45,5320,22,255,114.915,58.213,5320,22,255,113.170,55.499,5320,28,255,140.679,53.199
G46,5320,93,244,137.780,31.845,5320,93,224,137.490,31.283,5320,127,255,235.208,20.493
