Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,216,255,245.251,7.733,5320,61,187,113.271,23.877,5320,61,187,113.271,23.877
G2,5320,96,255,213.199,42.041,5320,37,142,93.015,22.269,5320,37,142,93.015,22.269
G3,5320,129,255,232.813,30.582,5320,128,211,179.853,16.796,5320,133,232,183.469,18.230
G4,5320,186,255,233.874,15.990,5320,113,197,161.393,19.931,5320,113,197,161.393,19.931
G5,5320,42,255,209.863,59.230,5320,10,166,111.124,42.052,5320,10,166,111.124,42.052
G6,5320,31,194,125.188,36.983,5320,31,194,125.188,36.983,5320,61,254,204.834,35.742
G7,5320,93,255,206.159,37.172,5320,93,253,197.688,34.621,5320,121,255,212.545,29.975
G8,5320,121,255,207.760,32.241,5320,87,249,179.676,34.434,5320,87,250,179.682,34.444
G9,5320,85,255,181.430,40.299,5320,84,189,129.863,17.744,5320,88,193,129.966,17.677
G10,5320,51,228,119.472,30.336,5320,32,212,110.523,31.248,5320,32,212,129.592,39.212
G11,5320,34,225,169.649,46.993,5320,34,225,169.649,46.993,5320,76,255,228.305,42.310
G12,5320,62,255,224.429,26.116,5320,60,252,219.589,26.453,5320,60,255,232.480,30.647
G13,5320,45,248,169.790,47.049,5320,45,241,162.851,45.079,5320,52,241,167.501,45.318
G14,5320,25,203,119.807,32.255,5320,25,203,119.359,32.005,5320,40,248,175.057,45.502
G15,5320,34,149,80.115,21.340,5320,34,149,80.111,21.340,5320,50,223,129.722,35.713
G16,5320,97,252,183.981,34.233,5320,97,248,180.486,31.573,5320,130,251,215.129,25.889
G17,5320,81,255,201.614,35.745,5320,73,240,187.091,35.072,5320,73,255,191.397,38.708
G18,5320,100,255,213.727,32.252,5320,86,250,200.129,38.206,5320,86,255,213.673,42.474
G19,5320,18,191,73.133,33.721,5320,18,191,73.133,33.721,5320,47,250,151.948,47.959
G20,5320,33,118,76.867,20.074,5320,33,118,76.867,20.074,5320,47,247,159.948,50.340
G21,5320,37,204,93.428,33.113,5320,37,185,91.720,29.760,5320,46,238,144.053,42.114
G22,5320,51,236,165.355,36.271,5320,51,230,165.002,35.810,5320,59,253,205.087,33.407
G23,5320,108,255,194.066,29.834,5320,30,232,146.379,56.485,5320,30,255,157.555,64.783
G24,5320,35,218,95.214,29.948,5320,35,213,95.206,29.916,5320,93,255,223.427,31.691
G25,5320,79,149,106.187,15.217,5320,79,149,106.187,15.217,5320,208,255,246.024,7.514
G26,5320,13,248,111.525,37.369,5320,0,160,96.493,38.678,5320,0,255,187.681,69.093
G27,5320,51,255,158.174,51.433,5320,0,242,147.289,62.237,5320,0,255,201.303,61.140
G28,5320,97,255,183.118,35.462,5320,60,231,130.147,45.354,5320,60,235,130.492,45.820
G29,5320,50,247,156.543,54.017,5320,50,231,152.082,48.752,5320,141,255,240.857,21.095
G30,5320,9,147,77.635,33.396,5320,9,147,77.635,33.396,5320,96,255,226.373,27.792
G31,5320,5,187,138.219,32.645,5320,5,187,138.219,32.645,5320,68,255,223.382,33.741
G32,5320,35,228,158.335,52.159,5320,35,207,146.164,45.119,5320,44,231,157.171,42.062
G33,5320,83,255,159.922,43.054,5320,25,199,107.825,42.832,5320,25,199,107.830,42.830
G34,5320,35,255,183.877,59.970,5320,4,167,41.043,29.037,5320,4,255,41.131,29.387
G35,5320,40,255,116.260,52.201,5320,40,231,113.198,46.468,5320,80,255,195.249,38.343
G36,5320,28,255,148.823,44.612,5320,28,227,146.556,41.362,5320,60,255,219.948,33.303
G37,5320,143,255,230.171,30.859,5320,135,246,204.618,29.828,5320,135,255,209.175,32.853
G38,5320,174,255,246.926,13.199,5320,109,198,152.185,23.381,5320,109,198,152.185,23.381
G39,5320,22,255,184.925,61.489,5320,22,187,124.540,36.319,5320,40,247,134.551,34.321
G40,5320,20,255,89.491,44.835,5320,20,205,84.867,34.662,5320,46,249,179.876,40.980
G41,5320,53,255,172.237,62.860,5320,53,240,167.205,57.562,5320,111,255,209.636,30.144
G42,5320,51,255,212.582,39.666,5320,46,230,169.730,35.211,5320,46,244,170.439,35.768
G43,5320,0,218,43.076,45.477,5320,0,218,43.076,45.477,5320,105,255,225.905,33.369
G44,5320,45,246,164.917,39.159,5320,41,211,142.620,29.114,5320,41,236,158.180,34.990
G45,5320,34,255,127.486,59.295,5320,34,255,123.817,54.536,5320,41,255,148.050,54.633
G46,5320,120,251,170.462,29.303,5320,119,240,169.054,27.688,5320,121,255,236.012,21.869
