Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,241.663,11.365,5320,32,155,70.749,23.120,5320,32,155,70.749,23.120
G2,5320,80,255,219.895,45.302,5320,0,94,39.911,17.960,5320,0,94,39.911,17.960
G3,5320,134,255,233.783,26.031,5320,80,224,139.769,27.460,5320,80,235,141.059,29.818
G4,5320,132,255,226.153,26.667,5320,4,134,91.505,24.809,5320,4,134,91.505,24.809
G5,5320,81,255,231.962,36.855,5320,3,108,57.369,22.137,5320,3,108,57.369,22.137
G6,5320,38,234,150.360,43.769,5320,38,233,150.356,43.762,5320,68,250,206.804,36.882
G7,5320,121,255,218.931,34.102,5320,95,234,171.950,35.322,5320,95,245,175.028,37.000
G8,5320,141,255,227.310,21.051,5320,0,138,29.465,37.629,5320,0,138,29.465,37.629
G9,5320,167,255,237.122,16.595,5320,0,65,23.934,17.929,5320,0,65,23.934,17.929
G10,5320,86,255,199.959,48.375,5320,0,107,58.643,26.381,5320,0,107,58.643,26.381
G11,5320,44,255,193.332,48.414,5320,44,254,192.967,48.015,5320,77,255,227.758,40.286
G12,5320,118,255,237.605,24.646,5320,93,251,193.084,38.635,5320,93,255,195.309,40.448
G13,5320,142,255,221.164,29.957,5320,13,135,57.470,25.705,5320,13,135,57.470,25.705
G14,5320,103,255,220.626,33.763,5320,14,70,48.642,11.827,5320,14,70,48.642,11.827
G15,5320,38,255,153.999,58.207,5320,0,65,9.879,16.099,5320,0,65,9.879,16.099
G16,5320,41,255,196.500,50.302,5320,0,1,1.880E-4,0.014,5320,0,1,1.880E-4,0.014
G17,5320,119,255,226.313,31.439,5320,101,252,183.077,29.912,5320,101,252,183.077,29.912
G18,5320,145,255,221.587,27.360,5320,26,169,86.214,36.017,5320,26,169,86.214,36.017
G19,5320,124,255,234.390,24.589,5320,26,76,59.587,10.392,5320,26,76,59.587,10.392
G20,5320,60,255,193.613,37.640,5320,0,139,35.982,25.907,5320,0,139,35.982,25.907
G21,5320,38,255,172.892,59.316,5320,0,181,70.602,65.652,5320,0,181,70.602,65.652
G22,5320,50,255,205.138,32.255,5320,2,180,125.680,27.535,5320,2,180,125.680,27.535
G23,5320,218,255,251.858,4.850,5320,0,127,72.673,27.445,5320,0,127,72.673,27.445
G24,5320,97,255,212.152,32.367,5320,3,142,58.456,19.695,5320,3,142,58.456,19.695
G25,5320,111,255,219.674,24.958,5320,38,187,144.929,28.069,5320,38,187,144.929,28.069
G26,5320,140,255,218.765,23.344,5320,69,178,123.927,29.430,5320,69,178,123.927,29.430
G27,5320,86,255,228.190,32.334,5320,25,173,93.548,19.343,5320,25,173,93.548,19.343
G28,5320,93,255,180.576,42.293,5320,12,109,47.790,25.805,5320,12,109,47.790,25.805
G29,5320,112,255,217.617,26.858,5320,0,195,87.853,51.501,5320,0,195,87.853,51.501
G30,5320,145,255,242.264,19.452,5320,145,219,186.264,14.632,5320,145,226,188.161,14.712
G31,5320,42,255,212.064,45.625,5320,22,230,140.973,36.235,5320,22,241,147.888,43.543
G32,5320,38,248,181.465,50.179,5320,13,137,90.239,33.478,5320,13,137,90.239,33.478
G33,5320,85,251,166.522,32.681,5320,13,148,66.080,32.488,5320,13,148,66.080,32.488
G34,5320,37,255,185.051,54.662,5320,0,118,32.814,30.593,5320,0,118,32.817,30.594
G35,5320,88,248,159.071,41.980,5320,88,244,156.884,38.922,5320,159,255,218.347,22.109
G36,5320,51,246,173.890,46.360,5320,44,244,165.594,43.654,5320,44,255,211.708,39.746
G37,5320,137,255,224.061,18.959,5320,79,242,162.894,32.990,5320,79,250,163.606,34.280
G38,5320,146,255,247.125,16.326,5320,86,167,126.545,12.992,5320,86,167,126.545,12.992
G39,5320,19,255,188.265,59.308,5320,19,186,121.299,32.042,5320,34,242,130.073,35.261
G40,5320,35,216,122.531,37.269,5320,35,216,122.531,37.269,5320,82,246,198.067,36.689
G41,5320,71,255,188.416,45.508,5320,71,250,174.713,34.005,5320,137,254,194.631,27.310
G42,5320,59,255,213.146,39.310,5320,53,236,158.222,31.778,5320,53,236,158.580,32.165
G43,5320,10,234,56.129,44.115,5320,10,233,56.109,44.042,5320,76,255,224.722,36.431
G44,5320,29,239,171.510,35.960,5320,29,217,150.387,29.690,5320,32,255,172.494,43.383
G45,5320,33,255,128.120,57.447,5320,30,255,125.208,54.057,5320,30,255,148.448,52.815
G46,5320,125,255,191.319,25.953,5320,110,241,187.763,23.385,5320,110,255,234.523,24.377
