Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,194,255,241.956,10.810,5320,45,190,106.557,27.499,5320,45,190,106.557,27.499
G2,5320,84,255,221.337,43.658,5320,0,137,73.039,35.636,5320,0,137,73.039,35.636
G3,5320,132,255,232.617,30.863,5320,132,228,187.478,20.677,5320,137,228,190.990,20.501
G4,5320,167,255,235.328,17.570,5320,73,254,189.787,41.502,5320,73,254,192.286,43.742
G5,5320,163,255,227.550,15.932,5320,57,239,178.026,50.864,5320,57,255,187.973,60.100
G6,5320,32,210,129.391,39.705,5320,32,210,129.387,39.698,5320,68,254,201.783,40.385
G7,5320,92,255,199.331,35.309,5320,92,243,195.607,33.134,5320,130,255,217.845,31.132
G8,5320,170,255,204.514,21.506,5320,170,251,203.903,20.407,5320,194,255,240.173,15.361
G9,5320,124,240,185.708,23.132,5320,124,231,185.615,22.959,5320,176,255,236.478,19.510
G10,5320,149,255,222.369,19.101,5320,109,235,192.171,30.057,5320,109,255,204.011,39.331
G11,5320,40,190,148.939,32.658,5320,40,190,148.939,32.658,5320,85,255,233.883,36.574
G12,5320,98,250,204.153,22.532,5320,98,250,204.086,22.520,5320,114,255,241.814,21.786
G13,5320,88,250,208.839,26.863,5320,67,250,206.264,29.270,5320,67,255,220.276,35.666
G14,5320,51,255,198.610,41.575,5320,50,245,176.698,51.409,5320,50,255,186.602,57.579
G15,5320,48,255,199.439,56.063,5320,11,234,140.290,61.271,5320,11,245,140.394,61.432
G16,5320,43,255,188.266,57.251,5320,0,152,29.193,39.071,5320,0,152,29.193,39.071
G17,5320,100,255,199.671,38.846,5320,100,249,197.555,36.594,5320,117,255,224.638,28.676
G18,5320,50,255,173.400,63.616,5320,31,245,146.121,61.676,5320,31,245,146.125,61.681
G19,5320,68,255,209.249,34.041,5320,47,178,135.643,25.979,5320,47,178,135.643,25.979
G20,5320,153,255,236.864,17.933,5320,21,124,65.028,26.657,5320,21,124,65.028,26.657
G21,5320,59,255,208.819,53.650,5320,0,130,44.015,28.253,5320,0,130,44.015,28.253
G22,5320,62,255,191.073,32.415,5320,6,132,97.282,21.746,5320,6,132,97.282,21.746
G23,5320,58,255,210.592,53.582,5320,34,221,132.130,51.769,5320,34,221,132.130,51.769
G24,5320,65,255,192.574,52.288,5320,2,163,69.118,32.478,5320,2,163,69.118,32.478
G25,5320,88,255,217.670,39.835,5320,0,47,3.100,6.866,5320,0,47,3.100,6.866
G26,5320,91,255,201.938,38.979,5320,0,127,53.289,39.218,5320,0,127,53.289,39.218
G27,5320,76,253,172.860,47.999,5320,0,127,44.014,34.582,5320,0,127,44.014,34.582
G28,5320,105,253,183.230,35.597,5320,0,70,15.850,19.192,5320,0,70,15.850,19.192
G29,5320,93,255,222.024,36.451,5320,50,191,107.648,24.709,5320,50,214,108.065,26.016
G30,5320,81,236,170.809,34.369,5320,0,232,103.881,67.966,5320,0,255,110.874,75.845
G31,5320,128,255,225.203,22.937,5320,24,241,176.730,48.809,5320,24,255,185.331,57.151
G32,5320,112,243,205.021,22.403,5320,2,181,61.967,25.884,5320,2,181,61.974,25.911
G33,5320,91,255,164.423,36.238,5320,2,154,53.949,38.899,5320,2,154,53.949,38.899
G34,5320,43,255,185.652,53.879,5320,0,162,25.557,26.100,5320,0,255,25.760,27.162
G35,5320,0,185,40.042,52.909,5320,0,185,40.041,52.908,5320,78,255,207.206,40.786
G36,5320,0,244,116.023,90.404,5320,0,244,114.391,88.659,5320,77,255,232.260,26.601
G37,5320,167,255,229.855,24.953,5320,73,245,173.270,46.884,5320,73,254,177.790,51.641
G38,5320,178,255,245.747,15.424,5320,95,188,133.458,14.726,5320,95,188,133.458,14.726
G39,5320,18,255,186.545,57.600,5320,18,183,118.489,31.217,5320,33,242,126.273,34.265
G40,5320,0,172,3.977,19.211,5320,0,172,3.977,19.211,5320,89,253,202.211,42.380
G41,5320,1,255,148.289,80.851,5320,1,239,143.342,75.441,5320,116,255,210.492,27.620
G42,5320,58,255,208.936,40.770,5320,53,227,167.213,33.682,5320,53,246,168.772,34.642
G43,5320,0,207,25.500,42.110,5320,0,207,25.500,42.110,5320,50,255,220.258,37.222
G44,5320,37,240,159.782,38.476,5320,37,202,145.840,28.893,5320,63,238,173.074,33.959
G45,5320,27,255,121.841,58.236,5320,27,255,119.452,54.773,5320,39,255,150.974,52.353
G46,5320,124,250,178.113,26.726,5320,122,233,176.482,24.913,5320,124,255,237.481,21.725
