Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,197,255,242.479,9.724,5320,50,183,101.757,24.995,5320,50,183,101.757,24.995
G2,5320,79,255,228.023,40.512,5320,0,145,78.205,32.393,5320,0,145,78.205,32.393
G3,5320,132,255,232.989,30.652,5320,130,215,175.381,17.573,5320,130,216,178.268,19.486
G4,5320,229,255,249.424,6.542,5320,117,204,174.884,24.291,5320,117,204,174.884,24.291
G5,5320,121,255,222.810,32.153,5320,36,215,153.143,46.483,5320,36,215,153.143,46.483
G6,5320,35,215,137.301,37.497,5320,35,215,137.301,37.497,5320,59,251,206.730,34.498
G7,5320,99,255,207.050,37.196,5320,99,252,196.856,35.023,5320,129,255,211.499,32.388
G8,5320,175,255,233.595,20.337,5320,144,248,192.518,16.986,5320,144,248,192.525,17.006
G9,5320,196,255,244.213,11.749,5320,148,253,213.744,19.733,5320,148,253,213.744,19.733
G10,5320,43,255,174.850,49.674,5320,41,254,166.475,50.227,5320,41,255,181.116,45.377
G11,5320,40,193,144.325,35.291,5320,40,193,144.325,35.291,5320,82,255,222.597,43.686
G12,5320,98,255,208.814,27.071,5320,98,254,207.732,26.201,5320,114,255,241.503,22.290
G13,5320,138,255,227.373,28.416,5320,121,246,202.859,27.369,5320,121,247,202.883,27.381
G14,5320,173,255,239.588,21.062,5320,145,246,208.642,23.763,5320,145,246,208.642,23.763
G15,5320,109,255,222.820,22.028,5320,109,254,216.200,23.071,5320,125,255,221.998,21.392
G16,5320,80,254,209.666,39.497,5320,80,254,209.597,39.428,5320,86,255,218.959,37.123
G17,5320,83,251,194.021,37.835,5320,88,251,193.824,37.655,5320,98,255,226.955,30.800
G18,5320,134,255,215.727,32.262,5320,120,253,203.176,33.626,5320,120,255,203.574,34.109
G19,5320,140,255,212.074,35.463,5320,125,249,196.234,34.503,5320,125,249,196.234,34.503
G20,5320,157,255,230.244,19.143,5320,127,254,221.932,22.939,5320,127,254,222.102,23.055
G21,5320,116,255,204.430,36.022,5320,113,253,199.932,33.329,5320,113,254,200.764,33.098
G22,5320,123,255,194.860,24.196,5320,121,239,179.361,19.009,5320,124,239,180.282,18.499
G23,5320,213,255,246.734,8.676,5320,101,244,192.318,31.279,5320,101,244,192.318,31.279
G24,5320,200,255,247.314,10.338,5320,89,210,155.037,31.520,5320,89,210,155.037,31.520
G25,5320,117,255,222.768,25.458,5320,24,206,131.259,44.275,5320,24,206,131.259,44.275
G26,5320,33,255,167.626,53.896,5320,0,242,47.654,71.584,5320,0,242,47.655,71.586
G27,5320,65,255,192.898,43.654,5320,0,220,99.065,50.440,5320,0,220,99.065,50.440
G28,5320,100,255,183.585,40.055,5320,39,156,81.656,33.047,5320,39,156,81.656,33.047
G29,5320,128,255,227.834,28.986,5320,58,201,122.098,36.630,5320,58,202,122.135,36.700
G30,5320,175,255,238.927,17.742,5320,92,249,208.080,30.348,5320,92,251,213.765,33.754
G31,5320,34,255,186.586,50.990,5320,27,253,139.139,64.280,5320,27,255,143.248,69.760
G32,5320,40,248,169.720,49.501,5320,19,156,102.046,36.940,5320,19,156,102.046,36.940
G33,5320,94,244,167.752,30.862,5320,28,161,81.846,30.031,5320,28,161,81.846,30.031
G34,5320,40,255,183.451,57.215,5320,0,173,36.167,25.972,5320,0,255,36.304,26.540
G35,5320,106,245,162.064,30.306,5320,106,242,161.741,29.738,5320,153,255,216.031,22.751
G36,5320,55,242,180.901,35.797,5320,55,242,175.961,34.999,5320,61,255,216.424,37.322
G37,5320,164,255,223.406,19.221,5320,111,241,172.340,29.077,5320,111,247,172.991,30.247
G38,5320,159,255,245.448,16.006,5320,97,173,141.042,11.243,5320,97,173,141.042,11.243
G39,5320,23,255,186.051,59.653,5320,23,185,121.829,33.634,5320,41,230,129.329,31.756
G40,5320,58,225,136.460,34.509,5320,58,225,136.460,34.509,5320,93,248,193.854,35.881
G41,5320,74,255,192.260,45.143,5320,74,251,179.620,34.835,5320,130,254,197.920,28.976
G42,5320,63,255,214.115,39.302,5320,51,238,161.599,30.251,5320,51,239,161.670,30.411
G43,5320,8,231,54.033,44.909,5320,8,230,54.018,44.853,5320,78,255,219.511,38.545
G44,5320,25,250,167.401,37.964,5320,25,220,149.420,33.226,5320,54,255,172.262,43.188
G45,5320,34,255,126.217,60.593,5320,34,255,122.252,55.309,5320,40,255,144.610,53.041
G46,5320,119,248,181.619,24.274,5320,117,235,179.650,22.081,5320,119,255,237.813,22.254
