Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,197,255,244.284,11.114,5320,41,192,100.681,35.934,5320,41,192,100.681,35.934
G2,5320,66,255,218.878,44.172,5320,0,163,55.872,41.023,5320,0,163,55.872,41.023
G3,5320,126,255,230.546,33.252,5320,126,250,197.548,25.728,5320,132,254,202.686,23.528
G4,5320,96,255,218.532,36.188,5320,96,247,184.168,31.092,5320,99,255,199.217,34.535
G5,5320,133,255,233.596,24.207,5320,55,247,168.021,53.232,5320,55,255,173.704,58.136
G6,5320,36,206,130.413,38.522,5320,36,206,130.413,38.522,5320,64,253,210.946,33.419
G7,5320,79,253,179.734,30.624,5320,79,250,179.142,29.832,5320,113,255,220.796,32.018
G8,5320,69,235,115.770,31.388,5320,69,235,115.767,31.381,5320,170,255,235.159,20.596
G9,5320,30,235,131.492,42.582,5320,30,235,131.492,42.582,5320,146,255,228.127,30.309
G10,5320,0,172,51.334,45.760,5320,0,172,51.334,45.760,5320,88,255,228.295,34.177
G11,5320,24,180,138.806,35.444,5320,24,180,138.806,35.444,5320,66,255,224.323,42.830
G12,5320,98,205,179.708,16.672,5320,98,205,179.708,16.672,5320,125,255,240.839,21.674
G13,5320,94,194,139.100,20.149,5320,94,194,139.100,20.149,5320,149,255,226.783,29.318
G14,5320,18,136,98.888,21.715,5320,18,136,98.888,21.715,5320,99,255,223.085,29.126
G15,5320,0,100,39.845,30.788,5320,0,100,39.845,30.788,5320,93,255,227.381,37.121
G16,5320,0,255,145.721,78.829,5320,0,243,139.431,71.240,5320,79,245,177.514,42.718
G17,5320,94,242,188.075,30.510,5320,94,242,187.837,30.243,5320,120,255,226.790,28.247
G18,5320,80,238,161.729,52.383,5320,80,238,161.316,51.958,5320,135,255,202.045,39.853
G19,5320,41,217,124.178,43.884,5320,41,217,124.178,43.884,5320,97,249,198.258,30.443
G20,5320,30,229,80.302,35.165,5320,30,207,79.910,33.944,5320,94,255,200.524,32.994
G21,5320,27,255,195.289,62.153,5320,27,223,151.356,39.619,5320,92,223,165.650,24.011
G22,5320,191,255,235.391,12.228,5320,87,184,136.614,22.256,5320,87,184,136.614,22.256
G23,5320,166,255,239.810,16.323,5320,146,251,220.555,22.022,5320,146,255,223.207,24.639
G24,5320,178,255,227.459,15.079,5320,178,248,224.365,13.669,5320,192,255,238.532,14.393
G25,5320,126,255,225.353,29.367,5320,92,243,188.443,28.821,5320,92,245,192.090,28.627
G26,5320,87,255,194.250,40.817,5320,50,211,105.314,26.411,5320,50,211,105.314,26.411
G27,5320,104,255,221.423,30.278,5320,16,116,71.964,20.827,5320,16,116,71.964,20.827
G28,5320,93,255,182.690,37.358,5320,3,94,35.120,22.336,5320,3,94,35.120,22.336
G29,5320,94,252,180.169,33.505,5320,94,243,180.047,33.374,5320,106,255,209.689,39.232
G30,5320,193,255,221.101,11.533,5320,138,243,206.934,15.688,5320,138,255,218.971,25.713
G31,5320,51,251,197.339,49.105,5320,33,233,156.232,56.618,5320,33,255,160.641,61.982
G32,5320,39,226,166.052,43.838,5320,9,146,74.505,27.113,5320,9,146,74.505,27.113
G33,5320,78,255,161.607,44.006,5320,7,161,66.852,42.023,5320,7,161,66.852,42.023
G34,5320,40,255,182.607,61.178,5320,0,163,24.494,26.963,5320,0,255,24.737,28.276
G35,5320,74,213,161.992,42.248,5320,74,213,161.992,42.248,5320,182,255,235.255,17.869
G36,5320,44,255,156.208,57.559,5320,44,242,149.960,52.068,5320,53,255,220.126,36.421
G37,5320,137,255,233.354,31.137,5320,81,237,170.042,40.766,5320,81,241,170.224,41.038
G38,5320,182,255,245.645,14.719,5320,95,173,127.202,16.299,5320,95,173,127.202,16.299
G39,5320,20,255,184.890,59.028,5320,20,180,115.939,30.977,5320,38,230,123.786,30.471
G40,5320,34,229,92.745,31.004,5320,34,228,92.743,30.996,5320,86,248,192.688,43.257
G41,5320,64,255,186.485,60.711,5320,64,249,174.387,50.722,5320,101,255,204.013,28.348
G42,5320,49,255,214.441,37.845,5320,45,231,163.356,34.176,5320,45,233,163.636,34.431
G43,5320,0,228,47.180,51.062,5320,0,228,47.176,51.051,5320,50,255,214.562,43.521
G44,5320,30,247,173.233,37.819,5320,30,215,151.592,32.121,5320,34,232,167.729,39.554
G45,5320,31,255,131.476,58.037,5320,31,255,127.346,52.702,5320,40,255,151.669,52.386
G46,5320,120,247,178.640,24.015,5320,119,232,177.130,22.010,5320,122,255,238.708,20.421
