Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,244.696,8.864,5320,64,200,121.542,24.699,5320,64,200,121.542,24.699
G2,5320,78,255,214.396,47.616,5320,26,152,100.134,27.873,5320,26,152,100.134,27.873
G3,5320,127,255,231.172,31.689,5320,127,236,192.392,21.053,5320,137,236,197.213,19.309
G4,5320,180,255,235.890,15.273,5320,118,244,191.511,31.023,5320,118,250,191.766,31.314
G5,5320,44,255,220.501,49.387,5320,4,217,152.238,60.017,5320,4,217,152.245,60.023
G6,5320,26,191,123.035,36.156,5320,26,191,123.035,36.156,5320,69,255,207.248,33.580
G7,5320,79,254,186.633,34.577,5320,79,241,184.669,32.289,5320,112,255,219.764,29.737
G8,5320,166,255,209.759,23.745,5320,166,248,209.354,23.137,5320,200,255,238.248,14.650
G9,5320,117,255,217.271,35.141,5320,117,252,213.231,32.499,5320,206,255,246.610,11.577
G10,5320,50,251,147.893,51.918,5320,41,249,146.178,50.901,5320,41,255,195.251,39.359
G11,5320,23,161,125.089,29.058,5320,23,161,125.089,29.058,5320,63,255,224.165,41.555
G12,5320,80,199,166.706,20.358,5320,80,199,166.706,20.358,5320,115,255,238.679,23.405
G13,5320,75,195,145.221,26.030,5320,75,195,145.221,26.030,5320,144,255,226.846,27.614
G14,5320,0,255,79.564,43.906,5320,0,165,76.189,41.603,5320,0,255,214.865,58.597
G15,5320,0,255,126.515,84.368,5320,0,160,34.655,40.052,5320,0,255,106.102,96.626
G16,5320,41,211,118.804,38.655,5320,41,211,118.804,38.655,5320,176,255,240.471,18.706
G17,5320,83,207,143.382,18.941,5320,83,207,143.376,18.932,5320,120,255,224.617,27.919
G18,5320,34,146,91.735,25.058,5320,34,146,91.735,25.058,5320,83,255,185.515,39.972
G19,5320,4,82,36.960,21.215,5320,4,82,36.960,21.215,5320,80,218,135.648,38.860
G20,5320,0,251,23.219,47.563,5320,0,121,12.848,21.688,5320,0,227,118.783,55.823
G21,5320,0,255,125.568,67.048,5320,0,253,125.361,66.674,5320,38,255,174.219,59.774
G22,5320,44,255,182.703,46.119,5320,44,247,172.878,39.711,5320,50,250,181.693,36.402
G23,5320,51,179,89.779,14.543,5320,51,179,89.779,14.543,5320,113,255,205.951,33.694
G24,5320,34,192,94.031,32.139,5320,34,192,94.031,32.139,5320,81,255,190.513,39.263
G25,5320,37,185,115.826,36.107,5320,37,185,115.820,36.102,5320,83,255,148.070,38.942
G26,5320,81,255,163.546,46.727,5320,44,241,143.283,47.166,5320,44,255,149.652,52.871
G27,5320,79,255,213.020,44.829,5320,39,219,118.081,35.196,5320,39,219,118.081,35.196
G28,5320,107,252,183.621,37.560,5320,34,161,78.577,34.566,5320,34,161,78.577,34.566
G29,5320,66,252,188.001,30.621,5320,66,252,187.999,30.619,5320,105,255,225.504,24.802
G30,5320,72,252,187.736,37.500,5320,72,252,187.501,37.299,5320,84,255,226.794,30.289
G31,5320,76,255,200.490,41.507,5320,43,246,178.404,46.403,5320,43,255,185.423,46.943
G32,5320,78,238,174.444,52.422,5320,29,176,93.311,38.558,5320,29,176,93.311,38.558
G33,5320,87,255,162.906,40.937,5320,20,173,79.520,37.848,5320,20,173,79.520,37.848
G34,5320,52,255,177.356,57.897,5320,9,182,37.227,26.055,5320,9,255,39.416,36.377
G35,5320,42,219,101.694,40.622,5320,42,219,101.694,40.622,5320,148,255,220.570,24.447
G36,5320,32,254,149.768,64.872,5320,32,247,148.006,62.853,5320,46,255,223.783,32.472
G37,5320,181,255,233.935,20.483,5320,107,247,175.574,38.765,5320,107,248,176.467,40.070
G38,5320,172,255,244.672,14.839,5320,105,178,136.357,15.356,5320,105,178,136.357,15.356
G39,5320,30,255,188.111,52.682,5320,30,184,123.621,31.205,5320,43,191,126.002,29.561
G40,5320,7,210,84.504,37.470,5320,7,210,84.504,37.470,5320,60,251,193.981,41.395
G41,5320,56,255,180.984,56.941,5320,56,248,172.574,48.878,5320,146,255,205.824,26.571
G42,5320,58,255,211.898,36.664,5320,57,240,167.812,30.790,5320,57,245,168.742,31.540
G43,5320,0,222,33.314,47.387,5320,0,222,33.314,47.387,5320,88,255,222.627,37.824
G44,5320,13,238,157.671,36.519,5320,13,215,144.088,29.848,5320,58,251,174.120,38.398
G45,5320,25,255,119.697,59.367,5320,25,255,117.238,55.945,5320,41,255,142.557,52.937
G46,5320,121,246,162.790,25.457,5320,120,217,162.097,24.407,5320,125,255,235.370,21.480
