Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,244.782,8.405,5320,53,199,104.880,28.351,5320,53,199,104.880,28.351
G2,5320,80,255,216.188,45.949,5320,0,139,55.254,32.857,5320,0,139,55.254,32.857
G3,5320,123,255,228.073,36.846,5320,123,247,195.912,29.813,5320,137,250,204.108,24.689
G4,5320,125,255,220.300,27.026,5320,63,248,175.045,44.821,5320,63,255,181.067,50.009
G5,5320,95,255,228.940,25.299,5320,26,247,170.415,47.713,5320,26,255,172.008,49.802
G6,5320,24,185,110.982,34.830,5320,24,185,110.982,34.830,5320,69,254,207.122,38.100
G7,5320,80,252,176.192,36.917,5320,80,250,175.590,36.152,5320,126,255,221.608,29.839
G8,5320,171,250,198.710,14.468,5320,171,250,198.707,14.456,5320,208,255,247.420,10.324
G9,5320,148,251,193.027,21.515,5320,148,245,191.467,20.178,5320,172,255,245.528,15.617
G10,5320,135,250,186.961,30.237,5320,93,240,175.321,27.030,5320,93,255,225.611,36.994
G11,5320,27,142,104.281,21.531,5320,27,142,104.281,21.531,5320,80,255,224.850,38.689
G12,5320,71,207,154.467,26.639,5320,71,207,154.467,26.639,5320,116,255,238.411,24.621
G13,5320,125,206,180.258,18.590,5320,125,206,180.258,18.590,5320,147,255,227.678,29.145
G14,5320,67,194,156.889,27.746,5320,67,194,156.889,27.746,5320,96,255,211.400,42.471
G15,5320,65,226,134.970,29.507,5320,65,224,132.938,30.390,5320,70,255,170.881,44.177
G16,5320,90,255,202.246,33.285,5320,38,247,124.762,61.311,5320,38,255,128.095,66.919
G17,5320,69,195,122.235,26.933,5320,69,195,122.235,26.933,5320,119,255,225.408,31.363
G18,5320,78,209,165.834,26.740,5320,78,209,165.834,26.740,5320,134,255,209.959,34.416
G19,5320,58,203,150.132,27.615,5320,58,203,150.132,27.615,5320,72,255,180.877,41.784
G20,5320,81,255,163.795,39.415,5320,81,244,160.780,40.192,5320,81,255,183.757,51.761
G21,5320,36,242,159.947,56.811,5320,22,242,148.997,68.349,5320,22,255,160.477,77.852
G22,5320,38,243,173.912,36.540,5320,31,243,172.129,35.817,5320,31,255,178.168,37.559
G23,5320,0,148,59.692,43.945,5320,0,148,59.692,43.945,5320,127,255,211.900,29.855
G24,5320,0,177,80.391,61.882,5320,0,177,80.391,61.882,5320,66,255,209.660,43.522
G25,5320,0,255,123.584,81.558,5320,0,248,121.292,78.451,5320,71,255,197.277,43.755
G26,5320,107,255,199.702,33.303,5320,107,245,193.396,30.186,5320,119,255,201.009,29.784
G27,5320,72,255,182.721,48.280,5320,61,243,165.062,47.448,5320,61,255,166.351,48.510
G28,5320,94,251,182.579,36.749,5320,46,208,114.283,44.711,5320,46,208,114.283,44.711
G29,5320,0,22,1.948,4.615,5320,0,22,1.948,4.615,5320,84,255,186.871,41.964
G30,5320,0,166,29.709,40.662,5320,0,166,29.709,40.662,5320,82,255,205.328,39.643
G31,5320,23,255,187.858,79.274,5320,23,238,159.611,62.415,5320,53,255,203.220,29.641
G32,5320,119,255,214.606,25.069,5320,77,204,140.137,19.466,5320,77,204,140.137,19.466
G33,5320,87,251,164.808,29.866,5320,36,172,91.819,31.093,5320,36,172,91.819,31.093
G34,5320,41,255,180.152,59.068,5320,2,119,40.242,24.336,5320,2,130,40.294,24.474
G35,5320,0,50,11.531,11.770,5320,0,50,11.531,11.770,5320,167,255,230.065,24.236
G36,5320,0,239,94.533,89.815,5320,0,237,92.962,88.191,5320,54,255,218.680,34.934
G37,5320,160,255,232.881,22.407,5320,123,246,187.960,32.880,5320,123,254,190.714,36.038
G38,5320,160,255,247.745,13.400,5320,104,188,150.689,12.888,5320,104,188,150.689,12.888
G39,5320,21,255,187.622,56.657,5320,21,188,128.231,32.668,5320,38,237,135.172,33.869
G40,5320,0,183,41.755,35.848,5320,0,183,41.755,35.848,5320,81,255,180.170,35.206
G41,5320,53,255,166.306,67.803,5320,53,241,160.120,61.065,5320,118,255,207.530,29.631
G42,5320,61,255,215.674,39.593,5320,52,231,173.418,33.033,5320,52,240,174.673,34.401
G43,5320,0,200,29.109,44.987,5320,0,200,29.109,44.987,5320,78,255,228.549,35.469
G44,5320,15,247,161.839,41.175,5320,15,200,147.064,33.598,5320,29,251,179.804,42.335
G45,5320,31,255,121.569,60.454,5320,29,255,118.181,55.629,5320,29,255,146.016,52.664
G46,5320,106,249,155.859,30.064,5320,106,230,155.119,28.953,5320,122,255,237.282,20.554
