Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,244.358,9.401,5320,39,169,86.216,24.585,5320,39,169,86.216,24.585
G2,5320,81,255,217.452,44.204,5320,0,111,48.882,25.609,5320,0,111,48.882,25.609
G3,5320,125,255,235.021,27.464,5320,112,200,165.813,20.196,5320,112,229,168.141,23.067
G4,5320,180,255,231.872,19.875,5320,49,189,130.943,32.231,5320,49,189,130.943,32.231
G5,5320,112,255,219.945,34.760,5320,40,148,91.067,15.982,5320,40,148,91.067,15.982
G6,5320,32,212,141.632,41.228,5320,32,212,141.631,41.227,5320,66,253,205.689,38.396
G7,5320,105,255,211.649,37.327,5320,105,252,193.676,31.208,5320,122,255,204.467,29.206
G8,5320,195,255,240.011,15.408,5320,148,214,183.986,13.431,5320,148,214,183.986,13.431
G9,5320,48,255,177.298,52.333,5320,18,242,127.485,53.976,5320,18,242,127.491,53.974
G10,5320,37,255,116.964,53.558,5320,28,241,110.661,50.169,5320,28,241,122.471,47.971
G11,5320,32,217,159.925,37.536,5320,32,217,159.925,37.536,5320,73,255,224.471,38.328
G12,5320,118,255,222.034,25.677,5320,118,254,211.986,24.466,5320,124,255,228.391,29.299
G13,5320,121,255,222.955,27.584,5320,79,213,152.281,31.978,5320,79,213,152.281,31.978
G14,5320,94,255,209.507,28.943,5320,70,235,181.259,34.497,5320,70,235,181.259,34.497
G15,5320,47,255,229.744,42.988,5320,46,239,201.883,39.228,5320,48,239,203.116,35.827
G16,5320,36,226,149.584,45.050,5320,36,224,138.145,36.499,5320,40,255,168.434,47.227
G17,5320,114,255,211.621,35.026,5320,114,249,202.800,28.759,5320,120,255,217.256,26.621
G18,5320,150,255,238.300,18.441,5320,83,227,181.489,25.391,5320,83,227,181.489,25.391
G19,5320,84,255,218.996,26.126,5320,81,237,189.524,17.474,5320,81,237,189.524,17.474
G20,5320,192,255,241.201,11.782,5320,166,242,218.448,17.527,5320,166,242,218.448,17.527
G21,5320,161,255,230.054,26.069,5320,154,238,202.304,19.806,5320,154,238,202.342,19.820
G22,5320,45,255,198.467,31.834,5320,45,226,179.524,27.204,5320,50,226,180.019,26.804
G23,5320,206,255,249.622,7.282,5320,105,196,159.600,17.090,5320,105,196,159.600,17.090
G24,5320,143,255,242.748,17.289,5320,105,203,158.495,26.328,5320,105,203,158.495,26.328
G25,5320,95,255,208.458,30.742,5320,13,200,103.495,43.635,5320,13,200,103.495,43.635
G26,5320,100,255,225.036,30.891,5320,7,230,77.643,62.480,5320,7,230,77.643,62.480
G27,5320,105,255,211.729,31.514,5320,41,200,109.348,26.337,5320,41,200,109.341,26.340
G28,5320,105,255,185.108,38.986,5320,35,149,75.485,30.977,5320,35,149,75.485,30.977
G29,5320,57,255,196.131,53.260,5320,30,227,146.103,60.482,5320,30,227,146.103,60.482
G30,5320,63,249,170.917,44.517,5320,51,214,118.225,36.639,5320,51,214,118.225,36.639
G31,5320,31,255,201.353,49.714,5320,21,225,136.894,51.873,5320,21,225,136.894,51.873
G32,5320,31,231,172.931,45.136,5320,17,116,88.398,25.602,5320,17,116,88.398,25.602
G33,5320,94,246,164.711,32.274,5320,23,159,75.538,29.133,5320,23,159,75.538,29.133
G34,5320,34,255,178.803,58.693,5320,0,180,28.287,23.713,5320,0,255,28.642,26.045
G35,5320,68,255,205.214,46.269,5320,54,254,183.234,49.067,5320,54,255,184.121,49.982
G36,5320,51,255,211.470,30.172,5320,51,234,184.293,32.432,5320,52,239,185.594,33.210
G37,5320,174,255,229.680,23.963,5320,99,227,154.511,36.538,5320,99,227,154.567,36.637
G38,5320,172,255,245.961,14.734,5320,96,164,130.953,13.350,5320,96,164,130.953,13.350
G39,5320,37,255,190.102,51.766,5320,35,182,120.842,29.331,5320,43,205,123.029,29.012
G40,5320,63,235,152.789,25.162,5320,63,226,152.228,24.691,5320,75,249,194.622,40.222
G41,5320,75,255,195.750,47.254,5320,75,251,180.551,35.272,5320,139,254,199.849,24.660
G42,5320,61,255,213.269,38.248,5320,58,235,162.646,29.290,5320,58,236,162.750,29.475
G43,5320,6,227,47.040,45.638,5320,6,226,47.024,45.578,5320,65,255,223.878,39.147
G44,5320,26,238,155.884,36.146,5320,26,217,141.976,32.480,5320,56,255,171.057,44.600
G45,5320,31,255,116.941,57.869,5320,31,255,114.829,54.754,5320,38,255,139.955,52.795
G46,5320,114,254,181.623,26.090,5320,110,236,179.190,23.902,5320,112,255,234.539,23.618
