Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,227,255,243.613,7.910,5320,44,176,79.206,26.343,5320,44,176,79.206,26.343
G2,5320,74,255,222.071,46.854,5320,0,94,28.038,21.466,5320,0,94,28.038,21.466
G3,5320,132,255,233.679,28.284,5320,97,203,169.649,23.031,5320,97,225,172.443,25.397
G4,5320,114,255,228.467,27.551,5320,29,219,148.620,46.130,5320,29,219,148.620,46.130
G5,5320,84,255,239.499,24.808,5320,18,212,145.362,40.928,5320,18,212,145.362,40.928
G6,5320,33,206,132.499,38.847,5320,33,206,132.499,38.847,5320,70,253,204.307,38.092
G7,5320,108,255,209.437,37.627,5320,108,254,197.543,34.092,5320,127,255,209.792,30.190
G8,5320,208,255,244.081,11.947,5320,185,230,214.593,10.532,5320,185,230,214.593,10.532
G9,5320,210,255,245.545,9.766,5320,150,219,195.858,14.511,5320,150,219,195.858,14.511
G10,5320,48,247,165.156,55.037,5320,48,241,142.893,40.421,5320,50,251,143.891,40.312
G11,5320,39,216,161.604,38.852,5320,39,216,161.604,38.852,5320,82,255,225.111,38.163
G12,5320,110,255,219.964,25.201,5320,110,250,214.090,22.716,5320,118,255,233.011,25.451
G13,5320,138,255,228.815,30.014,5320,59,229,159.512,37.078,5320,59,229,159.512,37.078
G14,5320,91,255,222.286,31.833,5320,43,191,121.894,34.331,5320,43,191,121.894,34.331
G15,5320,49,249,171.724,43.985,5320,38,200,129.792,31.360,5320,38,203,129.834,31.424
G16,5320,34,219,112.123,38.532,5320,34,184,104.739,31.571,5320,39,220,141.017,45.298
G17,5320,111,255,214.233,33.058,5320,111,253,210.141,31.685,5320,120,255,222.072,29.914
G18,5320,68,255,172.219,48.750,5320,22,252,150.565,59.626,5320,22,252,150.818,59.756
G19,5320,53,255,172.716,38.009,5320,17,229,140.642,56.486,5320,17,255,149.507,64.928
G20,5320,82,246,187.542,36.846,5320,73,246,184.289,39.147,5320,73,255,193.470,41.608
G21,5320,40,255,195.531,60.199,5320,38,253,178.627,58.902,5320,38,255,181.503,56.103
G22,5320,37,250,192.145,44.368,5320,37,227,169.847,34.821,5320,46,227,170.186,33.891
G23,5320,95,255,229.081,24.763,5320,81,251,197.997,38.207,5320,81,252,199.073,38.753
G24,5320,120,243,194.571,22.665,5320,119,243,193.237,22.398,5320,121,255,200.082,24.806
G25,5320,139,255,232.163,25.848,5320,139,254,220.241,24.968,5320,153,255,224.455,22.819
G26,5320,0,255,179.842,61.029,5320,0,252,111.785,73.575,5320,0,255,112.897,75.056
G27,5320,132,255,215.495,27.888,5320,59,203,132.594,22.183,5320,59,203,132.594,22.183
G28,5320,102,253,185.611,35.122,5320,28,147,73.863,32.493,5320,28,147,73.863,32.493
G29,5320,95,255,202.560,44.416,5320,95,240,176.481,39.423,5320,98,240,180.108,37.992
G30,5320,127,254,198.190,33.631,5320,127,253,197.608,32.851,5320,149,255,234.773,23.240
G31,5320,50,255,176.770,40.751,5320,42,241,155.755,43.239,5320,42,255,188.380,59.836
G32,5320,32,228,168.997,42.361,5320,16,192,100.248,29.829,5320,16,192,100.251,29.836
G33,5320,62,255,160.299,37.078,5320,23,166,75.172,34.209,5320,23,166,75.172,34.209
G34,5320,39,255,185.511,57.879,5320,0,154,28.694,26.646,5320,0,255,28.882,27.580
G35,5320,80,234,133.360,31.981,5320,80,231,133.175,31.547,5320,139,255,209.708,26.116
G36,5320,56,255,163.289,50.554,5320,56,241,157.396,45.870,5320,57,255,208.777,36.486
G37,5320,160,255,237.579,24.841,5320,99,236,173.819,35.821,5320,99,241,173.970,36.078
G38,5320,171,255,246.103,14.328,5320,97,173,133.637,15.411,5320,97,173,133.637,15.411
G39,5320,21,255,185.863,59.007,5320,21,181,117.961,32.920,5320,38,225,125.323,31.281
G40,5320,47,234,114.094,31.171,5320,47,231,114.088,31.147,5320,94,254,191.218,37.734
G41,5320,65,255,190.452,56.917,5320,65,252,177.575,46.929,5320,123,255,201.999,29.135
G42,5320,65,255,212.891,39.016,5320,56,239,163.839,32.680,5320,56,241,164.306,33.117
G43,5320,0,220,34.490,46.894,5320,0,220,34.490,46.894,5320,85,255,223.057,37.433
G44,5320,12,243,164.843,37.945,5320,12,211,146.997,31.431,5320,27,251,170.933,42.814
G45,5320,31,255,125.837,58.334,5320,31,255,122.737,54.395,5320,40,255,147.833,52.828
G46,5320,121,246,169.182,27.542,5320,118,230,167.856,26.174,5320,119,255,234.612,23.915
