Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,226,255,243.695,8.183,5320,56,185,93.305,25.331,5320,56,185,93.305,25.331
G2,5320,83,255,221.071,45.399,5320,0,115,46.691,26.065,5320,0,115,46.691,26.065
G3,5320,130,255,232.085,31.079,5320,117,222,181.379,21.968,5320,117,241,185.624,23.239
G4,5320,115,255,227.097,26.952,5320,45,249,168.181,51.124,5320,45,249,168.269,51.230
G5,5320,103,255,230.568,25.539,5320,36,251,171.124,48.147,5320,36,255,171.355,48.485
G6,5320,29,205,126.609,38.048,5320,29,205,126.609,38.048,5320,78,253,208.798,31.161
G7,5320,100,255,198.973,37.950,5320,100,248,194.430,35.473,5320,128,255,215.947,31.596
G8,5320,194,255,231.750,12.662,5320,194,252,230.464,11.457,5320,201,255,245.148,12.000
G9,5320,180,252,214.603,19.848,5320,180,250,213.808,19.020,5320,209,255,251.844,6.709
G10,5320,163,234,199.510,18.802,5320,152,233,194.756,16.596,5320,152,255,234.155,24.448
G11,5320,24,194,149.146,35.032,5320,24,194,149.146,35.032,5320,66,255,228.675,39.172
G12,5320,102,251,204.270,24.585,5320,102,251,204.215,24.582,5320,119,255,239.518,23.012
G13,5320,143,252,218.948,25.535,5320,140,252,217.696,26.492,5320,140,255,226.855,31.970
G14,5320,156,255,193.977,17.881,5320,156,239,193.478,16.873,5320,175,255,234.313,21.655
G15,5320,151,255,200.753,32.929,5320,150,246,189.725,23.877,5320,150,255,214.223,24.172
G16,5320,90,251,211.626,22.591,5320,90,244,208.285,22.021,5320,94,255,220.836,26.106
G17,5320,102,254,202.215,37.898,5320,102,253,200.808,36.615,5320,119,255,225.309,30.404
G18,5320,142,255,226.739,28.534,5320,139,252,208.327,23.288,5320,139,253,208.561,23.207
G19,5320,167,255,246.895,19.242,5320,130,236,195.767,22.271,5320,130,237,196.416,22.377
G20,5320,185,255,249.516,11.374,5320,49,223,121.781,45.025,5320,49,223,121.781,45.025
G21,5320,43,255,176.186,55.575,5320,40,234,145.694,50.850,5320,40,234,145.811,50.805
G22,5320,37,248,185.520,43.589,5320,36,222,165.393,32.936,5320,37,222,165.715,32.734
G23,5320,213,255,250.947,6.692,5320,105,221,177.805,24.931,5320,105,221,177.805,24.931
G24,5320,241,255,254.855,0.964,5320,96,195,132.796,23.687,5320,96,195,132.796,23.687
G25,5320,53,255,236.631,33.806,5320,0,125,69.778,28.774,5320,0,125,69.778,28.774
G26,5320,28,255,156.864,58.631,5320,0,220,49.456,69.548,5320,0,220,49.456,69.548
G27,5320,107,255,220.392,28.129,5320,37,167,108.266,23.922,5320,37,167,108.266,23.922
G28,5320,92,254,182.478,38.430,5320,21,141,65.797,31.761,5320,21,141,65.797,31.761
G29,5320,51,255,199.609,57.057,5320,25,245,128.811,65.936,5320,25,245,128.811,65.936
G30,5320,54,255,166.298,52.503,5320,24,248,106.855,60.510,5320,24,248,109.674,62.360
G31,5320,39,248,168.914,38.264,5320,0,244,105.372,64.975,5320,0,255,118.321,80.841
G32,5320,39,228,166.651,42.382,5320,17,159,84.532,25.288,5320,17,159,84.532,25.288
G33,5320,78,255,163.907,43.624,5320,12,165,75.356,38.768,5320,12,165,75.356,38.768
G34,5320,44,255,182.480,61.306,5320,0,141,28.722,28.042,5320,0,255,28.859,28.673
G35,5320,25,255,104.092,66.455,5320,25,251,103.896,66.092,5320,55,255,209.538,44.347
G36,5320,23,255,139.568,73.619,5320,23,241,132.449,66.643,5320,61,255,213.944,37.062
G37,5320,146,255,232.499,31.477,5320,83,236,169.759,39.632,5320,83,238,169.931,39.872
G38,5320,183,255,245.693,15.402,5320,94,173,130.181,15.505,5320,94,173,130.181,15.505
G39,5320,14,255,185.565,60.227,5320,14,182,117.425,32.595,5320,29,230,125.229,30.109
G40,5320,6,232,97.148,41.768,5320,6,231,97.147,41.767,5320,55,251,187.793,40.981
G41,5320,67,255,190.342,57.601,5320,67,252,177.019,47.037,5320,116,255,202.494,29.552
G42,5320,63,255,213.437,39.401,5320,58,233,163.938,33.075,5320,58,233,164.349,33.392
G43,5320,1,226,54.188,43.888,5320,1,226,54.179,43.856,5320,53,255,216.724,38.121
G44,5320,30,239,170.471,38.047,5320,30,213,154.281,29.980,5320,41,232,175.413,36.456
G45,5320,32,255,127.056,56.301,5320,32,255,123.516,51.679,5320,40,255,150.139,50.535
G46,5320,105,248,172.156,26.284,5320,103,226,170.778,24.479,5320,106,255,238.359,21.405
