Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,243.199,9.091,5320,62,178,109.805,19.692,5320,62,178,109.805,19.692
G2,5320,76,255,217.625,46.973,5320,46,142,104.269,15.525,5320,46,142,104.269,15.525
G3,5320,140,255,233.262,27.632,5320,132,208,171.839,17.629,5320,132,226,174.803,20.563
G4,5320,116,255,228.716,27.673,5320,64,165,127.210,20.196,5320,64,165,127.210,20.196
G5,5320,47,255,198.070,57.954,5320,36,155,102.216,25.695,5320,36,223,107.953,30.878
G6,5320,33,199,130.501,36.688,5320,33,199,130.501,36.688,5320,67,249,204.529,36.569
G7,5320,95,255,209.362,38.730,5320,95,251,182.689,31.449,5320,129,253,194.011,32.266
G8,5320,148,255,233.715,17.963,5320,30,175,92.704,32.997,5320,30,175,92.704,32.997
G9,5320,133,255,220.799,32.860,5320,24,145,74.708,22.755,5320,24,145,74.708,22.755
G10,5320,168,255,220.199,22.233,5320,82,200,136.933,30.298,5320,82,200,136.933,30.298
G11,5320,34,215,161.150,41.707,5320,34,215,161.150,41.707,5320,75,255,230.405,42.476
G12,5320,115,255,225.974,22.718,5320,114,251,211.268,23.107,5320,117,255,227.158,31.068
G13,5320,146,255,223.894,27.358,5320,55,179,111.290,22.967,5320,55,179,111.290,22.967
G14,5320,94,255,217.594,40.988,5320,42,200,111.200,35.751,5320,42,200,111.200,35.751
G15,5320,67,255,229.917,30.795,5320,64,206,165.073,19.479,5320,64,206,165.073,19.479
G16,5320,65,255,181.457,43.893,5320,59,243,171.203,40.645,5320,59,243,171.489,40.711
G17,5320,113,255,208.922,37.199,5320,113,250,200.296,30.577,5320,118,255,218.246,28.404
G18,5320,143,255,218.862,33.110,5320,78,225,160.057,43.194,5320,78,225,160.057,43.194
G19,5320,102,255,208.668,35.925,5320,60,245,164.371,50.680,5320,60,255,167.165,54.114
G20,5320,119,255,239.902,17.647,5320,104,248,221.948,19.433,5320,104,255,230.692,24.289
G21,5320,54,255,171.639,61.781,5320,49,237,155.408,56.321,5320,49,237,155.522,56.446
G22,5320,43,255,188.907,40.834,5320,35,213,156.937,29.277,5320,35,213,156.937,29.277
G23,5320,73,255,212.728,48.378,5320,52,197,145.686,36.806,5320,52,197,145.686,36.806
G24,5320,64,255,160.338,57.187,5320,50,239,145.476,49.732,5320,50,239,149.032,49.947
G25,5320,69,255,199.886,34.723,5320,28,236,154.286,47.782,5320,28,245,157.489,50.776
G26,5320,86,255,208.691,33.326,5320,0,238,60.736,74.058,5320,0,238,60.770,74.129
G27,5320,133,255,219.410,26.140,5320,41,171,98.984,24.254,5320,41,171,98.984,24.254
G28,5320,97,253,186.116,36.315,5320,18,134,61.723,30.073,5320,18,134,61.723,30.073
G29,5320,82,255,209.407,36.765,5320,66,218,152.968,34.385,5320,66,218,152.968,34.385
G30,5320,138,230,193.613,16.959,5320,77,217,144.617,26.481,5320,77,220,145.716,27.988
G31,5320,20,255,199.796,39.827,5320,8,250,129.333,63.607,5320,8,253,132.634,68.110
G32,5320,27,214,164.588,41.167,5320,14,132,82.857,27.973,5320,14,132,82.857,27.973
G33,5320,65,243,163.674,33.736,5320,18,153,71.225,31.605,5320,18,153,71.225,31.605
G34,5320,27,255,185.224,59.449,5320,0,118,34.206,26.999,5320,0,168,34.304,27.318
G35,5320,104,223,166.814,23.160,5320,104,220,166.590,22.952,5320,136,254,205.142,29.183
G36,5320,52,251,196.258,34.151,5320,52,236,186.641,34.350,5320,55,255,209.525,40.251
G37,5320,169,255,233.970,22.450,5320,110,235,165.174,33.833,5320,110,235,165.238,33.946
G38,5320,164,255,247.165,13.326,5320,103,168,135.108,10.744,5320,103,168,135.108,10.744
G39,5320,20,255,186.038,59.734,5320,20,185,120.260,33.748,5320,35,231,127.722,32.388
G40,5320,69,223,131.083,24.048,5320,69,223,131.083,24.046,5320,90,252,194.245,33.908
G41,5320,60,255,191.605,49.497,5320,60,252,177.883,39.053,5320,145,254,200.248,25.953
G42,5320,62,255,213.400,36.606,5320,58,236,162.887,29.149,5320,58,237,163.053,29.434
G43,5320,3,223,45.328,44.156,5320,3,222,45.318,44.119,5320,73,255,224.070,39.203
G44,5320,31,237,165.887,39.247,5320,28,212,149.593,31.293,5320,28,252,177.186,40.255
G45,5320,32,255,124.017,57.927,5320,32,255,120.948,54.005,5320,41,255,145.934,51.601
G46,5320,124,245,168.182,25.625,5320,121,225,167.053,24.633,5320,123,255,234.486,22.896
