Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,197,255,244.650,10.452,5320,26,137,63.931,18.320,5320,26,137,63.931,18.320
G2,5320,74,255,210.349,48.981,5320,0,83,44.330,20.119,5320,0,83,44.330,20.119
G3,5320,135,255,234.546,26.065,5320,62,229,115.638,34.598,5320,62,231,116.016,35.467
G4,5320,203,255,235.652,16.353,5320,0,84,48.444,27.352,5320,0,84,48.444,27.352
G5,5320,95,255,216.081,47.791,5320,0,81,14.743,17.875,5320,0,81,14.743,17.875
G6,5320,42,248,170.816,48.308,5320,42,241,170.448,47.817,5320,66,255,205.477,41.007
G7,5320,109,255,220.951,31.661,5320,10,238,123.352,60.337,5320,10,244,124.273,61.321
G8,5320,112,255,206.117,39.093,5320,0,59,1.950,6.856,5320,0,59,1.950,6.856
G9,5320,66,255,183.586,51.062,5320,0,9,0.125,0.717,5320,0,9,0.125,0.717
G10,5320,85,217,177.391,24.456,5320,0,29,7.262,8.758,5320,0,29,7.262,8.758
G11,5320,49,255,205.248,43.744,5320,49,254,198.349,38.826,5320,80,255,218.169,34.978
G12,5320,133,255,238.556,22.697,5320,4,232,136.241,68.950,5320,4,232,136.527,69.175
G13,5320,116,255,219.796,30.857,5320,0,48,15.048,15.378,5320,0,48,15.048,15.378
G14,5320,67,255,207.304,36.049,5320,0,53,6.051,10.015,5320,0,53,6.051,10.015
G15,5320,68,242,164.376,43.629,5320,0,27,5.926,7.515,5320,0,27,5.926,7.515
G16,5320,54,241,179.212,36.037,5320,0,11,1.130,2.111,5320,0,11,1.130,2.111
G17,5320,129,255,225.134,29.277,5320,35,249,173.326,39.229,5320,35,249,173.326,39.229
G18,5320,42,255,210.366,52.411,5320,0,154,71.242,44.120,5320,0,154,71.242,44.120
G19,5320,67,255,221.205,39.841,5320,0,181,58.365,48.889,5320,0,181,58.365,48.889
G20,5320,121,255,235.858,32.377,5320,0,185,89.816,47.487,5320,0,185,89.816,47.487
G21,5320,53,255,191.299,46.878,5320,0,140,59.852,31.383,5320,0,140,59.852,31.383
G22,5320,50,255,211.662,34.614,5320,3,92,64.040,16.383,5320,3,92,64.040,16.383
G23,5320,47,255,199.842,48.860,5320,0,158,70.443,42.200,5320,0,158,70.443,42.200
G24,5320,50,255,198.095,42.429,5320,0,208,140.963,63.184,5320,0,208,140.963,63.184
G25,5320,151,255,241.645,18.738,5320,139,220,195.000,17.083,5320,139,220,195.000,17.083
G26,5320,97,255,210.651,36.107,5320,0,206,65.575,56.905,5320,0,206,65.575,56.905
G27,5320,84,255,216.217,38.525,5320,0,46,12.966,12.031,5320,0,46,12.966,12.031
G28,5320,105,255,185.233,36.563,5320,0,44,8.549,11.794,5320,0,44,8.549,11.794
G29,5320,139,255,232.422,24.330,5320,48,253,190.779,27.562,5320,48,253,190.779,27.562
G30,5320,53,255,186.655,51.049,5320,51,252,164.345,44.177,5320,52,252,164.404,44.056
G31,5320,32,255,203.407,45.623,5320,9,229,162.938,56.538,5320,9,230,166.575,58.933
G32,5320,31,230,167.964,43.812,5320,0,149,66.719,34.316,5320,0,149,66.719,34.316
G33,5320,79,255,160.358,42.534,5320,1,173,61.935,46.028,5320,1,173,61.935,46.028
G34,5320,63,255,181.991,60.814,5320,0,169,24.670,29.327,5320,0,255,25.624,34.200
G35,5320,43,217,125.980,26.459,5320,26,202,122.968,25.096,5320,26,234,152.180,40.992
G36,5320,36,230,149.853,37.442,5320,32,229,147.876,36.822,5320,33,255,193.330,54.416
G37,5320,133,255,219.057,31.061,5320,92,250,182.042,40.202,5320,92,255,198.570,50.670
G38,5320,164,255,243.819,17.505,5320,101,220,150.981,16.806,5320,101,220,150.981,16.806
G39,5320,25,255,186.548,54.960,5320,25,189,125.196,32.415,5320,43,244,131.277,33.245
G40,5320,0,147,59.804,36.767,5320,0,147,59.804,36.767,5320,94,255,222.372,33.079
G41,5320,0,255,132.979,71.643,5320,0,247,132.151,70.403,5320,151,255,236.636,22.795
G42,5320,57,255,208.726,42.394,5320,57,234,185.003,38.995,5320,64,241,191.282,40.672
G43,5320,0,153,10.426,28.517,5320,0,153,10.426,28.517,5320,77,255,219.485,37.423
G44,5320,12,240,139.475,45.269,5320,12,205,132.729,39.331,5320,59,235,180.874,37.980
G45,5320,18,255,106.883,60.290,5320,18,255,105.367,57.762,5320,41,255,144.083,52.097
G46,5320,118,253,202.302,22.004,5320,94,251,197.309,22.534,5320,94,255,231.881,28.016
