Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,213,255,243.907,8.294,5320,41,153,73.848,20.188,5320,41,153,73.848,20.188
G2,5320,67,255,216.880,47.818,5320,7,94,45.491,14.479,5320,7,94,45.491,14.479
G3,5320,140,255,234.994,26.553,5320,76,211,137.439,31.024,5320,76,229,139.218,34.472
G4,5320,121,255,229.908,28.427,5320,5,108,67.664,27.087,5320,5,108,67.664,27.087
G5,5320,41,255,226.719,36.817,5320,0,98,32.932,25.723,5320,0,98,32.932,25.723
G6,5320,31,207,134.441,41.274,5320,31,207,134.441,41.274,5320,65,251,200.952,40.260
G7,5320,104,255,213.244,35.731,5320,62,235,161.524,39.694,5320,62,241,168.371,44.174
G8,5320,197,255,239.813,15.527,5320,0,118,16.826,27.113,5320,0,118,16.826,27.113
G9,5320,83,255,202.613,39.246,5320,0,39,2.789,7.663,5320,0,39,2.789,7.663
G10,5320,46,205,143.939,36.187,5320,0,157,42.965,37.724,5320,0,157,42.965,37.724
G11,5320,34,216,164.819,35.365,5320,34,216,164.819,35.365,5320,74,255,232.112,35.250
G12,5320,116,255,226.556,22.267,5320,114,235,199.668,31.187,5320,114,255,214.363,41.635
G13,5320,120,255,228.874,22.427,5320,0,136,68.950,35.533,5320,0,136,68.950,35.533
G14,5320,102,255,228.352,30.476,5320,0,112,46.560,21.892,5320,0,112,46.560,21.892
G15,5320,50,236,156.633,44.739,5320,13,163,43.382,22.697,5320,13,163,43.382,22.697
G16,5320,156,255,227.868,22.055,5320,72,200,131.715,25.526,5320,72,200,131.715,25.526
G17,5320,112,255,204.400,37.558,5320,111,250,198.368,34.332,5320,114,255,221.083,31.418
G18,5320,192,255,241.494,14.454,5320,94,241,171.435,36.646,5320,94,241,171.439,36.653
G19,5320,126,255,228.803,26.385,5320,61,243,151.553,38.155,5320,61,243,151.968,38.951
G20,5320,55,241,167.346,52.615,5320,25,216,113.947,59.839,5320,25,238,116.129,63.106
G21,5320,36,250,172.565,59.037,5320,18,246,150.637,65.332,5320,18,255,155.905,71.323
G22,5320,40,253,187.017,43.016,5320,29,239,176.034,43.548,5320,29,247,177.033,43.880
G23,5320,55,255,194.117,51.445,5320,45,228,175.237,47.991,5320,45,255,180.521,52.962
G24,5320,55,235,160.099,34.773,5320,46,232,156.265,35.945,5320,46,248,203.010,40.347
G25,5320,0,222,99.610,72.132,5320,0,216,99.407,71.815,5320,142,255,212.180,34.636
G26,5320,0,220,65.358,64.760,5320,0,220,65.354,64.753,5320,107,255,211.333,36.088
G27,5320,40,255,189.361,55.119,5320,40,233,174.066,45.659,5320,63,248,205.374,30.191
G28,5320,98,255,182.668,40.177,5320,49,185,104.139,37.603,5320,49,185,104.139,37.603
G29,5320,66,198,140.582,28.858,5320,66,198,140.582,28.858,5320,161,255,226.406,26.370
G30,5320,0,132,37.137,37.182,5320,0,132,37.137,37.182,5320,121,251,176.678,30.121
G31,5320,0,170,34.633,44.748,5320,0,170,34.633,44.747,5320,53,255,186.133,50.764
G32,5320,38,249,168.637,53.725,5320,33,208,142.446,43.509,5320,33,209,150.971,43.292
G33,5320,92,245,166.631,33.441,5320,35,183,97.201,32.980,5320,35,183,97.201,32.980
G34,5320,41,255,183.675,57.063,5320,2,157,42.773,24.907,5320,2,255,42.944,25.580
G35,5320,0,106,12.817,22.295,5320,0,106,12.817,22.295,5320,89,255,191.057,38.031
G36,5320,0,184,73.574,71.764,5320,0,184,73.574,71.764,5320,63,255,213.203,35.190
G37,5320,146,255,212.125,26.786,5320,128,249,191.479,23.680,5320,128,251,203.810,27.125
G38,5320,158,255,245.311,16.277,5320,108,202,161.191,14.380,5320,108,202,161.191,14.380
G39,5320,23,255,188.440,55.608,5320,23,189,130.522,33.663,5320,39,255,136.984,35.817
G40,5320,0,149,34.557,31.624,5320,0,149,34.557,31.624,5320,88,245,195.346,38.087
G41,5320,47,255,150.460,61.575,5320,47,244,147.024,56.473,5320,144,255,204.712,27.881
G42,5320,64,255,209.766,39.852,5320,54,234,172.283,32.773,5320,54,252,173.103,33.557
G43,5320,0,217,30.893,43.256,5320,0,217,30.893,43.256,5320,83,255,219.654,37.011
G44,5320,7,248,154.112,41.810,5320,7,214,138.840,31.930,5320,52,247,169.796,40.942
G45,5320,25,255,117.829,61.556,5320,25,255,115.249,57.700,5320,31,255,142.393,54.239
G46,5320,129,255,178.173,24.434,5320,116,234,175.978,22.982,5320,116,255,233.864,23.640
