Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,195,255,242.152,11.058,5320,39,185,90.733,28.834,5320,39,185,90.733,28.834
G2,5320,74,255,213.877,47.986,5320,0,121,42.578,30.762,5320,0,121,42.578,30.762
G3,5320,125,255,230.205,33.286,5320,123,229,182.365,24.385,5320,123,229,187.550,23.974
G4,5320,151,255,227.103,23.046,5320,50,244,164.820,49.343,5320,50,250,165.413,50.098
G5,5320,149,255,235.773,21.916,5320,34,237,132.204,46.051,5320,34,237,132.204,46.051
G6,5320,28,185,119.673,35.760,5320,28,185,119.673,35.760,5320,66,251,202.442,37.693
G7,5320,92,255,196.727,37.484,5320,92,247,193.622,35.234,5320,130,255,218.710,28.873
G8,5320,177,255,219.411,17.109,5320,177,247,218.634,15.916,5320,192,255,240.584,13.716
G9,5320,163,255,247.769,13.687,5320,79,252,222.374,27.783,5320,79,255,224.447,28.696
G10,5320,31,255,177.664,55.522,5320,16,211,89.990,39.895,5320,16,211,89.990,39.895
G11,5320,28,190,148.955,33.705,5320,28,190,148.955,33.705,5320,76,255,229.979,36.869
G12,5320,99,249,200.016,24.441,5320,99,249,199.941,24.435,5320,117,255,239.997,23.662
G13,5320,157,255,224.634,25.909,5320,146,249,216.738,26.930,5320,146,255,221.138,30.002
G14,5320,159,255,233.527,22.885,5320,132,249,204.383,27.094,5320,132,251,204.628,27.343
G15,5320,113,255,204.418,26.603,5320,93,249,178.769,28.611,5320,93,249,178.770,28.613
G16,5320,107,255,219.898,28.030,5320,86,253,210.376,35.475,5320,86,255,222.037,40.391
G17,5320,99,255,206.675,38.568,5320,99,253,202.274,36.047,5320,118,255,222.129,30.619
G18,5320,152,255,216.528,31.452,5320,142,252,203.590,30.327,5320,142,253,203.645,30.401
G19,5320,131,255,196.911,32.488,5320,118,248,186.406,33.454,5320,118,248,186.406,33.454
G20,5320,84,255,200.361,48.264,5320,77,254,195.827,50.838,5320,77,255,198.664,53.271
G21,5320,124,253,190.365,39.254,5320,122,251,189.683,39.381,5320,122,255,196.575,41.513
G22,5320,108,254,183.866,30.289,5320,108,253,181.125,28.717,5320,129,255,192.087,25.448
G23,5320,217,255,248.006,8.584,5320,110,218,171.654,29.023,5320,110,218,171.654,29.023
G24,5320,131,255,244.936,15.974,5320,111,226,198.105,12.800,5320,111,226,198.105,12.800
G25,5320,107,255,226.468,33.769,5320,89,251,187.959,32.072,5320,89,254,189.002,33.089
G26,5320,105,255,228.308,32.019,5320,105,254,223.230,31.999,5320,107,255,226.583,32.466
G27,5320,95,255,217.158,30.565,5320,61,251,185.907,33.782,5320,61,255,186.723,34.740
G28,5320,99,254,187.157,37.502,5320,47,197,107.774,43.397,5320,47,197,107.774,43.397
G29,5320,114,255,218.663,41.259,5320,86,236,170.713,32.682,5320,86,236,172.155,33.366
G30,5320,86,255,199.377,48.172,5320,86,248,194.045,43.112,5320,186,255,240.710,12.392
G31,5320,22,248,167.125,46.660,5320,22,247,165.676,46.777,5320,26,255,217.181,50.128
G32,5320,38,248,176.994,47.370,5320,30,214,134.826,39.607,5320,30,215,134.834,39.621
G33,5320,91,245,163.450,29.751,5320,32,169,89.585,31.788,5320,32,169,89.585,31.788
G34,5320,38,255,182.073,56.046,5320,4,170,40.284,27.297,5320,4,253,40.420,27.796
G35,5320,36,169,81.546,24.300,5320,36,169,81.546,24.300,5320,80,255,188.730,40.933
G36,5320,35,214,137.792,53.437,5320,35,214,137.338,53.021,5320,80,255,215.211,32.127
G37,5320,157,255,221.931,19.428,5320,114,235,182.702,24.824,5320,114,235,185.371,27.923
G38,5320,157,255,245.723,14.981,5320,96,181,146.251,13.980,5320,96,181,146.251,13.980
G39,5320,0,255,183.551,65.952,5320,0,185,121.172,40.472,5320,40,250,134.597,37.711
G40,5320,22,187,99.287,38.341,5320,22,187,99.287,38.341,5320,87,251,195.219,39.208
G41,5320,70,255,179.460,50.797,5320,70,251,170.745,41.089,5320,140,255,201.195,26.474
G42,5320,70,255,213.912,37.027,5320,57,240,164.429,31.013,5320,57,243,164.511,31.160
G43,5320,0,233,37.190,49.487,5320,0,232,37.180,49.449,5320,78,255,219.555,39.668
G44,5320,11,245,168.477,42.602,5320,11,224,148.990,34.499,5320,36,255,172.653,41.807
G45,5320,30,255,126.370,61.175,5320,30,255,122.172,55.627,5320,38,255,145.339,53.982
G46,5320,115,245,165.251,29.469,5320,113,232,163.964,27.945,5320,120,255,237.469,22.255
