Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,190,255,241.670,11.478,5320,40,191,99.260,29.329,5320,40,191,99.260,29.329
G2,5320,74,255,218.882,45.424,5320,0,133,56.414,32.481,5320,0,133,56.414,32.481
G3,5320,131,255,228.587,34.159,5320,131,226,186.643,23.066,5320,135,226,193.106,20.964
G4,5320,189,255,231.258,17.539,5320,57,238,166.247,43.103,5320,57,238,166.247,43.103
G5,5320,153,255,231.585,20.523,5320,49,205,122.069,36.415,5320,49,205,122.069,36.415
G6,5320,28,193,117.761,37.297,5320,28,193,117.761,37.297,5320,69,252,201.392,39.143
G7,5320,94,255,195.972,42.608,5320,94,252,192.638,40.601,5320,132,255,216.076,33.595
G8,5320,198,255,242.818,13.970,5320,194,253,236.547,12.773,5320,194,255,238.205,13.068
G9,5320,185,255,249.069,11.463,5320,90,253,215.378,28.804,5320,90,253,215.379,28.805
G10,5320,145,255,213.142,21.285,5320,33,174,124.641,38.124,5320,33,174,124.641,38.124
G11,5320,32,206,157.878,38.671,5320,32,206,157.878,38.671,5320,81,255,229.733,36.171
G12,5320,111,255,213.679,22.669,5320,111,253,212.762,22.271,5320,121,255,240.539,21.877
G13,5320,109,255,222.799,31.445,5320,82,254,208.392,35.062,5320,82,254,208.635,35.276
G14,5320,52,255,227.454,33.117,5320,13,252,183.897,58.077,5320,13,252,183.897,58.077
G15,5320,34,255,196.116,56.859,5320,26,207,144.848,40.463,5320,26,207,144.848,40.463
G16,5320,43,238,147.211,42.610,5320,33,207,116.093,34.746,5320,33,214,116.413,35.338
G17,5320,105,255,214.654,32.415,5320,105,249,202.884,27.498,5320,111,255,213.834,27.594
G18,5320,67,255,204.699,46.684,5320,46,241,182.500,40.527,5320,46,241,183.370,40.635
G19,5320,44,255,184.370,53.408,5320,0,240,140.451,68.401,5320,0,240,143.007,70.017
G20,5320,102,255,215.221,30.958,5320,91,229,188.917,27.945,5320,91,229,188.917,27.945
G21,5320,51,255,192.618,44.282,5320,41,230,169.169,41.601,5320,41,230,169.169,41.601
G22,5320,48,255,206.679,37.036,5320,42,222,170.793,31.504,5320,42,222,170.793,31.504
G23,5320,203,255,242.945,11.221,5320,58,217,110.585,29.072,5320,58,217,110.585,29.072
G24,5320,132,255,241.240,14.464,5320,115,226,181.081,25.322,5320,115,226,181.099,25.335
G25,5320,98,255,228.207,30.824,5320,87,245,200.639,28.645,5320,87,245,200.639,28.645
G26,5320,162,255,226.703,21.714,5320,101,245,172.872,34.443,5320,101,245,172.872,34.443
G27,5320,85,255,230.297,31.100,5320,34,211,119.291,25.529,5320,34,211,119.291,25.529
G28,5320,98,255,184.235,37.638,5320,25,141,68.514,31.290,5320,25,141,68.514,31.290
G29,5320,175,255,233.504,19.815,5320,106,243,199.889,36.440,5320,106,255,203.517,40.133
G30,5320,186,255,225.909,16.909,5320,136,245,200.635,26.472,5320,136,255,204.220,30.832
G31,5320,54,255,185.523,39.910,5320,23,205,109.694,35.865,5320,23,205,109.687,35.870
G32,5320,38,247,173.967,50.397,5320,16,140,93.242,34.023,5320,16,140,93.242,34.023
G33,5320,91,246,163.287,31.362,5320,24,156,74.487,31.280,5320,24,156,74.487,31.280
G34,5320,30,255,184.048,57.731,5320,0,113,33.099,26.742,5320,0,113,33.104,26.745
G35,5320,51,254,177.634,54.057,5320,51,237,176.520,53.147,5320,190,255,239.810,17.328
G36,5320,43,255,175.505,69.294,5320,43,232,155.991,59.500,5320,96,255,202.739,33.640
G37,5320,157,255,225.424,18.790,5320,97,232,167.148,33.190,5320,97,244,167.885,34.509
G38,5320,160,255,245.121,16.371,5320,97,173,138.038,10.566,5320,97,173,138.038,10.566
G39,5320,22,255,189.117,56.085,5320,22,185,123.023,31.600,5320,36,242,129.230,34.657
G40,5320,29,206,97.785,40.977,5320,29,206,97.785,40.977,5320,104,255,209.260,27.809
G41,5320,77,255,184.319,48.056,5320,77,254,172.811,37.362,5320,135,255,198.680,27.515
G42,5320,64,255,213.994,37.991,5320,54,243,161.903,31.629,5320,54,243,162.086,31.898
G43,5320,0,229,57.226,43.192,5320,0,229,57.218,43.164,5320,60,255,218.291,41.613
G44,5320,16,238,166.664,36.297,5320,16,217,148.095,30.244,5320,23,236,170.962,38.682
G45,5320,32,255,124.236,56.985,5320,32,255,121.107,52.785,5320,40,255,146.026,52.876
G46,5320,111,245,154.211,32.579,5320,111,223,153.398,31.416,5320,128,255,236.839,23.006
