Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,213,255,241.208,10.068,5320,77,239,148.398,34.891,5320,77,243,148.484,35.098
G2,5320,82,255,219.094,46.607,5320,25,199,117.033,36.981,5320,25,199,117.033,36.981
G3,5320,92,255,178.277,44.982,5320,92,252,175.856,41.927,5320,139,255,233.443,21.836
G4,5320,72,255,196.133,44.753,5320,72,250,182.736,42.280,5320,107,255,210.108,35.354
G5,5320,49,255,223.610,42.541,5320,14,243,168.192,55.151,5320,14,243,168.195,55.154
G6,5320,12,169,79.046,31.593,5320,12,169,79.046,31.593,5320,68,253,207.905,37.578
G7,5320,30,152,92.988,26.692,5320,30,152,92.988,26.692,5320,71,249,201.330,35.609
G8,5320,32,243,151.486,33.180,5320,32,233,151.161,32.654,5320,86,247,199.493,26.047
G9,5320,66,253,179.959,40.265,5320,58,234,155.337,37.056,5320,58,251,160.213,42.207
G10,5320,67,248,171.039,28.617,5320,61,224,145.135,24.069,5320,61,224,145.164,24.095
G11,5320,13,110,78.215,22.027,5320,13,110,78.215,22.027,5320,73,255,225.321,39.516
G12,5320,48,152,100.423,13.287,5320,48,152,100.423,13.287,5320,105,255,232.312,26.437
G13,5320,44,174,118.953,31.691,5320,44,174,118.953,31.691,5320,110,255,227.678,30.275
G14,5320,85,217,176.477,23.533,5320,82,217,176.451,23.593,5320,82,255,225.081,24.059
G15,5320,78,220,185.429,24.592,5320,71,217,177.372,24.470,5320,71,227,180.464,26.168
G16,5320,128,239,198.277,24.113,5320,123,238,197.170,25.342,5320,125,255,221.262,35.401
G17,5320,56,231,141.799,42.311,5320,56,230,141.763,42.243,5320,116,255,227.648,29.446
G18,5320,0,247,149.147,51.309,5320,0,241,147.466,51.471,5320,30,255,210.157,50.224
G19,5320,0,242,154.293,72.085,5320,0,242,154.253,72.103,5320,28,255,214.898,45.582
G20,5320,76,253,204.213,37.708,5320,72,251,201.497,37.250,5320,72,255,206.056,39.846
G21,5320,33,254,165.503,61.168,5320,30,254,162.464,59.648,5320,30,254,168.722,61.453
G22,5320,39,255,177.193,43.527,5320,39,249,164.211,35.702,5320,39,250,165.298,35.451
G23,5320,132,255,246.132,10.043,5320,108,240,192.842,32.611,5320,108,255,193.450,33.252
G24,5320,62,255,221.599,28.568,5320,62,246,199.138,38.824,5320,66,255,204.421,40.087
G25,5320,151,255,198.308,25.596,5320,110,239,172.092,30.651,5320,110,255,173.188,32.645
G26,5320,82,255,218.956,35.969,5320,64,252,146.580,39.698,5320,64,254,146.810,40.093
G27,5320,106,255,209.073,32.255,5320,49,225,132.146,24.092,5320,49,225,132.146,24.092
G28,5320,105,255,188.434,35.322,5320,38,167,88.235,34.063,5320,38,167,88.235,34.063
G29,5320,138,255,234.984,21.554,5320,67,250,197.380,43.753,5320,67,253,199.136,45.098
G30,5320,131,247,199.587,29.248,5320,128,247,193.754,29.861,5320,128,255,209.060,28.060
G31,5320,35,244,179.069,37.246,5320,26,230,161.329,44.025,5320,26,255,177.960,55.410
G32,5320,25,227,173.024,42.943,5320,18,174,104.089,28.564,5320,18,174,104.110,28.590
G33,5320,95,243,162.132,31.197,5320,30,162,80.264,28.277,5320,30,162,80.264,28.277
G34,5320,42,255,180.276,59.290,5320,0,190,29.614,22.984,5320,0,255,29.835,24.377
G35,5320,90,205,156.579,27.287,5320,90,205,156.579,27.287,5320,125,255,201.192,28.155
G36,5320,44,253,176.216,42.085,5320,44,241,170.658,39.699,5320,53,255,204.461,34.573
G37,5320,164,255,229.384,25.114,5320,93,234,162.567,36.726,5320,93,239,162.806,37.143
G38,5320,170,255,247.456,13.475,5320,103,166,135.268,13.802,5320,103,166,135.268,13.802
G39,5320,49,255,190.324,50.001,5320,43,185,123.545,30.719,5320,43,200,125.212,30.380
G40,5320,36,218,107.396,30.182,5320,36,218,107.396,30.182,5320,62,249,196.717,39.002
G41,5320,77,255,188.878,52.561,5320,77,253,175.767,41.135,5320,141,255,201.570,24.036
G42,5320,60,255,215.708,37.831,5320,58,239,165.447,27.112,5320,58,239,165.552,27.304
G43,5320,12,227,50.292,42.422,5320,12,227,50.280,42.376,5320,100,255,228.816,32.519
G44,5320,53,249,155.667,35.950,5320,48,217,143.045,32.454,5320,48,250,173.367,43.971
G45,5320,24,255,115.037,60.636,5320,24,255,112.843,57.068,5320,41,255,140.352,54.806
G46,5320,90,230,130.750,31.161,5320,90,224,130.642,30.947,5320,128,255,236.466,19.349
