Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,189,255,243.215,11.681,5320,46,198,106.306,28.634,5320,46,198,106.306,28.634
G2,5320,81,255,218.870,46.780,5320,7,137,64.733,29.996,5320,7,137,64.733,29.996
G3,5320,122,255,229.336,34.631,5320,122,239,189.912,25.111,5320,138,239,196.449,22.507
G4,5320,160,255,228.108,24.277,5320,68,249,179.403,47.843,5320,68,255,180.133,48.635
G5,5320,108,255,233.175,24.541,5320,51,248,179.014,40.068,5320,51,250,179.438,40.672
G6,5320,24,186,112.613,35.969,5320,24,186,112.613,35.969,5320,59,253,206.605,32.910
G7,5320,84,255,185.582,38.181,5320,84,243,183.921,36.429,5320,115,255,220.145,31.066
G8,5320,192,255,231.000,12.755,5320,192,249,230.622,12.315,5320,206,255,247.174,10.593
G9,5320,171,255,239.220,10.176,5320,157,254,237.310,11.643,5320,157,255,248.051,14.058
G10,5320,27,254,142.533,61.577,5320,27,254,141.544,61.047,5320,48,255,154.108,58.168
G11,5320,24,149,107.810,26.168,5320,24,149,107.810,26.168,5320,71,255,224.124,43.194
G12,5320,79,229,169.017,30.135,5320,79,229,169.016,30.133,5320,123,255,240.891,23.420
G13,5320,112,255,219.146,28.884,5320,0,246,194.176,51.787,5320,0,255,199.103,54.774
G14,5320,66,255,205.568,44.175,5320,0,254,102.607,94.264,5320,0,254,103.251,94.882
G15,5320,86,246,173.396,25.148,5320,60,243,171.714,26.299,5320,60,255,195.469,40.552
G16,5320,71,191,146.398,31.643,5320,71,191,146.398,31.643,5320,123,255,235.323,24.991
G17,5320,48,186,112.176,26.443,5320,48,186,112.176,26.443,5320,117,255,226.423,32.618
G18,5320,15,183,122.717,40.856,5320,0,183,90.672,61.053,5320,0,255,139.918,93.973
G19,5320,18,255,138.413,56.457,5320,0,186,64.095,56.076,5320,0,255,113.388,101.461
G20,5320,45,195,114.320,34.972,5320,45,195,114.320,34.972,5320,82,255,187.832,33.432
G21,5320,62,171,99.035,23.289,5320,62,171,99.035,23.289,5320,116,255,208.412,34.192
G22,5320,58,219,106.276,36.144,5320,58,216,106.248,36.073,5320,138,255,210.997,27.697
G23,5320,1,128,47.126,30.200,5320,1,104,46.441,29.247,5320,46,255,201.284,50.425
G24,5320,11,129,93.670,28.881,5320,11,129,93.670,28.881,5320,196,255,241.924,16.510
G25,5320,19,162,98.308,24.353,5320,19,162,98.308,24.353,5320,60,255,196.091,40.404
G26,5320,30,223,156.410,38.850,5320,30,223,156.410,38.850,5320,51,255,218.631,35.244
G27,5320,102,255,220.786,32.453,5320,84,252,209.287,31.890,5320,84,255,216.482,33.001
G28,5320,106,252,184.731,35.912,5320,52,235,136.071,50.015,5320,52,235,136.477,50.684
G29,5320,0,74,26.443,14.660,5320,0,74,26.443,14.660,5320,139,255,204.077,23.751
G30,5320,18,156,78.266,27.408,5320,18,156,78.266,27.408,5320,94,255,216.255,31.028
G31,5320,26,208,130.361,42.420,5320,26,208,130.279,42.404,5320,34,255,223.044,42.337
G32,5320,31,239,172.831,45.956,5320,31,238,149.432,39.160,5320,35,254,153.435,42.219
G33,5320,83,255,162.369,39.209,5320,39,198,108.736,38.008,5320,39,198,108.736,38.008
G34,5320,49,255,182.305,58.046,5320,5,150,44.981,27.109,5320,5,253,45.385,28.904
G35,5320,17,129,58.390,27.355,5320,17,129,58.390,27.355,5320,157,251,203.689,21.303
G36,5320,15,230,97.513,77.567,5320,15,230,97.470,77.523,5320,61,255,221.099,33.135
G37,5320,155,255,225.907,29.707,5320,118,249,195.929,32.595,5320,118,255,199.878,36.295
G38,5320,164,255,244.989,15.877,5320,108,197,153.994,19.463,5320,108,197,153.994,19.463
G39,5320,22,255,185.424,58.996,5320,22,191,127.899,36.450,5320,41,228,134.595,32.647
G40,5320,12,193,74.955,28.035,5320,12,193,74.955,28.035,5320,76,255,200.765,29.458
G41,5320,34,255,174.816,61.370,5320,34,238,169.866,56.084,5320,110,255,211.636,30.632
G42,5320,63,255,212.532,40.719,5320,59,226,175.579,33.808,5320,59,241,176.997,34.813
G43,5320,0,206,27.826,44.051,5320,0,206,27.826,44.051,5320,82,255,221.188,39.594
G44,5320,21,246,154.395,43.204,5320,21,207,142.270,34.364,5320,49,255,169.927,36.428
G45,5320,29,255,118.554,59.270,5320,29,255,116.748,56.765,5320,43,255,146.509,54.985
G46,5320,110,247,155.253,31.299,5320,110,226,154.474,30.052,5320,128,255,236.394,22.289
