Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,246.021,8.291,5320,43,188,92.871,32.563,5320,43,188,92.871,32.563
G2,5320,47,255,223.496,41.202,5320,9,150,46.287,33.043,5320,9,150,46.287,33.043
G3,5320,127,255,229.723,33.630,5320,127,239,189.446,22.975,5320,137,240,195.000,21.386
G4,5320,129,255,228.927,27.279,5320,65,252,189.133,33.344,5320,65,254,195.041,36.463
G5,5320,74,255,233.820,25.761,5320,25,247,176.429,50.057,5320,25,255,180.286,53.929
G6,5320,28,192,124.372,36.288,5320,28,192,124.372,36.288,5320,66,250,202.963,39.042
G7,5320,86,253,192.139,35.065,5320,86,239,190.031,33.306,5320,118,255,219.213,30.936
G8,5320,154,253,192.198,18.438,5320,154,249,191.983,17.900,5320,206,255,246.700,10.527
G9,5320,153,254,196.808,23.625,5320,153,237,195.490,21.864,5320,162,255,233.869,19.557
G10,5320,86,254,191.262,40.216,5320,79,248,181.926,37.336,5320,79,248,183.777,37.972
G11,5320,33,201,152.214,34.435,5320,33,201,152.214,34.435,5320,75,255,226.026,35.186
G12,5320,109,241,200.615,23.366,5320,109,241,200.615,23.366,5320,125,255,238.834,23.111
G13,5320,135,241,211.022,23.175,5320,135,241,211.022,23.175,5320,136,255,230.123,30.867
G14,5320,169,226,203.264,10.994,5320,169,226,203.263,10.995,5320,210,255,246.272,10.434
G15,5320,180,255,217.153,16.402,5320,180,251,214.810,16.242,5320,184,255,240.946,16.116
G16,5320,143,255,236.641,16.454,5320,143,253,229.639,19.544,5320,162,255,232.659,19.583
G17,5320,102,254,211.263,32.495,5320,102,252,207.395,30.369,5320,119,255,222.908,26.843
G18,5320,138,255,211.655,39.271,5320,138,252,201.619,34.426,5320,141,254,206.599,31.146
G19,5320,81,255,174.927,41.760,5320,81,253,173.337,39.135,5320,123,255,198.717,30.923
G20,5320,39,230,138.846,39.051,5320,39,230,138.846,39.051,5320,46,255,198.726,55.487
G21,5320,48,255,184.054,54.944,5320,48,251,180.977,51.610,5320,55,252,187.531,51.443
G22,5320,77,252,194.343,35.159,5320,77,237,177.167,25.817,5320,81,237,178.930,24.324
G23,5320,205,255,248.657,8.830,5320,62,217,147.847,27.367,5320,62,217,147.847,27.367
G24,5320,131,255,230.535,26.038,5320,13,245,137.770,74.850,5320,13,247,139.140,76.138
G25,5320,98,230,165.915,26.416,5320,89,217,159.332,24.626,5320,89,217,164.583,23.781
G26,5320,102,255,188.678,41.404,5320,58,246,156.315,43.427,5320,58,246,156.924,44.120
G27,5320,80,255,212.014,44.940,5320,36,185,110.682,35.469,5320,36,185,110.682,35.469
G28,5320,100,255,185.045,38.377,5320,33,149,74.501,30.466,5320,33,149,74.501,30.466
G29,5320,146,255,217.954,24.388,5320,3,125,53.800,30.869,5320,3,125,53.800,30.869
G30,5320,114,255,220.452,30.854,5320,68,238,152.825,42.400,5320,68,238,152.827,42.405
G31,5320,111,255,234.895,24.422,5320,71,252,191.792,32.873,5320,71,253,191.901,33.051
G32,5320,77,247,183.522,49.962,5320,30,156,92.419,34.253,5320,30,156,92.419,34.253
G33,5320,95,255,162.083,38.180,5320,23,165,76.808,34.166,5320,23,165,76.808,34.166
G34,5320,26,255,174.814,60.530,5320,0,165,28.106,26.266,5320,0,255,28.783,29.775
G35,5320,75,255,190.779,41.214,5320,75,234,171.203,31.682,5320,102,255,185.649,34.872
G36,5320,43,252,206.141,34.023,5320,42,246,197.427,35.995,5320,43,255,212.627,40.575
G37,5320,158,255,231.235,26.662,5320,93,233,160.505,38.988,5320,93,233,160.583,39.115
G38,5320,177,255,247.394,13.025,5320,100,165,129.640,13.825,5320,100,165,129.640,13.825
G39,5320,24,255,187.234,55.772,5320,24,184,119.544,32.327,5320,46,228,124.256,30.215
G40,5320,70,223,132.081,28.216,5320,70,223,132.080,28.214,5320,89,255,185.774,38.298
G41,5320,72,255,192.333,49.371,5320,72,254,178.765,39.185,5320,150,255,200.029,26.095
G42,5320,61,255,214.691,38.697,5320,58,246,166.027,29.512,5320,58,246,166.244,29.790
G43,5320,0,225,41.803,48.282,5320,0,225,41.800,48.272,5320,87,255,225.183,38.575
G44,5320,35,244,160.205,37.807,5320,35,219,147.288,32.023,5320,50,253,176.913,42.488
G45,5320,25,255,118.854,59.215,5320,25,255,116.551,55.707,5320,35,255,143.705,54.038
G46,5320,118,245,163.180,27.902,5320,118,229,162.248,26.790,5320,122,255,234.565,22.602
