Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,211,255,243.991,9.291,5320,51,186,99.587,24.894,5320,51,186,99.587,24.894
G2,5320,69,255,215.878,48.092,5320,0,125,58.953,30.428,5320,0,125,58.953,30.428
G3,5320,129,255,232.263,29.894,5320,127,215,179.260,20.270,5320,127,235,183.270,22.172
G4,5320,154,255,231.001,19.722,5320,59,217,153.105,36.629,5320,59,217,153.105,36.629
G5,5320,123,255,226.249,25.420,5320,46,208,139.941,33.080,5320,46,208,139.941,33.080
G6,5320,28,194,128.049,37.805,5320,28,194,128.049,37.805,5320,69,253,209.203,35.279
G7,5320,89,255,204.436,39.079,5320,89,254,196.723,35.459,5320,116,255,215.023,29.919
G8,5320,139,255,221.899,26.547,5320,115,243,188.274,23.291,5320,115,243,188.289,23.322
G9,5320,49,255,214.872,45.336,5320,39,221,180.270,38.531,5320,39,221,180.270,38.531
G10,5320,47,232,149.498,48.877,5320,38,214,144.052,44.503,5320,38,231,155.136,44.268
G11,5320,25,205,155.105,39.789,5320,25,205,155.105,39.789,5320,63,255,225.096,40.761
G12,5320,103,253,206.030,28.241,5320,103,253,205.942,28.136,5320,112,255,233.467,30.419
G13,5320,45,255,181.631,53.062,5320,35,250,169.622,53.918,5320,35,251,169.801,54.034
G14,5320,50,255,184.314,57.556,5320,37,253,170.066,62.953,5320,37,255,170.945,63.743
G15,5320,52,222,150.188,48.117,5320,42,205,124.679,48.043,5320,42,205,124.845,47.897
G16,5320,43,255,189.562,59.948,5320,31,250,161.832,54.263,5320,31,252,164.828,55.450
G17,5320,106,255,209.873,33.627,5320,106,249,204.487,30.158,5320,118,255,218.276,28.496
G18,5320,157,255,227.465,22.048,5320,134,239,193.117,22.541,5320,134,239,193.163,22.557
G19,5320,147,255,221.761,26.840,5320,76,191,138.129,32.340,5320,76,191,138.129,32.340
G20,5320,115,255,238.600,21.136,5320,77,141,114.838,12.639,5320,77,141,114.838,12.639
G21,5320,39,255,182.050,53.247,5320,27,223,134.804,50.585,5320,27,223,134.804,50.585
G22,5320,53,255,190.411,35.770,5320,46,222,161.539,27.790,5320,46,222,161.539,27.790
G23,5320,124,255,228.590,29.878,5320,34,197,135.083,39.825,5320,34,197,135.083,39.825
G24,5320,138,255,236.695,27.052,5320,51,180,135.871,25.434,5320,51,180,135.871,25.434
G25,5320,79,249,167.998,47.829,5320,50,164,98.120,26.944,5320,50,164,98.120,26.944
G26,5320,68,255,216.645,36.980,5320,43,215,142.905,29.383,5320,43,215,142.905,29.383
G27,5320,102,255,215.071,32.902,5320,42,197,128.121,22.964,5320,42,197,128.121,22.964
G28,5320,102,255,183.890,38.059,5320,23,144,70.918,32.889,5320,23,144,70.918,32.889
G29,5320,128,255,235.033,25.387,5320,17,239,131.271,56.151,5320,17,239,131.825,57.113
G30,5320,84,255,211.898,32.053,5320,55,245,189.569,34.554,5320,55,255,208.502,42.013
G31,5320,32,245,168.950,42.241,5320,23,243,146.509,47.910,5320,23,255,167.062,63.096
G32,5320,35,227,167.936,43.820,5320,20,143,94.423,26.767,5320,20,143,94.429,26.768
G33,5320,86,255,162.801,41.012,5320,17,166,77.471,36.704,5320,17,166,77.471,36.704
G34,5320,42,255,179.278,57.786,5320,0,164,28.264,26.676,5320,0,255,28.496,27.877
G35,5320,38,205,131.333,35.473,5320,38,202,131.303,35.422,5320,67,255,201.641,45.178
G36,5320,55,255,165.539,50.982,5320,55,249,159.522,46.828,5320,63,255,216.613,36.478
G37,5320,111,255,231.830,26.547,5320,68,247,170.717,41.378,5320,68,247,171.155,42.055
G38,5320,177,255,244.585,16.686,5320,96,175,129.778,16.351,5320,96,175,129.778,16.351
G39,5320,25,255,188.211,54.190,5320,25,181,120.133,28.967,5320,38,255,126.467,33.883
G40,5320,21,225,84.292,28.016,5320,21,224,84.292,28.013,5320,60,248,192.141,45.871
G41,5320,58,255,184.837,61.009,5320,58,250,173.919,51.852,5320,97,255,206.152,28.344
G42,5320,66,255,212.877,38.748,5320,55,239,163.106,32.877,5320,55,243,163.614,33.308
G43,5320,0,222,47.308,45.607,5320,0,222,47.308,45.607,5320,53,255,218.067,41.367
G44,5320,14,245,165.577,37.190,5320,14,212,147.112,32.048,5320,53,233,168.057,40.987
G45,5320,35,255,127.456,59.524,5320,35,255,123.357,54.341,5320,42,255,145.721,51.718
G46,5320,119,245,170.431,22.588,5320,117,231,169.595,21.661,5320,120,255,237.879,21.340
