Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,245.458,8.159,5320,60,202,121.622,27.693,5320,60,202,121.622,27.693
G2,5320,85,255,214.865,45.092,5320,21,161,95.477,33.623,5320,21,161,95.477,33.623
G3,5320,125,255,228.229,37.642,5320,125,242,197.784,28.149,5320,142,242,206.855,21.236
G4,5320,162,255,239.478,14.565,5320,132,247,190.333,25.733,5320,132,247,190.333,25.733
G5,5320,56,255,208.640,57.096,5320,2,185,117.077,49.452,5320,2,185,117.077,49.452
G6,5320,21,177,104.244,34.356,5320,21,177,104.244,34.356,5320,65,249,205.926,36.995
G7,5320,83,255,178.190,40.784,5320,83,241,176.700,39.146,5320,119,255,219.183,30.191
G8,5320,155,255,223.754,24.990,5320,134,248,210.625,21.816,5320,134,255,215.229,21.991
G9,5320,172,255,233.048,18.215,5320,90,249,175.877,32.221,5320,90,254,176.271,32.878
G10,5320,63,239,177.864,29.479,5320,31,159,98.669,29.659,5320,31,159,98.669,29.659
G11,5320,23,143,105.595,22.630,5320,23,143,105.595,22.630,5320,77,255,225.658,38.399
G12,5320,81,217,159.451,28.873,5320,81,217,159.451,28.873,5320,126,255,238.810,23.088
G13,5320,67,229,182.494,32.509,5320,67,229,182.490,32.517,5320,73,255,209.207,35.515
G14,5320,54,255,195.972,55.127,5320,51,250,180.775,54.807,5320,51,255,182.859,56.344
G15,5320,107,255,193.468,43.327,5320,88,212,151.727,26.317,5320,88,212,151.727,26.317
G16,5320,65,255,223.031,37.127,5320,53,175,142.283,22.081,5320,53,175,142.283,22.081
G17,5320,73,182,118.682,23.583,5320,73,182,118.682,23.583,5320,118,255,225.008,30.132
G18,5320,0,197,130.667,43.792,5320,0,197,130.667,43.792,5320,57,255,218.895,35.034
G19,5320,5,255,212.954,55.667,5320,5,247,193.967,49.532,5320,84,255,215.884,31.134
G20,5320,139,255,219.589,25.594,5320,82,212,136.416,23.226,5320,82,212,136.416,23.226
G21,5320,118,255,203.880,42.241,5320,68,230,147.378,46.933,5320,68,230,147.378,46.933
G22,5320,59,248,199.079,33.762,5320,33,218,155.407,28.863,5320,33,218,155.407,28.863
G23,5320,0,146,58.864,29.482,5320,0,146,58.864,29.482,5320,53,255,165.648,62.326
G24,5320,3,255,130.757,69.412,5320,3,243,129.984,68.186,5320,42,255,191.697,60.589
G25,5320,120,255,220.936,36.227,5320,120,243,199.197,25.041,5320,160,255,214.927,20.250
G26,5320,121,255,226.953,28.941,5320,90,253,183.747,31.704,5320,90,254,184.397,32.765
G27,5320,87,255,225.460,32.812,5320,40,180,134.768,27.371,5320,40,180,134.768,27.371
G28,5320,101,255,184.669,38.468,5320,32,143,73.396,29.216,5320,32,143,73.396,29.216
G29,5320,85,225,171.638,31.723,5320,85,225,171.638,31.723,5320,116,255,215.143,32.443
G30,5320,71,217,132.597,30.095,5320,71,217,132.597,30.095,5320,101,255,199.380,44.908
G31,5320,17,254,168.945,43.306,5320,17,253,161.066,40.478,5320,22,255,202.007,49.287
G32,5320,40,248,172.520,52.172,5320,22,174,116.759,42.730,5320,22,174,116.759,42.730
G33,5320,94,248,166.634,31.406,5320,31,166,83.082,32.373,5320,31,166,83.082,32.373
G34,5320,47,255,184.854,56.800,5320,0,119,34.186,28.221,5320,0,119,34.187,28.221
G35,5320,0,180,72.928,56.189,5320,0,180,72.928,56.189,5320,181,255,238.001,16.757
G36,5320,0,209,106.595,82.181,5320,0,209,106.113,81.693,5320,68,255,223.654,33.937
G37,5320,164,255,220.076,20.967,5320,121,233,182.912,25.628,5320,121,245,187.936,30.856
G38,5320,161,255,246.845,15.509,5320,99,183,146.142,13.762,5320,99,183,146.142,13.762
G39,5320,25,255,191.130,54.877,5320,25,187,126.903,31.497,5320,35,227,130.312,31.818
G40,5320,0,171,58.992,43.667,5320,0,171,58.992,43.667,5320,87,251,202.862,39.166
G41,5320,64,255,170.895,58.414,5320,64,245,163.605,50.048,5320,119,255,203.228,28.936
G42,5320,60,255,212.713,39.711,5320,52,236,167.062,33.698,5320,52,242,167.616,34.239
G43,5320,0,223,35.503,47.437,5320,0,223,35.503,47.437,5320,92,255,227.244,36.424
G44,5320,14,247,155.784,39.932,5320,14,215,140.110,33.017,5320,56,255,171.382,43.709
G45,5320,24,255,119.885,59.687,5320,24,255,117.620,56.346,5320,39,255,144.445,54.003
G46,5320,102,251,150.696,29.357,5320,102,228,150.195,28.444,5320,127,255,236.734,21.102
