Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,211,255,245.055,8.938,5320,31,152,64.207,21.764,5320,31,152,64.207,21.764
G2,5320,76,255,218.113,48.133,5320,0,70,25.620,19.935,5320,0,70,25.620,19.935
G3,5320,141,255,235.321,25.202,5320,71,212,135.851,30.153,5320,71,226,136.790,32.035
G4,5320,161,255,238.260,16.096,5320,22,126,84.586,20.295,5320,22,126,84.586,20.295
G5,5320,154,255,229.377,18.837,5320,0,82,14.727,17.189,5320,0,82,14.727,17.189
G6,5320,37,232,150.891,44.049,5320,37,231,150.881,44.031,5320,68,253,203.104,39.109
G7,5320,110,255,217.554,33.421,5320,99,242,170.578,36.508,5320,99,243,173.744,38.607
G8,5320,185,255,229.288,19.445,5320,0,141,44.867,34.965,5320,0,141,44.867,34.965
G9,5320,59,255,214.523,47.914,5320,0,18,0.640,2.381,5320,0,18,0.640,2.381
G10,5320,80,255,161.044,39.840,5320,0,50,8.245,12.005,5320,0,50,8.245,12.005
G11,5320,39,239,179.266,39.461,5320,39,239,179.266,39.461,5320,74,255,229.699,35.113
G12,5320,116,255,235.712,20.684,5320,106,251,206.403,36.052,5320,106,255,212.361,41.078
G13,5320,109,255,217.606,27.326,5320,6,145,88.213,25.944,5320,6,145,88.213,25.944
G14,5320,73,255,231.635,37.361,5320,0,91,29.848,22.323,5320,0,91,29.848,22.323
G15,5320,50,252,159.872,53.491,5320,0,4,0.027,0.239,5320,0,4,0.027,0.239
G16,5320,135,255,219.961,35.114,5320,0,7,0.003,0.122,5320,0,7,0.003,0.122
G17,5320,117,255,217.345,31.046,5320,109,239,197.185,23.503,5320,109,255,207.110,28.336
G18,5320,190,255,240.485,15.470,5320,71,190,115.979,28.166,5320,71,190,115.979,28.166
G19,5320,162,255,230.815,21.199,5320,0,92,21.785,28.032,5320,0,92,21.785,28.032
G20,5320,70,255,196.392,39.595,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G21,5320,31,255,169.860,55.518,5320,0,181,58.019,61.334,5320,0,181,58.019,61.334
G22,5320,33,255,198.025,29.962,5320,0,180,123.780,28.201,5320,0,180,123.780,28.201
G23,5320,206,255,247.036,8.505,5320,70,181,135.143,26.221,5320,70,181,135.143,26.221
G24,5320,168,255,230.521,18.095,5320,0,200,74.115,47.448,5320,0,200,74.115,47.448
G25,5320,115,255,201.525,32.724,5320,0,209,38.798,57.441,5320,0,209,38.798,57.441
G26,5320,104,255,226.146,31.764,5320,0,194,124.178,50.816,5320,0,194,124.178,50.816
G27,5320,83,255,225.869,33.730,5320,31,172,112.139,24.386,5320,31,172,112.139,24.386
G28,5320,99,255,181.567,40.501,5320,24,116,56.694,24.745,5320,24,116,56.694,24.745
G29,5320,164,255,231.145,19.664,5320,50,253,150.305,45.304,5320,50,254,150.334,45.356
G30,5320,119,255,212.030,31.352,5320,119,253,198.223,28.203,5320,135,255,229.941,28.900
G31,5320,22,255,198.839,52.332,5320,15,244,175.670,45.464,5320,15,255,212.951,49.840
G32,5320,39,238,169.293,43.601,5320,15,173,88.438,30.992,5320,15,175,88.456,31.035
G33,5320,93,240,165.919,29.556,5320,20,147,68.144,29.390,5320,20,147,68.144,29.390
G34,5320,43,255,183.799,58.079,5320,0,197,31.785,28.309,5320,0,255,32.171,30.392
G35,5320,65,223,146.184,50.036,5320,65,216,142.766,46.809,5320,148,255,238.770,22.884
G36,5320,40,250,134.869,75.975,5320,40,241,126.331,68.793,5320,51,255,215.098,40.095
G37,5320,160,255,234.406,25.164,5320,100,239,163.105,36.211,5320,100,239,163.172,36.332
G38,5320,161,255,247.250,13.449,5320,99,163,131.940,10.201,5320,99,163,131.940,10.201
G39,5320,23,255,187.305,55.760,5320,23,180,119.427,29.713,5320,36,234,125.472,33.792
G40,5320,28,224,98.773,35.366,5320,28,224,98.772,35.361,5320,82,249,195.545,29.547
G41,5320,59,255,190.468,53.867,5320,59,252,176.157,42.195,5320,143,254,201.838,25.035
G42,5320,64,255,210.234,38.211,5320,60,244,158.852,30.550,5320,60,245,159.298,31.012
G43,5320,9,230,45.773,44.017,5320,9,230,45.765,43.986,5320,85,255,224.037,37.516
G44,5320,21,238,163.197,36.933,5320,21,219,147.197,29.853,5320,41,255,173.243,38.117
G45,5320,26,255,119.365,57.852,5320,26,255,116.901,54.436,5320,30,255,141.334,52.641
G46,5320,130,248,195.485,20.080,5320,111,242,192.595,20.237,5320,111,255,235.687,25.207
