Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,219,255,243.592,9.289,5320,67,224,122.618,32.921,5320,67,224,122.618,32.921
G2,5320,58,255,233.256,32.130,5320,0,165,78.463,35.912,5320,0,165,78.463,35.912
G3,5320,116,255,212.172,39.437,5320,116,249,199.645,34.647,5320,139,255,223.288,28.059
G4,5320,67,255,192.276,47.813,5320,67,243,166.022,38.107,5320,125,255,209.648,39.992
G5,5320,120,255,224.718,29.453,5320,62,241,188.979,34.650,5320,62,255,210.669,44.974
G6,5320,16,182,95.533,34.457,5320,16,182,95.533,34.457,5320,61,248,201.886,40.124
G7,5320,26,209,116.080,36.553,5320,26,209,116.080,36.553,5320,128,255,220.713,31.136
G8,5320,0,181,40.560,39.784,5320,0,181,40.560,39.784,5320,143,255,237.091,20.811
G9,5320,0,179,82.588,47.670,5320,0,179,82.577,47.651,5320,137,255,223.671,22.879
G10,5320,22,197,109.777,41.601,5320,22,190,108.636,41.057,5320,53,237,167.413,49.371
G11,5320,26,86,55.574,10.522,5320,26,86,55.574,10.522,5320,88,255,231.742,31.534
G12,5320,22,91,60.128,12.669,5320,22,91,60.128,12.669,5320,128,255,242.207,24.486
G13,5320,0,47,4.757,9.628,5320,0,47,4.757,9.628,5320,142,255,233.427,23.881
G14,5320,0,22,1.808,4.484,5320,0,22,1.808,4.484,5320,131,255,225.483,24.576
G15,5320,0,131,50.567,32.862,5320,0,131,50.567,32.862,5320,78,255,168.351,43.743
G16,5320,26,190,133.163,39.907,5320,26,190,133.163,39.907,5320,39,249,191.519,41.847
G17,5320,0,74,22.725,19.630,5320,0,74,22.725,19.630,5320,68,255,195.248,43.779
G18,5320,0,21,0.810,2.772,5320,0,21,0.810,2.772,5320,69,252,182.070,40.189
G19,5320,0,19,0.111,1.012,5320,0,19,0.111,1.012,5320,69,255,200.721,56.577
G20,5320,0,56,3.225,8.823,5320,0,56,3.225,8.823,5320,60,255,212.009,47.299
G21,5320,0,244,91.526,67.581,5320,0,240,91.180,66.915,5320,43,255,187.066,55.981
G22,5320,60,255,194.690,31.675,5320,60,231,179.575,25.273,5320,80,238,182.407,22.816
G23,5320,0,64,36.124,16.656,5320,0,64,36.124,16.656,5320,159,255,241.797,19.919
G24,5320,0,40,2.533,6.829,5320,0,40,2.533,6.829,5320,84,255,229.165,33.443
G25,5320,0,29,2.902,6.130,5320,0,29,2.902,6.130,5320,67,255,210.075,50.188
G26,5320,4,152,33.211,16.493,5320,4,152,33.211,16.493,5320,141,255,220.590,24.622
G27,5320,32,255,124.914,66.921,5320,32,240,119.689,58.288,5320,85,255,222.452,32.363
G28,5320,101,255,185.907,38.843,5320,59,219,121.196,39.120,5320,59,219,121.262,39.175
G29,5320,0,7,0.060,0.466,5320,0,7,0.060,0.466,5320,117,255,220.397,36.879
G30,5320,0,2,7.519E-4,0.034,5320,0,2,7.519E-4,0.034,5320,115,255,234.837,31.330
G31,5320,0,99,10.232,16.475,5320,0,99,10.232,16.475,5320,43,255,211.442,46.147
G32,5320,2,238,135.320,72.388,5320,2,238,129.735,69.249,5320,37,241,174.253,50.060
G33,5320,92,244,163.923,32.763,5320,48,206,113.855,37.847,5320,48,206,113.855,37.847
G34,5320,41,255,184.444,52.494,5320,32,130,58.103,17.074,5320,32,206,58.211,17.470
G35,5320,0,3,0.009,0.123,5320,0,3,0.009,0.123,5320,141,255,222.571,24.685
G36,5320,0,112,31.359,36.968,5320,0,112,31.359,36.968,5320,103,255,211.505,33.703
G37,5320,87,255,186.305,44.027,5320,87,247,182.254,40.588,5320,162,255,219.615,18.802
G38,5320,161,255,246.127,14.823,5320,124,221,179.188,18.784,5320,124,222,179.190,18.789
G39,5320,38,255,188.330,57.105,5320,38,196,136.493,37.475,5320,41,198,139.995,33.735
G40,5320,0,86,6.408,13.985,5320,0,86,6.408,13.985,5320,149,255,237.748,15.854
G41,5320,18,255,120.893,73.987,5320,18,250,119.996,72.497,5320,114,255,207.444,33.739
G42,5320,60,255,209.931,41.337,5320,56,234,182.684,33.684,5320,56,244,185.723,34.712
G43,5320,0,188,18.406,36.534,5320,0,188,18.406,36.534,5320,85,255,223.836,37.871
G44,5320,8,249,144.900,41.268,5320,8,207,136.044,34.663,5320,31,255,178.366,41.017
G45,5320,24,255,110.137,63.669,5320,24,255,108.221,60.457,5320,30,255,140.441,55.813
G46,5320,108,242,146.355,29.792,5320,108,231,146.192,29.525,5320,127,255,236.095,19.732
