Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,243.094,9.073,5320,49,183,96.145,25.665,5320,49,183,96.145,25.665
G2,5320,74,255,217.260,45.123,5320,0,122,52.635,30.298,5320,0,122,52.635,30.298
G3,5320,132,255,232.268,30.403,5320,124,217,179.126,21.423,5320,124,219,182.846,22.696
G4,5320,171,255,231.473,18.773,5320,56,238,160.685,43.559,5320,56,238,160.693,43.566
G5,5320,115,255,221.102,28.391,5320,44,250,150.720,41.990,5320,44,250,150.908,42.308
G6,5320,29,192,124.889,36.990,5320,29,192,124.889,36.990,5320,67,254,205.208,38.236
G7,5320,94,254,202.590,37.201,5320,94,249,197.044,34.719,5320,134,255,216.464,28.618
G8,5320,181,255,221.072,18.971,5320,181,249,217.883,16.231,5320,194,255,232.042,15.358
G9,5320,48,255,198.520,53.436,5320,48,250,197.408,53.359,5320,52,255,214.077,55.781
G10,5320,27,255,162.607,57.472,5320,27,243,160.642,55.886,5320,65,255,204.058,50.492
G11,5320,35,198,152.297,37.242,5320,35,198,152.297,37.242,5320,82,255,224.453,37.542
G12,5320,102,253,208.673,24.657,5320,102,252,208.615,24.631,5320,114,255,240.480,22.318
G13,5320,98,252,200.056,32.900,5320,98,252,198.594,32.790,5320,98,255,206.839,35.273
G14,5320,45,255,212.991,41.815,5320,45,245,196.305,39.121,5320,47,245,196.449,38.691
G15,5320,54,255,169.245,58.413,5320,54,216,139.221,37.899,5320,56,243,147.972,38.047
G16,5320,110,255,232.233,25.931,5320,110,242,199.808,33.145,5320,122,242,200.301,32.362
G17,5320,103,255,210.945,35.547,5320,103,254,208.455,33.650,5320,116,255,224.233,29.429
G18,5320,130,255,237.460,22.489,5320,121,253,229.650,24.562,5320,121,255,230.091,24.821
G19,5320,130,255,219.203,27.147,5320,106,247,199.465,32.869,5320,106,247,199.465,32.869
G20,5320,122,255,213.992,32.378,5320,85,160,126.701,14.552,5320,85,160,126.701,14.552
G21,5320,72,255,199.914,42.048,5320,45,241,160.803,51.539,5320,45,241,160.870,51.557
G22,5320,59,248,202.640,34.608,5320,50,230,181.470,30.304,5320,50,230,181.607,30.329
G23,5320,108,255,210.381,39.184,5320,48,231,155.325,35.629,5320,48,231,155.325,35.629
G24,5320,132,255,221.794,17.827,5320,110,231,196.767,15.627,5320,110,231,196.767,15.627
G25,5320,96,255,213.747,42.059,5320,78,250,197.841,45.527,5320,78,250,197.841,45.527
G26,5320,118,255,227.088,33.415,5320,91,246,195.086,34.822,5320,91,246,195.086,34.822
G27,5320,96,255,221.634,28.945,5320,42,198,144.894,27.135,5320,42,198,144.894,27.135
G28,5320,100,254,183.161,38.167,5320,29,148,74.230,33.097,5320,29,148,74.230,33.097
G29,5320,127,255,217.607,28.615,5320,10,207,138.411,55.396,5320,10,207,138.411,55.396
G30,5320,161,255,231.268,19.310,5320,142,244,208.845,20.236,5320,142,244,208.845,20.236
G31,5320,30,255,218.887,40.888,5320,21,249,197.780,46.869,5320,21,249,197.780,46.869
G32,5320,41,224,165.074,40.629,5320,21,152,96.076,27.026,5320,21,152,96.076,27.026
G33,5320,89,244,165.114,32.299,5320,25,151,76.077,30.579,5320,25,151,76.077,30.579
G34,5320,29,255,185.460,57.724,5320,0,112,33.664,25.333,5320,0,112,33.671,25.344
G35,5320,89,255,199.212,43.395,5320,73,219,152.379,29.547,5320,73,219,152.379,29.547
G36,5320,60,255,218.505,35.061,5320,59,240,190.129,32.022,5320,60,240,190.377,31.983
G37,5320,149,255,234.031,29.758,5320,99,231,167.007,33.416,5320,99,231,167.007,33.416
G38,5320,160,255,247.743,12.701,5320,98,165,132.837,12.174,5320,98,165,132.837,12.174
G39,5320,0,255,182.208,69.753,5320,0,183,115.766,41.581,5320,34,255,131.957,40.067
G40,5320,80,251,167.315,27.798,5320,78,233,158.105,30.412,5320,78,251,179.142,43.750
G41,5320,76,255,199.783,46.738,5320,76,249,184.270,35.567,5320,144,254,200.367,24.911
G42,5320,62,255,214.490,37.263,5320,57,236,161.689,29.078,5320,57,236,161.824,29.320
G43,5320,10,227,49.676,42.903,5320,10,226,49.661,42.846,5320,88,255,222.548,36.609
G44,5320,27,238,168.776,36.558,5320,18,213,150.533,29.743,5320,18,255,175.310,40.638
G45,5320,34,255,126.879,57.526,5320,34,255,123.044,52.698,5320,42,255,147.790,51.436
G46,5320,122,240,162.402,24.739,5320,121,233,161.710,24.223,5320,123,255,234.562,22.805
