Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,242.776,9.267,5320,61,203,114.910,28.149,5320,61,203,114.910,28.149
G2,5320,67,255,213.413,47.841,5320,1,149,67.989,33.589,5320,1,149,67.989,33.589
G3,5320,136,255,230.508,31.080,5320,135,245,201.718,25.951,5320,142,251,207.872,22.810
G4,5320,127,255,207.119,33.570,5320,59,245,172.343,41.580,5320,59,255,189.167,48.892
G5,5320,104,255,214.340,34.144,5320,48,236,181.813,32.867,5320,48,255,202.187,42.073
G6,5320,25,203,125.499,37.739,5320,25,203,125.499,37.739,5320,70,251,203.125,35.824
G7,5320,107,241,175.340,28.364,5320,107,236,174.856,27.624,5320,144,255,221.406,29.596
G8,5320,99,237,135.896,26.749,5320,99,236,135.896,26.746,5320,191,255,240.478,15.667
G9,5320,0,179,95.904,47.046,5320,0,179,95.904,47.046,5320,41,255,232.903,29.295
G10,5320,8,247,94.418,45.597,5320,8,182,85.893,32.904,5320,32,255,127.578,43.021
G11,5320,26,160,127.502,26.544,5320,26,160,127.502,26.544,5320,72,255,232.065,34.825
G12,5320,84,194,167.661,15.410,5320,84,194,167.661,15.410,5320,117,255,241.760,21.801
G13,5320,72,181,127.222,21.113,5320,68,181,127.213,21.136,5320,113,255,227.170,30.224
G14,5320,0,245,100.501,51.885,5320,0,156,63.606,40.648,5320,0,255,156.558,89.021
G15,5320,76,191,139.305,19.465,5320,76,191,139.305,19.465,5320,119,255,218.877,33.387
G16,5320,41,188,105.115,29.403,5320,41,188,105.115,29.403,5320,62,255,158.912,40.605
G17,5320,83,249,176.751,38.203,5320,83,248,176.493,37.820,5320,114,255,225.597,30.098
G18,5320,55,254,144.051,56.026,5320,42,250,143.604,55.554,5320,77,255,211.223,41.488
G19,5320,22,247,129.252,62.280,5320,0,242,94.195,69.152,5320,0,255,140.617,82.039
G20,5320,139,253,205.130,24.435,5320,92,250,194.962,27.124,5320,92,255,224.674,35.019
G21,5320,99,255,208.590,50.009,5320,99,249,198.139,43.756,5320,135,252,220.933,21.361
G22,5320,60,255,185.571,37.813,5320,60,240,173.449,29.980,5320,79,246,193.917,23.540
G23,5320,85,255,206.064,37.471,5320,60,251,162.147,35.742,5320,60,254,167.040,36.970
G24,5320,74,255,229.014,28.700,5320,74,243,164.447,38.564,5320,87,244,168.540,40.515
G25,5320,120,255,235.900,26.723,5320,59,150,100.995,18.025,5320,59,150,100.995,18.025
G26,5320,114,255,227.570,26.759,5320,57,195,109.961,16.638,5320,57,195,109.961,16.638
G27,5320,84,255,221.191,32.871,5320,32,189,110.303,25.464,5320,32,189,110.303,25.464
G28,5320,104,255,184.714,38.771,5320,36,155,80.549,33.475,5320,36,155,80.549,33.475
G29,5320,156,255,225.768,21.541,5320,0,177,31.337,42.274,5320,0,177,31.337,42.274
G30,5320,166,255,244.927,14.746,5320,0,86,25.599,20.985,5320,0,86,25.599,20.985
G31,5320,39,255,226.655,39.709,5320,0,104,47.541,35.624,5320,0,104,47.541,35.624
G32,5320,28,231,174.124,44.365,5320,9,101,73.549,21.091,5320,9,101,73.549,21.091
G33,5320,94,255,163.277,34.354,5320,26,154,72.417,28.537,5320,26,154,72.417,28.537
G34,5320,52,255,182.117,55.150,5320,0,180,26.798,25.637,5320,0,255,27.234,28.143
G35,5320,109,255,191.903,28.741,5320,0,77,10.617,16.191,5320,0,77,10.617,16.191
G36,5320,57,255,199.459,49.206,5320,0,178,69.599,68.740,5320,0,178,69.599,68.740
G37,5320,161,255,230.912,25.053,5320,83,176,130.499,28.782,5320,83,176,130.499,28.782
G38,5320,178,255,247.305,13.845,5320,83,152,118.551,13.504,5320,83,152,118.551,13.504
G39,5320,27,255,188.395,54.662,5320,27,180,116.218,28.656,5320,38,226,119.975,29.588
G40,5320,106,255,226.081,19.255,5320,0,219,94.392,54.153,5320,0,234,94.546,54.493
G41,5320,97,255,211.777,34.708,5320,96,242,165.985,28.076,5320,97,247,168.295,29.260
G42,5320,64,255,212.718,41.129,5320,49,222,152.984,28.587,5320,49,229,153.055,28.724
G43,5320,18,241,85.344,44.645,5320,18,237,85.133,44.113,5320,78,255,227.767,33.206
G44,5320,34,249,166.095,34.993,5320,34,221,148.925,32.877,5320,43,248,170.198,46.034
G45,5320,32,255,123.944,62.151,5320,32,255,120.816,57.893,5320,39,255,143.139,56.556
G46,5320,125,247,170.337,22.331,5320,124,233,169.435,20.920,5320,129,255,235.895,20.865
