Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,222,255,243.384,9.180,5320,58,206,109.024,31.070,5320,58,206,109.024,31.070
G2,5320,70,255,213.611,48.146,5320,0,151,58.556,38.708,5320,0,151,58.556,38.708
G3,5320,125,255,223.969,39.158,5320,125,251,201.379,34.954,5320,140,254,212.780,27.361
G4,5320,143,255,210.400,30.970,5320,60,244,173.658,43.850,5320,60,255,187.113,50.736
G5,5320,128,255,224.408,25.366,5320,42,231,174.556,41.328,5320,42,255,182.193,48.484
G6,5320,18,179,102.524,33.200,5320,18,179,102.524,33.200,5320,62,250,202.905,39.531
G7,5320,75,240,164.271,35.338,5320,75,240,164.268,35.333,5320,140,255,220.679,31.271
G8,5320,141,234,160.726,16.086,5320,141,234,160.726,16.086,5320,209,255,246.801,10.899
G9,5320,68,226,149.750,30.241,5320,68,226,149.637,30.083,5320,135,255,239.634,22.253
G10,5320,66,245,143.058,44.591,5320,66,235,142.482,43.666,5320,139,255,225.511,29.913
G11,5320,29,155,120.154,26.906,5320,29,155,120.154,26.906,5320,78,255,229.286,35.275
G12,5320,83,197,165.030,17.713,5320,83,197,165.030,17.713,5320,116,255,241.780,20.994
G13,5320,116,191,153.200,14.831,5320,116,191,153.200,14.831,5320,154,255,230.336,27.902
G14,5320,54,180,134.826,34.581,5320,54,180,134.826,34.581,5320,83,255,201.932,45.431
G15,5320,28,163,102.619,33.560,5320,28,163,102.619,33.560,5320,47,255,174.028,48.467
G16,5320,19,145,83.175,32.949,5320,19,145,83.175,32.949,5320,42,255,154.892,54.935
G17,5320,82,224,169.646,33.884,5320,82,224,169.646,33.884,5320,116,255,227.524,28.983
G18,5320,44,240,150.621,56.826,5320,44,240,150.038,56.457,5320,51,255,176.875,63.450
G19,5320,54,192,147.770,28.341,5320,54,192,147.755,28.350,5320,63,255,187.010,35.963
G20,5320,37,194,140.793,21.517,5320,37,194,140.793,21.517,5320,63,255,229.374,30.263
G21,5320,51,234,141.307,40.796,5320,51,234,140.882,40.078,5320,107,255,195.796,36.047
G22,5320,51,238,143.786,56.620,5320,51,238,134.337,49.724,5320,82,255,160.785,42.240
G23,5320,69,255,202.361,58.217,5320,63,249,177.020,55.636,5320,63,255,178.682,56.033
G24,5320,58,224,130.592,28.014,5320,39,202,113.214,28.927,5320,39,241,124.555,38.111
G25,5320,114,248,198.010,27.060,5320,114,247,196.681,26.589,5320,133,255,226.605,28.971
G26,5320,46,255,169.049,48.856,5320,0,216,82.738,76.959,5320,0,241,84.661,79.475
G27,5320,85,255,197.940,38.903,5320,0,161,44.828,45.258,5320,0,161,44.835,45.271
G28,5320,105,255,185.634,38.670,5320,38,182,91.420,36.904,5320,38,182,91.420,36.904
G29,5320,88,255,219.095,32.562,5320,44,250,162.269,55.919,5320,44,255,164.444,58.787
G30,5320,2,244,184.296,45.088,5320,2,243,183.312,44.646,5320,152,255,231.664,20.284
G31,5320,0,255,130.476,75.352,5320,0,231,67.527,63.581,5320,0,235,103.519,74.385
G32,5320,41,235,167.852,48.652,5320,0,129,72.934,45.906,5320,0,129,72.934,45.906
G33,5320,94,252,163.646,34.854,5320,29,173,84.603,31.520,5320,29,173,84.603,31.520
G34,5320,21,255,182.011,57.403,5320,12,182,39.890,21.218,5320,12,255,40.278,23.728
G35,5320,0,202,50.637,63.841,5320,0,202,50.637,63.841,5320,111,255,219.613,32.141
G36,5320,0,255,107.264,100.503,5320,0,243,103.422,97.594,5320,31,255,214.716,40.170
G37,5320,148,255,232.367,25.055,5320,104,243,172.109,39.350,5320,104,248,172.943,40.592
G38,5320,170,255,247.649,13.490,5320,105,178,143.889,12.218,5320,105,178,143.889,12.218
G39,5320,38,255,189.635,52.435,5320,38,187,125.455,30.766,5320,43,211,128.505,30.002
G40,5320,0,209,55.747,43.768,5320,0,209,55.747,43.768,5320,88,250,191.647,39.715
G41,5320,58,255,178.092,59.137,5320,58,248,169.123,50.793,5320,149,255,204.750,26.900
G42,5320,61,255,213.808,38.883,5320,56,240,170.768,29.224,5320,56,245,171.361,29.790
G43,5320,1,215,40.667,43.817,5320,1,215,40.674,43.819,5320,82,255,224.771,38.152
G44,5320,21,247,155.423,40.045,5320,21,215,144.015,33.470,5320,37,255,173.468,39.144
G45,5320,24,255,119.936,61.912,5320,24,255,117.205,57.894,5320,29,255,144.362,54.866
G46,5320,95,242,148.159,29.557,5320,95,233,147.842,29.049,5320,105,255,234.757,21.356
