Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,193,255,242.345,10.779,5320,46,188,97.261,28.312,5320,46,188,97.261,28.312
G2,5320,63,255,214.640,49.447,5320,0,131,50.263,31.624,5320,0,131,50.263,31.624
G3,5320,128,255,229.350,34.702,5320,128,237,187.722,25.628,5320,133,237,193.933,23.785
G4,5320,155,255,222.356,27.372,5320,53,248,163.422,47.237,5320,53,253,164.768,48.614
G5,5320,82,255,222.808,27.872,5320,15,231,140.889,45.810,5320,15,235,141.357,46.533
G6,5320,31,183,119.827,33.933,5320,31,183,119.827,33.933,5320,89,253,209.152,30.153
G7,5320,93,255,194.256,38.916,5320,93,245,192.186,37.371,5320,120,255,219.553,31.056
G8,5320,191,255,218.184,14.199,5320,191,246,217.771,13.397,5320,209,255,244.266,11.470
G9,5320,89,255,219.544,30.276,5320,84,254,215.313,29.774,5320,84,255,230.710,33.195
G10,5320,79,248,172.265,41.356,5320,69,218,149.886,37.015,5320,69,218,149.908,37.031
G11,5320,23,196,151.712,38.373,5320,23,196,151.712,38.373,5320,67,255,227.374,39.445
G12,5320,100,247,202.681,23.915,5320,100,247,202.681,23.915,5320,116,255,239.458,23.424
G13,5320,144,244,204.574,20.702,5320,144,244,204.574,20.702,5320,146,255,227.586,28.503
G14,5320,108,255,201.825,39.228,5320,108,242,195.238,32.548,5320,120,255,208.729,30.060
G15,5320,88,255,211.779,37.321,5320,72,232,170.944,34.422,5320,72,232,170.944,34.422
G16,5320,181,255,235.161,14.720,5320,140,249,204.196,26.285,5320,140,255,206.710,29.581
G17,5320,100,254,208.507,37.122,5320,100,252,207.151,36.189,5320,117,255,224.668,31.022
G18,5320,49,255,177.326,58.233,5320,49,252,168.628,56.130,5320,53,254,176.280,52.049
G19,5320,80,255,192.568,41.165,5320,73,243,167.844,28.800,5320,73,255,191.744,39.471
G20,5320,172,255,241.695,16.745,5320,40,215,115.129,34.865,5320,40,215,115.129,34.865
G21,5320,80,255,195.609,50.505,5320,29,234,157.099,51.539,5320,29,236,158.532,51.922
G22,5320,65,244,193.885,39.837,5320,54,215,164.651,30.234,5320,54,227,165.994,30.634
G23,5320,103,255,208.318,45.613,5320,73,226,158.955,38.990,5320,73,226,159.533,38.697
G24,5320,56,239,180.383,39.433,5320,42,238,133.547,46.937,5320,42,250,135.824,50.334
G25,5320,97,255,189.741,33.659,5320,40,241,133.917,51.565,5320,40,245,134.312,52.160
G26,5320,96,255,207.185,38.138,5320,37,225,133.180,60.171,5320,37,225,133.180,60.171
G27,5320,94,255,222.106,29.369,5320,22,147,71.968,24.737,5320,22,147,71.968,24.737
G28,5320,103,253,184.307,37.650,5320,18,126,51.986,29.120,5320,18,126,51.986,29.120
G29,5320,80,255,202.740,44.480,5320,50,249,190.259,57.816,5320,50,255,201.002,64.450
G30,5320,185,255,219.905,13.386,5320,185,248,218.035,10.424,5320,202,255,243.989,9.116
G31,5320,75,255,205.876,42.352,5320,23,236,162.467,52.832,5320,23,255,165.862,56.023
G32,5320,34,248,172.752,50.830,5320,8,148,88.369,43.134,5320,8,148,88.369,43.134
G33,5320,83,249,164.041,33.660,5320,14,156,67.267,33.786,5320,14,156,67.267,33.786
G34,5320,23,255,179.919,57.035,5320,0,148,35.804,30.318,5320,0,249,35.899,30.594
G35,5320,169,244,206.322,13.058,5320,169,238,206.079,12.769,5320,178,255,223.474,17.540
G36,5320,76,252,207.548,30.528,5320,76,246,201.233,31.835,5320,80,255,207.029,33.944
G37,5320,154,255,226.354,18.006,5320,96,243,169.052,31.709,5320,96,246,169.233,32.067
G38,5320,168,255,243.590,18.403,5320,82,168,128.364,17.250,5320,82,168,128.364,17.250
G39,5320,0,255,176.511,76.291,5320,0,185,113.101,46.499,5320,36,255,135.294,42.623
G40,5320,152,255,216.704,24.406,5320,152,251,215.585,23.052,5320,155,255,239.536,16.459
G41,5320,94,255,196.766,40.590,5320,94,250,183.670,31.574,5320,140,254,196.856,26.425
G42,5320,58,255,211.038,37.919,5320,51,233,155.175,34.145,5320,51,234,155.683,34.711
G43,5320,19,229,74.540,42.403,5320,19,228,74.521,42.339,5320,78,255,216.115,36.673
G44,5320,30,246,183.784,34.042,5320,22,224,156.197,28.771,5320,22,232,169.748,37.179
G45,5320,31,255,134.011,56.571,5320,28,255,129.753,51.728,5320,28,255,148.673,51.123
G46,5320,113,247,161.179,30.715,5320,113,237,160.416,29.837,5320,119,255,238.027,22.963
