Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,215,255,243.479,9.058,5320,30,177,73.790,29.789,5320,30,177,73.790,29.789
G2,5320,58,255,219.916,52.720,5320,0,107,24.050,22.762,5320,0,107,24.050,22.762
G3,5320,134,255,231.998,30.236,5320,87,213,170.962,25.729,5320,87,234,175.241,28.701
G4,5320,122,255,225.496,28.331,5320,34,234,153.317,51.827,5320,34,234,153.484,51.947
G5,5320,132,255,225.985,20.979,5320,33,241,180.355,41.710,5320,33,255,189.786,50.200
G6,5320,28,192,124.355,39.048,5320,28,192,124.355,39.048,5320,69,251,204.114,39.584
G7,5320,92,255,203.855,40.362,5320,92,250,196.029,37.023,5320,123,255,214.118,30.436
G8,5320,177,255,225.644,18.302,5320,177,249,221.293,16.119,5320,184,255,227.506,17.453
G9,5320,65,249,177.983,39.141,5320,65,249,176.353,38.079,5320,80,255,210.470,43.129
G10,5320,0,198,46.055,49.805,5320,0,198,46.002,49.680,5320,44,255,159.906,52.470
G11,5320,32,200,151.682,34.475,5320,32,200,151.682,34.475,5320,78,255,228.702,35.695
G12,5320,112,255,214.103,27.819,5320,111,248,209.605,25.766,5320,124,255,235.280,26.178
G13,5320,149,255,227.214,22.443,5320,107,244,188.039,33.806,5320,107,248,189.061,35.035
G14,5320,121,255,208.419,30.601,5320,65,213,143.021,29.748,5320,65,213,143.333,29.903
G15,5320,58,255,204.072,42.253,5320,58,215,161.802,26.455,5320,95,215,165.629,21.364
G16,5320,0,253,161.016,56.971,5320,0,246,158.981,55.473,5320,37,255,200.925,53.808
G17,5320,109,255,206.373,37.107,5320,109,246,194.767,28.118,5320,122,255,213.491,26.498
G18,5320,61,255,195.614,42.562,5320,31,217,130.182,41.753,5320,31,217,130.182,41.753
G19,5320,52,255,209.264,34.606,5320,27,161,94.906,23.536,5320,27,161,94.906,23.536
G20,5320,165,255,223.237,21.466,5320,59,183,91.898,18.194,5320,59,183,91.898,18.194
G21,5320,22,255,187.347,54.239,5320,22,216,143.210,42.401,5320,29,216,144.385,41.464
G22,5320,32,255,186.218,37.844,5320,32,209,160.484,29.486,5320,41,209,161.288,28.512
G23,5320,109,255,220.674,35.851,5320,20,173,132.527,39.262,5320,20,173,132.527,39.262
G24,5320,116,255,214.492,36.412,5320,33,165,105.945,37.585,5320,33,165,105.945,37.585
G25,5320,140,255,214.919,20.002,5320,20,134,78.399,28.941,5320,20,134,78.399,28.941
G26,5320,96,255,229.901,32.054,5320,21,182,64.499,39.502,5320,21,182,64.499,39.502
G27,5320,105,255,216.459,32.271,5320,27,169,76.387,25.430,5320,27,169,76.387,25.430
G28,5320,105,255,184.622,36.921,5320,15,132,57.915,31.960,5320,15,132,57.915,31.960
G29,5320,134,255,226.553,28.017,5320,0,68,7.363,14.436,5320,0,68,7.363,14.436
G30,5320,152,255,220.596,26.198,5320,0,54,7.952,13.353,5320,0,54,7.952,13.353
G31,5320,27,255,204.386,49.941,5320,0,86,18.170,20.753,5320,0,86,18.170,20.753
G32,5320,29,232,169.912,45.594,5320,8,84,56.838,20.363,5320,8,84,56.838,20.363
G33,5320,81,255,162.607,44.449,5320,11,145,62.943,35.185,5320,11,145,62.943,35.185
G34,5320,60,255,184.111,60.029,5320,0,177,25.631,27.291,5320,0,255,26.459,31.839
G35,5320,55,234,158.928,42.792,5320,0,22,1.647,3.715,5320,0,22,1.647,3.715
G36,5320,46,255,214.298,38.525,5320,0,169,60.516,65.994,5320,0,169,60.516,65.994
G37,5320,158,255,230.578,28.739,5320,66,170,123.151,28.991,5320,66,170,123.151,28.991
G38,5320,161,255,246.367,15.479,5320,65,140,105.777,13.765,5320,65,140,105.777,13.765
G39,5320,25,255,185.199,57.764,5320,25,172,108.100,28.696,5320,38,232,114.402,29.539
G40,5320,74,246,185.178,47.167,5320,0,198,63.734,61.078,5320,0,208,63.902,61.397
G41,5320,126,255,214.699,34.704,5320,51,241,154.790,31.629,5320,51,243,155.830,32.238
G42,5320,54,255,214.729,39.666,5320,47,219,146.472,29.752,5320,47,224,146.528,29.856
G43,5320,13,247,97.428,49.963,5320,13,240,97.032,49.031,5320,37,255,222.716,40.945
G44,5320,15,241,171.924,37.168,5320,15,219,146.600,34.332,5320,24,254,164.518,44.804
G45,5320,34,255,130.938,57.683,5320,34,255,125.859,51.807,5320,39,255,144.299,50.418
G46,5320,124,238,164.058,26.434,5320,119,229,163.028,25.282,5320,120,255,234.891,21.802
