Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,242.177,8.174,5320,79,214,135.370,25.942,5320,79,214,135.370,25.942
G2,5320,63,255,231.023,36.673,5320,32,195,122.127,23.200,5320,32,199,122.142,23.243
G3,5320,111,255,224.274,36.676,5320,111,252,211.710,32.521,5320,135,255,223.213,22.141
G4,5320,68,255,218.687,35.477,5320,36,242,190.996,39.546,5320,36,255,198.993,43.274
G5,5320,0,255,210.698,52.006,5320,0,241,185.700,47.186,5320,37,255,196.177,44.764
G6,5320,25,191,110.356,34.563,5320,25,191,110.356,34.563,5320,64,254,201.511,39.163
G7,5320,81,230,176.228,36.259,5320,81,230,176.228,36.259,5320,135,255,221.252,30.436
G8,5320,149,226,192.118,12.560,5320,149,226,192.118,12.560,5320,187,255,248.074,10.596
G9,5320,72,230,166.802,37.201,5320,72,230,166.802,37.201,5320,169,255,236.769,19.998
G10,5320,0,99,17.033,28.531,5320,0,99,17.033,28.531,5320,48,255,163.691,55.470
G11,5320,27,187,139.247,36.502,5320,27,187,139.247,36.502,5320,78,255,227.281,38.132
G12,5320,102,251,200.625,22.821,5320,102,251,200.259,22.797,5320,118,255,241.324,21.992
G13,5320,115,255,214.560,28.044,5320,107,249,195.890,36.326,5320,107,255,202.117,42.455
G14,5320,80,255,156.110,39.743,5320,80,245,153.371,37.153,5320,99,255,197.402,35.128
G15,5320,0,239,95.725,68.603,5320,0,200,84.740,58.915,5320,53,247,136.798,45.457
G16,5320,0,255,136.164,84.921,5320,0,235,127.373,76.435,5320,78,255,199.598,44.962
G17,5320,99,255,204.239,40.641,5320,99,248,195.734,33.611,5320,116,255,217.422,28.647
G18,5320,59,255,215.681,47.947,5320,0,226,133.818,69.386,5320,0,226,133.818,69.386
G19,5320,71,255,184.246,39.380,5320,0,235,47.976,66.231,5320,0,235,47.977,66.232
G20,5320,109,255,208.641,33.547,5320,0,168,18.082,36.843,5320,0,168,18.082,36.843
G21,5320,47,255,163.826,62.715,5320,0,236,128.056,66.164,5320,0,236,128.404,66.154
G22,5320,35,251,186.191,44.311,5320,35,221,168.765,34.521,5320,38,221,171.548,32.266
G23,5320,76,255,206.328,55.202,5320,0,172,77.902,58.137,5320,0,172,77.902,58.137
G24,5320,28,255,168.419,55.672,5320,0,11,0.056,0.546,5320,0,11,0.056,0.546
G25,5320,58,255,194.293,52.177,5320,0,65,1.135,6.674,5320,0,65,1.135,6.674
G26,5320,79,255,204.842,46.513,5320,0,210,55.368,61.097,5320,0,210,55.368,61.097
G27,5320,105,255,217.925,29.849,5320,33,175,89.900,28.300,5320,33,175,89.900,28.300
G28,5320,104,255,182.141,37.254,5320,31,146,70.666,30.522,5320,31,146,70.666,30.522
G29,5320,34,251,163.176,56.469,5320,0,230,39.741,46.863,5320,0,231,39.955,47.435
G30,5320,26,255,176.726,53.398,5320,0,225,115.189,75.411,5320,0,225,115.347,75.478
G31,5320,44,218,127.268,42.686,5320,19,192,68.921,42.742,5320,19,192,68.922,42.744
G32,5320,36,236,168.118,46.946,5320,13,115,77.053,28.506,5320,13,115,77.053,28.506
G33,5320,90,255,162.831,35.588,5320,30,165,76.604,32.602,5320,30,165,76.604,32.602
G34,5320,53,255,179.090,59.120,5320,0,184,35.370,27.997,5320,0,255,37.367,37.265
G35,5320,72,251,175.435,38.528,5320,72,248,174.012,37.064,5320,140,255,220.380,24.806
G36,5320,77,254,200.293,36.107,5320,77,248,190.055,36.107,5320,112,255,210.374,29.889
G37,5320,170,255,229.589,24.426,5320,91,228,159.015,40.155,5320,91,233,159.687,41.157
G38,5320,184,255,247.821,12.237,5320,103,170,132.358,13.220,5320,103,170,132.358,13.220
G39,5320,11,255,186.810,57.211,5320,11,184,119.882,33.820,5320,43,229,125.190,29.772
G40,5320,61,202,115.057,20.711,5320,61,202,115.057,20.711,5320,126,255,226.096,23.334
G41,5320,56,255,183.520,54.213,5320,56,252,172.089,44.139,5320,146,255,200.907,26.630
G42,5320,61,255,215.111,39.381,5320,60,245,168.742,29.187,5320,60,246,169.090,29.531
G43,5320,3,219,44.498,44.454,5320,3,219,44.504,44.450,5320,94,255,226.323,31.588
G44,5320,29,247,161.088,35.823,5320,23,217,149.742,29.859,5320,23,249,179.006,38.701
G45,5320,22,255,116.680,62.273,5320,22,255,114.994,59.635,5320,28,255,141.730,56.197
G46,5320,98,249,150.343,29.992,5320,98,227,150.008,29.375,5320,120,255,236.211,20.962
