Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,174,255,234.496,17.713,5320,105,241,186.191,29.284,5320,105,255,192.793,35.408
G2,5320,68,255,221.667,44.951,5320,53,236,164.822,40.605,5320,53,255,166.144,42.405
G3,5320,35,219,102.268,46.026,5320,35,219,102.268,46.026,5320,72,255,181.481,47.969
G4,5320,45,230,136.655,46.592,5320,45,227,136.377,46.223,5320,72,255,188.961,52.510
G5,5320,45,251,163.923,48.948,5320,45,244,162.735,47.411,5320,149,255,237.361,21.781
G6,5320,4,131,41.578,28.343,5320,4,131,41.578,28.343,5320,68,254,204.427,39.935
G7,5320,12,143,60.130,37.588,5320,12,143,60.130,37.588,5320,95,255,206.375,38.321
G8,5320,44,141,98.842,20.997,5320,44,141,98.842,20.997,5320,111,255,210.443,36.999
G9,5320,20,136,78.872,27.119,5320,20,136,78.872,27.119,5320,87,255,183.870,43.997
G10,5320,3,125,43.059,29.846,5320,3,125,43.059,29.846,5320,98,255,179.035,33.601
G11,5320,4,130,80.649,33.044,5320,4,130,80.649,33.044,5320,76,255,229.984,37.263
G12,5320,39,151,112.380,16.524,5320,39,151,112.380,16.524,5320,125,255,242.628,20.700
G13,5320,53,238,156.039,40.930,5320,53,238,156.038,40.929,5320,133,255,233.206,23.431
G14,5320,48,236,160.991,40.574,5320,48,236,160.958,40.523,5320,75,255,221.430,39.114
G15,5320,39,243,130.997,48.606,5320,39,240,126.984,50.089,5320,49,240,153.285,53.782
G16,5320,62,209,132.911,34.871,5320,0,176,52.105,42.459,5320,0,180,52.779,44.019
G17,5320,73,238,169.532,41.986,5320,73,238,169.313,41.671,5320,127,255,226.890,29.522
G18,5320,156,255,238.869,16.394,5320,156,254,226.339,16.634,5320,183,255,234.672,17.120
G19,5320,95,255,213.295,30.321,5320,95,253,200.794,26.515,5320,109,255,205.178,26.135
G20,5320,113,255,220.270,28.045,5320,25,254,195.153,45.371,5320,25,254,195.646,45.860
G21,5320,57,255,187.625,59.129,5320,4,240,150.477,68.089,5320,4,240,150.477,68.089
G22,5320,46,255,172.829,42.996,5320,6,213,130.258,38.963,5320,6,213,130.258,38.963
G23,5320,235,255,250.703,5.333,5320,118,232,190.005,22.608,5320,118,232,190.005,22.608
G24,5320,136,255,236.289,20.179,5320,67,208,156.745,32.522,5320,67,208,156.745,32.522
G25,5320,180,255,240.319,15.917,5320,34,205,127.054,51.096,5320,34,205,127.054,51.096
G26,5320,106,255,237.547,27.238,5320,30,213,111.030,42.178,5320,30,213,111.030,42.178
G27,5320,102,255,219.555,34.879,5320,36,183,97.126,21.565,5320,36,183,97.126,21.565
G28,5320,103,255,186.420,40.146,5320,32,127,69.023,27.271,5320,32,127,69.023,27.271
G29,5320,89,255,187.947,42.874,5320,55,217,107.269,28.082,5320,55,231,107.376,28.452
G30,5320,127,255,225.757,30.789,5320,126,246,205.183,26.219,5320,126,255,220.391,25.146
G31,5320,49,255,216.564,39.383,5320,34,250,185.092,43.915,5320,34,255,199.722,52.711
G32,5320,41,240,176.648,48.024,5320,15,130,88.156,28.039,5320,15,130,88.156,28.039
G33,5320,94,255,160.777,36.898,5320,22,164,74.189,33.965,5320,22,164,74.189,33.965
G34,5320,67,255,177.431,56.628,5320,0,222,30.048,30.298,5320,0,255,30.894,34.977
G35,5320,94,217,148.676,27.505,5320,94,216,148.676,27.504,5320,156,254,209.385,26.052
G36,5320,47,255,186.375,35.888,5320,47,236,178.682,35.399,5320,55,255,210.921,41.599
G37,5320,168,255,229.230,24.580,5320,85,230,156.058,39.478,5320,85,230,156.326,39.893
G38,5320,181,255,247.123,13.417,5320,101,164,129.525,13.821,5320,101,164,129.525,13.821
G39,5320,34,255,188.207,53.900,5320,34,181,118.742,30.936,5320,41,230,123.236,29.929
G40,5320,53,211,115.253,26.424,5320,53,211,115.253,26.422,5320,90,251,192.870,37.444
G41,5320,62,255,187.669,51.400,5320,62,254,174.899,40.577,5320,146,255,199.165,26.664
G42,5320,61,255,213.995,37.633,5320,58,243,163.664,29.041,5320,58,243,163.818,29.319
G43,5320,6,224,45.858,46.469,5320,6,224,45.851,46.445,5320,82,255,225.431,37.012
G44,5320,22,244,159.098,38.007,5320,22,219,144.196,32.806,5320,31,255,173.968,43.954
G45,5320,27,255,121.692,60.117,5320,27,255,118.097,54.900,5320,32,255,143.743,52.339
G46,5320,46,191,88.877,35.816,5320,46,191,88.877,35.815,5320,133,255,236.788,19.894
