Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,204,255,243.546,9.221,5320,57,200,113.840,27.957,5320,57,200,113.840,27.957
G2,5320,69,255,213.262,49.615,5320,12,149,77.589,29.987,5320,12,149,77.589,29.987
G3,5320,112,255,228.047,37.016,5320,112,235,194.093,27.132,5320,133,240,201.645,21.547
G4,5320,150,255,224.621,24.971,5320,79,252,186.185,44.312,5320,79,255,188.664,46.494
G5,5320,164,255,239.727,15.860,5320,104,252,198.486,33.469,5320,104,255,200.599,35.272
G6,5320,24,184,110.383,34.700,5320,24,184,110.383,34.700,5320,63,253,199.328,38.334
G7,5320,87,251,190.795,38.561,5320,87,240,189.223,37.099,5320,131,255,219.600,28.042
G8,5320,173,249,204.248,17.103,5320,173,247,203.983,16.535,5320,201,255,241.159,15.124
G9,5320,78,251,205.716,32.672,5320,78,251,205.704,32.665,5320,142,255,237.499,23.141
G10,5320,74,216,122.750,32.151,5320,74,216,122.750,32.151,5320,142,255,224.849,28.572
G11,5320,36,201,151.351,36.916,5320,36,201,151.351,36.916,5320,91,255,231.684,34.445
G12,5320,105,253,214.248,23.070,5320,105,252,213.439,23.155,5320,116,255,242.670,22.815
G13,5320,143,255,220.533,23.518,5320,122,252,210.095,29.030,5320,122,255,217.300,33.675
G14,5320,199,255,242.065,11.254,5320,142,252,223.028,22.651,5320,142,255,227.126,25.124
G15,5320,150,253,210.107,24.539,5320,86,252,189.312,42.781,5320,86,255,197.487,48.166
G16,5320,155,255,219.683,24.375,5320,70,243,166.861,44.204,5320,70,243,167.561,44.778
G17,5320,107,255,212.592,34.509,5320,107,233,192.199,26.080,5320,109,255,205.908,30.917
G18,5320,50,255,206.141,36.604,5320,0,213,102.057,65.784,5320,0,213,102.057,65.784
G19,5320,47,255,220.928,51.611,5320,0,189,55.832,55.585,5320,0,189,55.832,55.585
G20,5320,51,255,210.910,41.887,5320,14,140,82.940,23.556,5320,14,140,82.940,23.556
G21,5320,75,255,177.192,45.530,5320,31,249,130.367,65.021,5320,31,250,130.381,65.043
G22,5320,113,255,192.137,29.904,5320,109,236,173.282,25.780,5320,109,236,173.282,25.780
G23,5320,52,255,222.066,38.977,5320,0,218,92.132,69.454,5320,0,218,92.132,69.454
G24,5320,69,255,193.690,52.374,5320,49,235,172.437,49.643,5320,49,235,172.439,49.645
G25,5320,44,253,143.772,46.405,5320,19,251,136.069,52.606,5320,19,253,141.994,52.320
G26,5320,53,255,210.912,49.025,5320,49,252,180.518,41.668,5320,49,253,182.316,41.638
G27,5320,83,255,207.907,36.175,5320,45,230,143.759,27.880,5320,45,230,143.759,27.880
G28,5320,97,255,183.202,40.505,5320,41,159,84.963,32.908,5320,41,159,84.963,32.908
G29,5320,95,255,218.398,34.692,5320,0,231,141.620,92.654,5320,0,231,141.637,92.658
G30,5320,60,255,193.861,39.191,5320,59,243,184.347,40.964,5320,63,252,190.424,41.727
G31,5320,39,236,134.146,44.383,5320,32,213,121.543,40.035,5320,32,219,121.998,40.285
G32,5320,37,249,175.098,49.636,5320,23,170,119.897,36.454,5320,23,170,119.897,36.454
G33,5320,91,241,166.734,31.210,5320,30,165,85.489,29.945,5320,30,165,85.489,29.945
G34,5320,30,255,182.104,55.351,5320,0,170,37.923,23.722,5320,0,241,38.114,24.687
G35,5320,81,246,194.315,29.971,5320,0,246,140.048,82.900,5320,0,255,148.954,90.546
G36,5320,171,242,220.230,16.170,5320,161,242,219.192,17.432,5320,161,255,232.161,20.279
G37,5320,146,255,223.649,20.516,5320,100,237,177.343,30.012,5320,100,243,177.639,30.537
G38,5320,142,255,245.421,15.176,5320,98,173,140.223,14.213,5320,98,173,140.223,14.213
G39,5320,27,255,189.309,54.132,5320,27,184,123.291,30.645,5320,38,241,128.642,34.106
G40,5320,126,245,202.325,23.371,5320,126,245,202.325,23.371,5320,155,255,236.925,19.524
G41,5320,83,255,200.490,41.932,5320,83,248,187.919,32.998,5320,130,253,199.864,29.740
G42,5320,55,255,213.912,36.293,5320,51,232,160.631,29.111,5320,51,233,161.092,29.686
G43,5320,12,233,62.886,42.761,5320,12,231,62.864,42.678,5320,72,255,219.950,40.062
G44,5320,22,246,169.714,38.380,5320,22,216,151.283,33.265,5320,51,255,173.405,42.270
G45,5320,24,255,124.923,60.931,5320,24,255,121.786,56.733,5320,29,255,144.654,54.900
G46,5320,103,247,149.502,33.237,5320,103,227,149.039,32.562,5320,124,255,236.416,21.826
