Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,225,255,246.167,6.569,5320,104,236,171.211,30.155,5320,104,236,171.219,30.171
G2,5320,58,255,205.129,55.880,5320,58,232,169.455,36.528,5320,77,232,175.604,27.645
G3,5320,107,255,210.555,44.306,5320,107,252,208.967,43.081,5320,143,255,235.210,22.773
G4,5320,136,255,207.871,25.783,5320,136,250,205.948,24.289,5320,179,255,228.730,20.450
G5,5320,30,240,158.508,57.896,5320,30,240,158.508,57.896,5320,69,255,193.239,55.037
G6,5320,14,154,83.563,29.287,5320,14,154,83.563,29.287,5320,66,254,200.967,39.130
G7,5320,64,206,136.911,29.654,5320,64,206,136.911,29.654,5320,140,255,221.895,28.683
G8,5320,46,202,121.643,34.773,5320,46,202,121.643,34.773,5320,175,255,230.263,21.412
G9,5320,11,214,89.208,51.744,5320,11,214,89.208,51.744,5320,89,255,219.724,36.945
G10,5320,0,121,22.380,22.960,5320,0,121,22.380,22.960,5320,49,255,180.854,47.571
G11,5320,25,126,97.957,21.113,5320,25,126,97.957,21.113,5320,84,255,230.830,33.408
G12,5320,61,137,117.605,11.469,5320,61,137,117.605,11.469,5320,117,255,241.815,21.453
G13,5320,0,108,29.933,29.913,5320,0,108,29.933,29.913,5320,125,255,213.917,28.426
G14,5320,0,50,14.402,13.164,5320,0,50,14.402,13.164,5320,76,255,186.062,43.899
G15,5320,0,66,0.519,3.374,5320,0,66,0.519,3.374,5320,47,255,175.484,54.729
G16,5320,0,201,94.941,74.723,5320,0,201,94.941,74.723,5320,94,255,217.676,36.746
G17,5320,62,180,127.927,21.977,5320,62,180,127.927,21.977,5320,120,255,226.771,29.490
G18,5320,0,140,57.248,39.794,5320,0,140,57.248,39.794,5320,186,255,240.830,15.952
G19,5320,0,88,33.331,18.918,5320,0,88,33.331,18.918,5320,157,255,223.292,24.796
G20,5320,0,70,27.664,13.753,5320,0,70,27.664,13.753,5320,48,255,203.948,45.133
G21,5320,0,199,94.745,50.852,5320,0,199,94.745,50.852,5320,41,255,175.370,37.582
G22,5320,47,236,162.816,37.386,5320,47,232,162.737,37.265,5320,65,255,192.476,35.906
G23,5320,51,235,155.387,41.177,5320,51,235,155.383,41.170,5320,229,255,249.604,5.984
G24,5320,36,218,145.205,44.006,5320,36,218,145.205,44.006,5320,229,255,253.695,3.057
G25,5320,0,154,53.812,41.729,5320,0,154,53.812,41.729,5320,138,255,207.251,37.691
G26,5320,0,198,54.906,63.709,5320,0,198,54.906,63.709,5320,70,255,209.767,45.154
G27,5320,71,255,176.844,43.112,5320,71,253,175.080,41.695,5320,133,255,223.197,32.426
G28,5320,107,255,188.277,34.044,5320,50,241,136.778,50.718,5320,50,241,136.815,50.757
G29,5320,20,255,196.090,35.048,5320,20,246,191.845,31.711,5320,34,255,240.030,25.772
G30,5320,0,157,53.010,47.448,5320,0,157,53.010,47.448,5320,31,255,205.579,39.812
G31,5320,0,172,18.270,40.729,5320,0,169,18.213,40.531,5320,33,255,213.748,39.209
G32,5320,2,229,148.555,59.633,5320,2,177,125.263,42.921,5320,26,255,154.113,45.466
G33,5320,71,255,159.361,37.985,5320,43,195,102.947,35.041,5320,43,195,102.947,35.041
G34,5320,52,255,179.342,57.005,5320,6,134,45.216,24.632,5320,6,254,45.953,27.502
G35,5320,0,200,88.482,59.052,5320,0,200,88.482,59.052,5320,83,253,178.362,38.669
G36,5320,0,236,93.798,85.028,5320,0,236,93.568,84.809,5320,61,255,175.382,51.925
G37,5320,162,255,227.442,25.873,5320,135,251,193.510,31.086,5320,135,254,197.658,34.934
G38,5320,176,255,247.388,13.315,5320,131,198,157.989,15.258,5320,131,198,157.989,15.258
G39,5320,21,255,188.938,55.989,5320,21,192,130.905,34.590,5320,42,240,136.824,33.293
G40,5320,60,175,91.823,16.481,5320,60,175,91.823,16.481,5320,120,255,219.200,25.452
G41,5320,17,255,159.817,66.571,5320,17,235,155.909,61.787,5320,120,255,210.088,30.112
G42,5320,58,255,215.674,40.467,5320,57,228,182.927,32.966,5320,57,236,185.480,34.457
G43,5320,0,187,19.694,40.825,5320,0,187,19.694,40.825,5320,89,255,228.340,37.806
G44,5320,9,248,149.850,44.809,5320,9,200,141.274,38.980,5320,58,255,183.789,40.415
G45,5320,21,255,114.878,62.339,5320,21,255,112.031,58.026,5320,31,255,141.909,53.341
G46,5320,81,249,123.783,32.194,5320,81,236,123.686,31.929,5320,133,255,235.800,19.509
