Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,240.869,11.523,5320,62,218,131.553,31.659,5320,62,218,131.553,31.659
G2,5320,74,255,207.886,52.151,5320,34,175,98.739,27.142,5320,34,175,98.739,27.142
G3,5320,115,255,222.336,36.641,5320,115,253,209.761,31.953,5320,139,255,222.976,22.647
G4,5320,110,255,204.724,31.164,5320,72,245,185.301,32.699,5320,72,255,210.104,42.413
G5,5320,75,255,208.154,38.428,5320,58,247,187.735,31.221,5320,58,255,212.328,39.645
G6,5320,23,191,107.735,32.287,5320,23,191,107.735,32.287,5320,73,251,204.132,31.910
G7,5320,80,221,157.689,27.984,5320,80,221,157.689,27.984,5320,133,255,222.045,31.207
G8,5320,93,205,128.012,21.599,5320,93,205,128.012,21.599,5320,219,255,247.328,8.958
G9,5320,14,178,110.183,42.555,5320,14,178,110.183,42.555,5320,205,255,250.074,8.610
G10,5320,0,144,45.375,39.538,5320,0,144,45.375,39.538,5320,131,255,224.811,31.380
G11,5320,21,158,122.186,27.721,5320,21,158,122.186,27.721,5320,67,255,230.495,36.334
G12,5320,93,186,159.792,15.501,5320,93,186,159.792,15.501,5320,131,255,240.314,23.375
G13,5320,38,176,122.326,19.112,5320,38,176,122.326,19.112,5320,73,255,228.320,33.001
G14,5320,3,244,74.550,44.074,5320,3,244,74.550,44.072,5320,47,255,186.593,62.135
G15,5320,0,248,66.873,85.455,5320,0,248,66.552,85.048,5320,50,255,176.848,53.776
G16,5320,23,255,229.431,33.848,5320,23,251,218.277,29.672,5320,75,255,227.402,23.319
G17,5320,90,240,178.942,36.805,5320,90,239,178.787,36.603,5320,134,255,225.927,30.658
G18,5320,33,243,177.808,53.381,5320,33,242,175.108,52.331,5320,56,255,200.535,46.262
G19,5320,29,255,217.230,32.297,5320,29,253,211.918,32.837,5320,53,255,219.046,30.254
G20,5320,93,255,199.761,40.176,5320,87,254,154.292,45.452,5320,93,254,154.535,45.425
G21,5320,167,255,238.475,19.055,5320,111,240,168.533,30.337,5320,111,240,168.533,30.337
G22,5320,117,255,219.523,24.760,5320,110,202,155.837,22.152,5320,110,202,156.049,22.158
G23,5320,182,255,245.119,11.458,5320,138,238,197.785,23.790,5320,138,238,197.785,23.790
G24,5320,173,255,225.192,20.715,5320,134,233,188.066,21.563,5320,134,233,188.066,21.563
G25,5320,153,255,226.927,20.307,5320,119,233,179.648,28.939,5320,119,242,185.566,32.961
G26,5320,143,255,219.328,25.672,5320,79,242,173.726,42.911,5320,79,255,179.102,47.630
G27,5320,86,255,227.362,29.333,5320,23,211,106.657,37.753,5320,23,211,106.657,37.753
G28,5320,89,255,180.973,37.662,5320,15,112,46.487,25.952,5320,15,112,46.487,25.952
G29,5320,134,255,236.454,22.164,5320,65,244,193.816,40.505,5320,65,255,194.153,40.856
G30,5320,34,253,132.508,56.619,5320,34,242,131.979,55.765,5320,118,255,203.961,29.393
G31,5320,29,238,119.440,54.085,5320,22,238,113.333,50.901,5320,22,255,207.094,53.319
G32,5320,40,205,152.988,36.105,5320,13,163,83.905,29.315,5320,13,179,84.039,29.576
G33,5320,81,255,162.534,44.482,5320,10,163,71.629,42.506,5320,10,163,71.629,42.506
G34,5320,55,255,181.711,61.249,5320,0,169,30.471,31.308,5320,0,255,31.573,36.336
G35,5320,30,255,119.023,58.065,5320,30,246,118.274,56.649,5320,125,255,216.854,30.391
G36,5320,44,255,119.253,76.882,5320,44,242,113.614,70.091,5320,60,255,216.183,38.897
G37,5320,156,255,242.522,22.192,5320,105,241,179.200,29.514,5320,105,244,179.378,29.805
G38,5320,182,255,246.500,14.409,5320,97,170,128.594,16.473,5320,97,170,128.594,16.473
G39,5320,17,255,185.169,60.778,5320,17,185,118.679,33.657,5320,36,255,129.092,35.090
G40,5320,27,209,101.110,30.010,5320,27,209,101.110,30.010,5320,74,246,188.715,36.882
G41,5320,65,255,189.010,60.762,5320,65,249,175.134,49.031,5320,115,255,202.380,28.423
G42,5320,60,255,211.467,42.931,5320,55,234,161.768,35.473,5320,55,237,162.077,35.728
G43,5320,0,228,50.287,48.758,5320,0,228,50.287,48.758,5320,105,255,219.972,31.256
G44,5320,16,247,168.228,40.086,5320,12,217,148.816,32.397,5320,12,250,168.981,43.332
G45,5320,25,255,125.386,57.886,5320,25,255,123.621,55.520,5320,32,255,150.365,55.001
G46,5320,105,247,155.447,31.202,5320,105,231,154.952,30.332,5320,125,255,237.995,21.328
