Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,226,255,246.256,6.689,5320,69,203,120.783,29.356,5320,69,203,120.783,29.356
G2,5320,63,255,203.577,50.394,5320,24,156,93.333,20.741,5320,24,156,93.340,20.742
G3,5320,127,255,230.674,33.721,5320,127,241,205.924,25.752,5320,139,252,212.225,19.005
G4,5320,134,255,225.423,26.557,5320,81,250,199.269,30.031,5320,81,255,208.689,33.556
G5,5320,103,255,226.494,27.600,5320,92,252,199.391,30.978,5320,92,255,203.491,35.395
G6,5320,24,185,116.391,35.888,5320,24,185,116.391,35.888,5320,67,251,204.202,38.463
G7,5320,90,247,184.979,36.985,5320,90,241,184.697,36.615,5320,126,255,221.155,30.636
G8,5320,140,242,180.791,19.999,5320,140,240,180.787,19.988,5320,200,255,245.608,11.866
G9,5320,83,241,177.629,30.951,5320,75,241,177.090,31.547,5320,75,255,212.832,37.879
G10,5320,74,242,180.968,37.579,5320,68,242,180.843,37.761,5320,68,255,213.577,35.707
G11,5320,24,191,140.847,33.671,5320,24,191,140.847,33.671,5320,69,255,225.587,36.570
G12,5320,101,245,199.267,25.103,5320,101,245,199.165,25.088,5320,119,255,239.619,23.952
G13,5320,142,255,221.312,23.043,5320,129,251,215.503,26.328,5320,129,255,223.766,31.484
G14,5320,99,255,183.893,35.232,5320,96,251,181.245,33.416,5320,96,255,194.087,33.490
G15,5320,113,251,191.128,31.697,5320,113,251,191.128,31.697,5320,137,255,214.485,30.197
G16,5320,0,253,175.354,45.973,5320,0,252,175.350,45.967,5320,60,255,193.506,35.424
G17,5320,101,255,203.249,38.979,5320,101,247,194.954,32.872,5320,119,255,217.793,27.464
G18,5320,112,255,226.010,29.752,5320,105,236,183.170,27.015,5320,105,236,183.172,27.017
G19,5320,107,255,216.359,35.496,5320,101,244,195.173,25.234,5320,101,244,200.829,22.673
G20,5320,106,255,229.361,32.006,5320,106,254,214.321,39.217,5320,117,255,216.077,38.909
G21,5320,159,255,224.855,25.201,5320,158,254,220.136,23.380,5320,158,255,223.393,21.314
G22,5320,27,255,175.419,40.329,5320,27,251,167.183,35.498,5320,42,252,176.618,31.564
G23,5320,194,255,242.917,12.449,5320,72,188,111.862,26.939,5320,72,188,111.862,26.939
G24,5320,182,255,232.234,17.056,5320,130,217,181.568,17.357,5320,130,217,181.568,17.357
G25,5320,173,255,244.337,16.515,5320,130,225,181.947,20.385,5320,130,225,181.948,20.388
G26,5320,111,255,222.299,27.916,5320,74,233,164.456,27.854,5320,74,233,164.456,27.854
G27,5320,102,255,218.931,31.125,5320,45,217,129.260,24.845,5320,45,217,129.260,24.845
G28,5320,102,255,184.821,39.132,5320,41,165,88.176,34.710,5320,41,165,88.176,34.710
G29,5320,165,254,221.289,21.702,5320,126,250,197.712,28.775,5320,126,254,198.155,29.334
G30,5320,197,255,235.298,13.238,5320,197,252,229.759,9.962,5320,206,255,240.328,11.630
G31,5320,37,255,219.364,39.076,5320,26,251,192.628,45.217,5320,26,255,196.588,47.873
G32,5320,41,230,173.809,45.600,5320,19,138,98.036,27.694,5320,19,138,98.036,27.694
G33,5320,87,255,162.695,39.511,5320,22,168,82.149,34.716,5320,22,168,82.149,34.716
G34,5320,37,255,175.848,59.569,5320,4,160,33.739,23.972,5320,4,255,34.462,27.763
G35,5320,185,255,239.642,14.883,5320,133,251,207.336,29.336,5320,133,254,208.504,30.209
G36,5320,44,255,214.940,33.456,5320,44,251,205.179,37.884,5320,46,255,211.871,40.234
G37,5320,159,255,231.208,26.486,5320,99,231,160.177,37.194,5320,99,232,160.219,37.267
G38,5320,181,255,245.895,13.845,5320,104,166,131.148,14.253,5320,104,166,131.148,14.253
G39,5320,27,255,186.706,55.020,5320,27,184,120.964,31.322,5320,40,195,124.213,28.744
G40,5320,78,231,155.167,22.764,5320,78,231,154.987,22.373,5320,91,244,190.880,31.005
G41,5320,76,255,196.201,46.758,5320,76,254,181.709,36.510,5320,143,254,199.086,25.932
G42,5320,66,255,210.557,39.440,5320,55,242,163.960,31.463,5320,55,242,164.253,31.751
G43,5320,5,225,45.232,48.210,5320,5,225,45.228,48.196,5320,80,255,224.471,37.929
G44,5320,20,247,157.118,37.461,5320,20,219,143.420,32.329,5320,59,254,172.419,43.650
G45,5320,27,255,120.008,60.912,5320,27,255,117.953,57.830,5320,38,255,145.014,54.794
G46,5320,110,247,155.213,28.163,5320,110,226,154.589,27.150,5320,125,255,234.106,21.680
