Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,242.025,9.211,5320,55,185,98.425,24.907,5320,55,185,98.425,24.907
G2,5320,71,255,216.334,47.356,5320,10,118,61.725,23.539,5320,10,118,61.725,23.539
G3,5320,134,255,232.559,29.386,5320,119,214,179.529,19.957,5320,119,236,183.685,22.457
G4,5320,174,255,229.008,20.590,5320,61,225,156.768,40.495,5320,61,225,156.768,40.495
G5,5320,118,255,229.636,23.032,5320,74,251,172.659,39.365,5320,74,254,172.970,39.879
G6,5320,28,196,125.042,38.699,5320,28,196,125.042,38.699,5320,72,250,209.297,35.505
G7,5320,98,255,203.567,39.769,5320,98,254,197.007,37.233,5320,117,255,215.272,31.853
G8,5320,197,255,242.289,14.948,5320,182,247,223.100,13.529,5320,182,247,223.100,13.529
G9,5320,198,255,239.829,12.674,5320,198,254,236.025,10.924,5320,206,255,249.018,8.720
G10,5320,138,246,191.057,29.101,5320,138,246,191.001,29.029,5320,165,255,210.996,25.128
G11,5320,29,194,143.059,36.916,5320,29,194,143.059,36.916,5320,73,255,225.302,43.366
G12,5320,106,255,208.769,27.135,5320,106,254,206.665,25.485,5320,121,255,239.289,22.263
G13,5320,136,255,226.007,30.364,5320,97,246,178.052,34.488,5320,97,246,178.059,34.491
G14,5320,130,255,224.973,31.871,5320,104,245,177.677,29.737,5320,104,255,180.639,33.261
G15,5320,91,247,204.707,31.047,5320,91,247,204.367,31.399,5320,93,255,217.493,32.664
G16,5320,189,255,237.502,12.633,5320,189,253,235.700,11.722,5320,201,255,246.735,9.457
G17,5320,100,255,198.842,38.967,5320,100,251,197.064,37.215,5320,115,255,223.980,28.641
G18,5320,134,255,218.465,33.180,5320,96,249,189.595,40.558,5320,96,249,189.620,40.593
G19,5320,119,255,201.530,30.992,5320,85,230,173.550,33.712,5320,85,230,173.551,33.712
G20,5320,92,255,216.897,43.071,5320,91,243,199.968,35.366,5320,92,243,201.046,34.069
G21,5320,95,255,190.108,46.327,5320,94,242,182.752,39.775,5320,95,243,185.925,40.012
G22,5320,107,255,184.317,34.513,5320,107,240,167.521,25.649,5320,112,240,168.888,24.875
G23,5320,213,255,249.773,6.842,5320,106,212,172.037,23.101,5320,106,212,172.037,23.101
G24,5320,182,255,237.773,14.532,5320,101,216,138.200,27.045,5320,101,216,138.200,27.045
G25,5320,141,255,217.328,26.659,5320,0,218,114.723,52.016,5320,0,218,114.723,52.016
G26,5320,90,255,209.494,36.686,5320,0,231,38.663,70.570,5320,0,231,38.663,70.570
G27,5320,100,255,206.319,33.641,5320,0,193,85.680,39.130,5320,0,193,85.680,39.130
G28,5320,101,255,184.546,39.600,5320,37,154,77.741,30.478,5320,37,154,77.741,30.478
G29,5320,150,255,201.932,27.453,5320,68,228,121.121,38.391,5320,68,232,122.327,40.741
G30,5320,6,255,169.532,58.950,5320,6,229,152.723,46.621,5320,58,255,216.009,30.904
G31,5320,7,231,135.084,60.043,5320,0,229,86.676,52.752,5320,0,255,137.742,82.642
G32,5320,42,247,175.475,48.438,5320,17,161,103.724,40.352,5320,17,161,103.724,40.352
G33,5320,94,242,166.105,29.910,5320,28,165,82.309,30.112,5320,28,165,82.309,30.112
G34,5320,43,255,184.133,55.698,5320,0,118,39.461,25.323,5320,0,157,39.536,25.528
G35,5320,0,189,49.639,46.530,5320,0,189,49.639,46.530,5320,166,255,220.326,23.280
G36,5320,0,222,99.389,90.921,5320,0,220,97.895,89.542,5320,75,255,214.654,31.499
G37,5320,156,255,221.183,21.203,5320,106,226,176.703,28.318,5320,106,238,179.859,32.106
G38,5320,161,255,247.557,14.166,5320,107,178,142.572,13.110,5320,107,178,142.572,13.110
G39,5320,23,255,184.670,63.098,5320,23,189,123.385,37.918,5320,39,232,132.139,33.075
G40,5320,0,189,77.674,47.340,5320,0,189,77.674,47.340,5320,78,251,196.576,36.462
G41,5320,57,255,177.223,54.738,5320,57,251,168.178,44.640,5320,118,255,201.198,29.460
G42,5320,64,255,212.370,40.923,5320,52,240,166.346,31.038,5320,52,243,167.056,31.567
G43,5320,0,224,34.720,47.638,5320,0,224,34.719,47.635,5320,81,255,223.513,37.452
G44,5320,15,245,160.252,37.277,5320,15,216,145.166,31.146,5320,29,255,173.123,41.326
G45,5320,32,255,122.584,57.528,5320,28,255,120.529,54.632,5320,28,255,148.023,53.288
G46,5320,124,246,171.586,22.612,5320,122,227,170.610,21.523,5320,123,255,236.141,21.565
