Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,222,255,243.418,9.199,5320,71,208,122.808,27.105,5320,71,208,122.808,27.105
G2,5320,57,255,228.491,38.687,5320,25,160,101.241,26.601,5320,25,160,101.241,26.601
G3,5320,122,255,224.997,40.465,5320,122,247,200.317,33.090,5320,143,250,210.530,23.300
G4,5320,175,255,226.385,18.610,5320,131,245,191.715,33.459,5320,131,255,196.600,37.423
G5,5320,190,255,239.523,17.415,5320,131,238,193.943,25.991,5320,131,246,196.151,27.737
G6,5320,21,167,99.314,32.130,5320,21,167,99.314,32.130,5320,63,254,203.260,39.164
G7,5320,79,246,172.798,37.019,5320,79,244,172.520,36.619,5320,139,255,221.640,27.720
G8,5320,148,247,184.446,21.059,5320,148,246,184.445,21.056,5320,200,255,242.758,13.255
G9,5320,76,237,179.802,33.948,5320,76,237,179.792,33.935,5320,214,255,249.733,8.325
G10,5320,0,189,61.302,42.240,5320,0,189,61.302,42.240,5320,107,255,196.730,36.490
G11,5320,24,147,110.033,24.830,5320,24,147,110.033,24.830,5320,79,255,223.193,38.877
G12,5320,83,204,157.065,25.221,5320,83,204,157.065,25.221,5320,126,255,237.750,26.416
G13,5320,118,201,158.374,18.377,5320,118,201,158.374,18.377,5320,151,255,224.605,29.354
G14,5320,79,174,129.407,18.056,5320,79,174,129.407,18.056,5320,156,255,220.367,27.265
G15,5320,33,159,87.265,30.236,5320,33,159,87.265,30.236,5320,85,250,190.979,33.478
G16,5320,67,222,148.035,42.629,5320,67,222,148.035,42.629,5320,124,255,237.745,24.065
G17,5320,80,214,155.371,35.613,5320,80,214,155.371,35.613,5320,124,255,225.566,28.020
G18,5320,120,247,199.945,35.221,5320,120,245,199.796,35.041,5320,155,255,233.009,27.931
G19,5320,127,255,232.541,32.747,5320,110,251,203.113,32.552,5320,110,255,213.450,31.310
G20,5320,65,255,206.193,50.722,5320,44,194,127.214,38.782,5320,44,194,130.090,39.754
G21,5320,33,255,168.089,70.147,5320,33,234,147.776,57.395,5320,34,234,151.205,55.517
G22,5320,40,255,189.175,44.139,5320,40,209,147.747,28.302,5320,44,209,148.981,27.203
G23,5320,174,255,237.089,17.486,5320,106,254,211.344,26.848,5320,106,255,225.530,33.662
G24,5320,168,255,248.777,13.547,5320,90,233,144.162,31.728,5320,90,239,144.186,31.794
G25,5320,51,255,194.293,49.130,5320,22,228,85.008,48.802,5320,22,228,85.008,48.802
G26,5320,88,255,209.323,36.684,5320,35,216,145.052,44.056,5320,35,216,145.052,44.056
G27,5320,74,255,215.780,47.977,5320,0,104,28.499,30.101,5320,0,104,28.499,30.101
G28,5320,97,255,184.615,38.245,5320,0,101,36.875,23.758,5320,0,101,36.875,23.758
G29,5320,96,255,216.201,30.227,5320,0,127,57.511,35.855,5320,0,127,57.511,35.855
G30,5320,88,255,237.188,25.966,5320,51,236,191.471,35.052,5320,51,236,191.471,35.052
G31,5320,164,255,223.813,22.972,5320,94,252,190.905,30.629,5320,94,252,190.905,30.629
G32,5320,65,243,183.734,44.326,5320,0,157,89.209,42.445,5320,0,157,89.209,42.445
G33,5320,80,255,162.268,40.797,5320,0,166,71.173,39.138,5320,0,166,71.173,39.138
G34,5320,64,255,177.463,58.773,5320,0,210,29.253,31.255,5320,0,255,30.247,36.343
G35,5320,126,255,214.555,40.118,5320,77,212,141.209,32.921,5320,77,212,141.209,32.921
G36,5320,123,255,197.904,34.601,5320,110,250,181.309,37.354,5320,110,255,184.504,41.678
G37,5320,153,255,233.439,25.307,5320,100,249,176.022,42.909,5320,100,252,177.523,45.003
G38,5320,161,255,244.620,16.171,5320,96,181,131.777,14.504,5320,96,181,131.777,14.504
G39,5320,41,255,187.202,54.022,5320,41,182,119.213,30.246,5320,46,227,123.712,29.406
G40,5320,44,233,150.779,53.792,5320,44,233,150.258,53.711,5320,107,255,218.914,32.676
G41,5320,39,255,182.635,59.062,5320,39,245,176.013,53.084,5320,150,255,226.469,23.371
G42,5320,63,255,211.805,40.886,5320,60,236,168.130,33.399,5320,60,244,168.967,34.249
G43,5320,0,208,28.575,41.464,5320,0,208,28.575,41.464,5320,75,255,223.573,38.243
G44,5320,19,248,157.810,40.674,5320,19,209,143.370,33.337,5320,39,255,174.940,42.649
G45,5320,27,255,121.143,60.934,5320,27,255,117.132,55.385,5320,44,255,143.250,52.450
G46,5320,98,240,141.641,29.911,5320,98,223,140.880,28.705,5320,127,255,234.018,21.330
