Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,203,255,242.523,10.542,5320,75,231,149.586,32.064,5320,75,231,149.586,32.064
G2,5320,74,255,214.778,48.490,5320,40,200,123.175,30.938,5320,40,200,123.175,30.938
G3,5320,114,255,212.099,42.708,5320,114,250,206.035,38.917,5320,143,255,229.109,22.579
G4,5320,105,255,187.177,39.364,5320,105,249,173.955,36.356,5320,107,255,211.553,37.802
G5,5320,87,255,179.245,51.533,5320,87,234,168.746,41.239,5320,123,255,222.521,26.531
G6,5320,20,171,92.291,31.453,5320,20,171,92.291,31.453,5320,69,254,201.181,39.025
G7,5320,68,205,141.676,27.053,5320,68,205,141.676,27.053,5320,131,255,221.245,31.210
G8,5320,83,193,104.213,18.823,5320,83,193,104.213,18.823,5320,206,255,246.169,11.396
G9,5320,31,121,83.923,20.987,5320,31,121,83.923,20.987,5320,202,255,246.720,12.996
G10,5320,0,85,32.148,17.687,5320,0,85,32.148,17.687,5320,45,247,194.280,47.165
G11,5320,24,136,107.333,24.240,5320,24,136,107.333,24.240,5320,83,255,230.377,35.554
G12,5320,79,160,137.051,13.107,5320,79,160,137.051,13.107,5320,124,255,239.340,23.715
G13,5320,54,141,89.647,20.881,5320,54,141,89.647,20.881,5320,165,255,230.535,26.622
G14,5320,25,87,60.456,12.979,5320,25,87,60.456,12.979,5320,83,255,215.184,41.045
G15,5320,7,124,68.540,32.572,5320,7,124,68.540,32.572,5320,48,255,186.325,57.113
G16,5320,19,116,51.465,21.521,5320,19,116,51.465,21.521,5320,74,254,171.419,49.918
G17,5320,62,224,159.579,34.800,5320,62,224,159.565,34.778,5320,102,255,225.331,31.059
G18,5320,50,238,146.793,56.729,5320,50,238,146.745,56.669,5320,160,255,222.681,31.132
G19,5320,37,227,121.925,54.690,5320,37,227,121.851,54.580,5320,77,254,196.615,33.017
G20,5320,45,198,141.362,19.526,5320,45,194,141.345,19.496,5320,118,255,218.084,29.902
G21,5320,33,209,124.624,37.037,5320,33,209,124.624,37.037,5320,78,255,218.384,37.573
G22,5320,72,247,159.077,41.112,5320,72,247,158.021,39.578,5320,151,254,216.895,18.047
G23,5320,214,255,250.846,6.814,5320,170,246,216.046,17.539,5320,170,250,216.783,18.375
G24,5320,204,255,244.508,12.111,5320,156,233,191.501,18.976,5320,156,248,192.233,20.224
G25,5320,121,255,234.088,29.940,5320,106,227,190.450,19.325,5320,106,227,191.082,18.295
G26,5320,79,255,221.104,34.272,5320,72,231,185.709,21.797,5320,72,255,193.968,28.128
G27,5320,79,255,210.808,32.282,5320,52,251,174.503,29.124,5320,52,254,175.460,30.272
G28,5320,88,255,181.467,42.265,5320,47,205,111.437,44.390,5320,47,205,111.437,44.391
G29,5320,155,255,217.022,22.112,5320,125,217,160.856,16.736,5320,125,217,160.868,16.752
G30,5320,110,255,214.159,40.399,5320,110,241,197.820,33.440,5320,138,255,214.827,34.614
G31,5320,40,255,189.504,43.100,5320,38,248,182.295,41.292,5320,38,255,208.082,45.808
G32,5320,33,248,176.468,47.385,5320,24,191,137.904,38.310,5320,24,191,137.904,38.310
G33,5320,83,246,167.255,31.965,5320,33,175,97.694,31.647,5320,33,175,97.694,31.647
G34,5320,49,255,182.789,53.906,5320,10,121,48.936,25.645,5320,10,121,48.939,25.645
G35,5320,31,229,125.758,46.077,5320,31,224,125.381,45.389,5320,85,255,194.463,35.265
G36,5320,40,225,160.990,49.474,5320,40,225,160.324,48.987,5320,54,255,218.377,31.995
G37,5320,161,255,222.189,17.154,5320,124,233,188.747,23.049,5320,124,244,192.093,27.147
G38,5320,154,255,245.212,16.108,5320,96,187,149.502,15.911,5320,96,187,149.502,15.911
G39,5320,18,255,187.884,60.820,5320,18,192,129.625,35.918,5320,37,251,140.203,37.637
G40,5320,21,198,102.177,34.133,5320,21,198,102.177,34.133,5320,68,246,194.252,38.525
G41,5320,72,255,178.952,51.436,5320,72,249,172.053,43.723,5320,126,255,202.742,28.262
G42,5320,56,255,214.976,38.158,5320,53,235,169.125,34.021,5320,53,241,169.477,34.456
G43,5320,3,222,40.085,45.602,5320,3,222,40.085,45.602,5320,84,255,222.705,34.686
G44,5320,24,237,167.369,38.645,5320,24,212,148.055,30.495,5320,37,255,175.143,43.737
G45,5320,30,255,124.033,57.594,5320,30,255,121.283,54.016,5320,36,255,146.214,52.589
G46,5320,86,243,130.721,31.872,5320,86,226,130.544,31.470,5320,129,255,235.374,21.599
