Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,243.423,9.283,5320,69,213,130.334,29.692,5320,69,213,130.334,29.692
G2,5320,68,255,216.090,42.982,5320,30,179,107.767,23.064,5320,30,179,107.767,23.064
G3,5320,116,255,224.273,38.950,5320,116,253,208.967,34.135,5320,139,255,221.427,23.991
G4,5320,114,255,202.201,36.218,5320,90,241,177.595,35.407,5320,90,255,198.887,41.496
G5,5320,82,255,205.545,32.109,5320,53,236,181.459,28.268,5320,53,255,206.023,40.717
G6,5320,23,183,106.171,33.933,5320,23,183,106.171,33.933,5320,66,253,202.540,39.900
G7,5320,72,237,167.586,33.029,5320,72,237,167.586,33.029,5320,137,255,221.600,30.969
G8,5320,89,221,134.270,25.436,5320,89,221,134.270,25.436,5320,196,255,238.089,15.919
G9,5320,91,191,132.053,20.549,5320,91,191,132.053,20.549,5320,154,255,240.142,19.757
G10,5320,37,215,115.008,35.500,5320,37,215,115.007,35.501,5320,48,255,179.764,53.354
G11,5320,23,169,129.252,32.749,5320,23,169,129.252,32.749,5320,73,255,228.148,40.520
G12,5320,87,211,177.615,17.978,5320,87,211,177.615,17.978,5320,115,255,241.164,22.386
G13,5320,120,221,180.269,22.018,5320,120,221,180.269,22.018,5320,139,255,230.439,30.485
G14,5320,57,231,189.019,27.217,5320,57,231,189.019,27.217,5320,71,255,237.341,30.013
G15,5320,51,228,134.825,32.033,5320,51,228,134.825,32.033,5320,68,255,200.528,36.779
G16,5320,72,253,232.049,26.405,5320,72,252,231.011,26.263,5320,96,255,240.940,21.345
G17,5320,89,237,181.662,35.541,5320,89,237,181.662,35.541,5320,118,255,225.940,29.338
G18,5320,41,249,155.583,57.081,5320,41,247,154.748,56.612,5320,48,255,170.854,58.569
G19,5320,18,254,166.659,44.201,5320,18,252,166.528,44.010,5320,19,255,184.899,45.198
G20,5320,50,255,182.210,56.191,5320,50,254,178.939,53.797,5320,65,255,185.200,48.303
G21,5320,143,255,212.833,28.184,5320,143,252,209.261,25.770,5320,148,255,210.500,25.865
G22,5320,62,252,215.255,36.590,5320,58,251,195.528,34.167,5320,58,254,195.658,34.284
G23,5320,56,255,205.117,57.128,5320,55,253,176.463,52.481,5320,55,253,178.053,50.744
G24,5320,48,254,193.131,41.102,5320,47,253,145.341,52.285,5320,47,254,149.425,54.284
G25,5320,176,255,235.714,15.693,5320,129,245,215.876,16.802,5320,129,245,215.876,16.802
G26,5320,116,255,230.351,27.879,5320,84,243,192.811,38.085,5320,84,243,192.811,38.085
G27,5320,84,255,232.396,31.491,5320,44,215,148.339,27.890,5320,44,215,148.339,27.890
G28,5320,103,255,183.919,37.974,5320,36,154,79.247,32.312,5320,36,154,79.247,32.312
G29,5320,105,245,178.692,31.943,5320,66,202,121.965,36.939,5320,66,233,124.421,41.071
G30,5320,175,255,219.576,22.672,5320,136,252,214.377,24.488,5320,136,255,223.877,26.262
G31,5320,64,255,179.660,52.705,5320,40,252,149.892,58.094,5320,40,255,151.190,59.671
G32,5320,38,238,169.065,48.431,5320,20,167,99.651,30.344,5320,20,167,99.651,30.344
G33,5320,95,249,162.570,33.132,5320,22,167,79.937,30.661,5320,22,167,79.937,30.661
G34,5320,52,255,179.687,59.246,5320,0,110,29.770,23.343,5320,0,134,29.789,23.404
G35,5320,76,224,147.009,37.484,5320,76,224,147.009,37.484,5320,178,255,236.797,17.649
G36,5320,54,255,165.136,55.385,5320,54,244,160.545,53.314,5320,71,255,210.859,40.764
G37,5320,152,255,231.785,25.671,5320,104,243,170.742,37.762,5320,104,245,171.090,38.329
G38,5320,165,255,247.443,13.900,5320,102,171,136.967,13.698,5320,102,171,136.967,13.698
G39,5320,31,255,188.251,53.232,5320,31,185,122.344,31.070,5320,44,185,124.238,28.924
G40,5320,45,221,100.319,26.537,5320,45,221,100.318,26.534,5320,83,255,205.800,29.709
G41,5320,72,255,185.879,53.050,5320,72,251,176.603,45.011,5320,127,255,205.356,25.335
G42,5320,61,255,207.296,40.397,5320,54,250,159.642,30.173,5320,54,253,159.837,30.456
G43,5320,0,229,44.202,47.815,5320,0,229,44.202,47.815,5320,97,255,215.998,36.753
G44,5320,29,243,163.593,35.269,5320,29,223,149.223,28.903,5320,36,242,171.370,38.500
G45,5320,25,255,122.036,62.802,5320,25,255,118.528,57.846,5320,30,255,142.414,55.529
G46,5320,103,249,144.166,28.066,5320,103,218,143.889,27.497,5320,126,255,234.854,20.911
