Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,242.473,9.929,5320,66,202,119.277,25.765,5320,66,202,119.277,25.765
G2,5320,78,255,217.233,49.050,5320,23,146,86.365,26.487,5320,23,146,86.365,26.487
G3,5320,118,255,226.878,37.837,5320,118,244,194.370,28.087,5320,136,244,202.906,22.998
G4,5320,128,255,230.053,19.069,5320,97,252,179.270,37.325,5320,97,254,181.170,38.592
G5,5320,122,255,223.971,25.538,5320,88,232,183.148,30.157,5320,88,251,189.119,35.484
G6,5320,23,187,112.221,35.963,5320,23,187,112.221,35.963,5320,61,250,202.729,40.264
G7,5320,83,254,181.050,37.906,5320,83,243,179.675,36.405,5320,130,255,219.019,30.589
G8,5320,112,253,188.302,24.962,5320,112,248,188.081,24.485,5320,134,255,231.325,21.612
G9,5320,120,212,173.743,17.094,5320,120,212,173.743,17.094,5320,159,255,247.117,12.861
G10,5320,0,183,92.112,53.829,5320,0,183,92.112,53.829,5320,128,255,205.265,40.612
G11,5320,28,158,124.057,25.606,5320,28,158,124.057,25.606,5320,73,255,229.471,34.279
G12,5320,96,221,175.434,23.382,5320,96,221,175.434,23.382,5320,130,255,240.268,21.667
G13,5320,128,219,178.332,19.544,5320,128,219,178.332,19.544,5320,155,255,224.800,28.236
G14,5320,76,189,146.847,26.919,5320,76,189,146.847,26.919,5320,169,255,241.304,20.146
G15,5320,65,194,109.296,33.429,5320,65,194,109.296,33.429,5320,172,255,240.878,21.512
G16,5320,38,218,163.533,44.499,5320,38,218,163.533,44.499,5320,65,255,218.311,40.809
G17,5320,88,252,184.648,43.835,5320,88,251,183.738,42.813,5320,119,255,225.311,30.679
G18,5320,131,255,211.677,39.346,5320,131,254,187.987,29.508,5320,148,254,194.863,26.293
G19,5320,108,255,227.719,30.429,5320,108,234,185.682,23.462,5320,135,239,194.791,26.450
G20,5320,101,255,218.186,46.881,5320,101,224,173.122,23.492,5320,144,229,181.520,14.542
G21,5320,45,254,165.511,53.969,5320,45,254,159.721,55.113,5320,60,255,162.874,54.536
G22,5320,43,255,181.561,37.375,5320,43,252,177.630,35.398,5320,57,253,183.541,32.722
G23,5320,99,255,234.202,30.072,5320,29,230,132.061,51.679,5320,29,230,132.061,51.679
G24,5320,55,255,231.992,31.090,5320,21,163,116.286,22.725,5320,21,163,116.286,22.725
G25,5320,39,255,208.211,46.700,5320,29,232,154.568,42.595,5320,29,232,154.705,42.662
G26,5320,74,255,208.478,35.386,5320,69,254,192.794,40.447,5320,69,255,194.145,41.786
G27,5320,93,255,227.892,31.557,5320,55,245,174.985,29.793,5320,55,245,174.985,29.794
G28,5320,97,253,186.091,39.307,5320,45,182,101.753,39.737,5320,45,182,101.753,39.737
G29,5320,44,255,202.248,61.824,5320,17,252,185.609,72.490,5320,17,255,188.352,74.630
G30,5320,63,255,227.524,32.819,5320,45,253,225.083,37.283,5320,45,255,233.394,39.813
G31,5320,56,255,199.245,49.690,5320,43,252,178.171,56.193,5320,43,255,179.182,57.428
G32,5320,40,249,178.546,50.322,5320,27,205,126.423,38.797,5320,27,205,126.423,38.797
G33,5320,89,247,165.081,30.481,5320,32,169,89.086,29.914,5320,32,169,89.086,29.914
G34,5320,37,255,185.263,57.267,5320,9,214,38.725,21.427,5320,9,252,38.795,21.912
G35,5320,85,233,164.445,28.486,5320,85,233,164.445,28.486,5320,129,255,230.208,28.711
G36,5320,91,244,182.731,33.142,5320,91,241,181.699,33.147,5320,129,255,214.882,26.828
G37,5320,153,255,219.599,21.936,5320,115,227,173.622,27.467,5320,115,241,175.280,29.763
G38,5320,168,255,246.828,16.078,5320,99,174,142.195,13.061,5320,99,174,142.195,13.061
G39,5320,43,255,187.560,55.103,5320,35,182,123.422,31.075,5320,35,182,124.588,30.124
G40,5320,108,228,177.324,28.075,5320,108,228,177.324,28.075,5320,161,255,238.592,22.498
G41,5320,93,255,195.140,44.984,5320,93,252,183.595,34.723,5320,119,255,203.113,30.273
G42,5320,60,255,211.582,42.580,5320,49,236,160.127,32.401,5320,49,237,160.230,32.576
G43,5320,20,231,81.772,37.917,5320,20,230,81.754,37.854,5320,102,255,212.816,32.877
G44,5320,40,247,166.024,33.568,5320,29,218,144.712,29.125,5320,29,235,164.066,40.649
G45,5320,25,255,123.860,60.399,5320,25,255,119.455,54.290,5320,29,255,141.989,53.397
G46,5320,114,232,160.531,29.016,5320,114,225,160.055,28.474,5320,122,255,237.734,20.557
