Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,189,255,243.497,11.439,5320,57,210,134.544,31.762,5320,57,210,134.544,31.762
G2,5320,87,255,211.119,47.842,5320,55,184,119.268,22.827,5320,55,184,119.268,22.827
G3,5320,126,255,226.800,36.693,5320,126,249,206.654,29.786,5320,150,255,214.660,21.079
G4,5320,139,255,213.289,27.244,5320,90,245,184.921,37.080,5320,90,255,193.636,42.843
G5,5320,105,255,219.077,34.845,5320,62,239,172.484,38.578,5320,62,255,174.301,40.275
G6,5320,28,179,111.643,31.985,5320,28,179,111.643,31.985,5320,79,254,204.599,31.466
G7,5320,85,241,178.762,34.417,5320,85,241,178.719,34.361,5320,133,255,221.886,30.539
G8,5320,148,237,171.723,15.314,5320,148,237,171.723,15.314,5320,206,255,243.269,12.394
G9,5320,125,245,182.259,28.806,5320,125,238,182.142,28.593,5320,156,255,221.486,31.357
G10,5320,54,215,123.332,37.710,5320,54,215,121.348,38.470,5320,54,255,140.032,46.387
G11,5320,21,175,135.767,33.839,5320,21,175,135.767,33.839,5320,66,255,232.823,37.539
G12,5320,108,225,187.697,20.551,5320,108,225,187.697,20.551,5320,136,255,242.136,21.819
G13,5320,124,229,192.015,20.021,5320,124,229,192.015,20.021,5320,136,255,231.387,27.116
G14,5320,106,229,187.465,21.403,5320,106,229,187.464,21.403,5320,142,255,240.066,19.605
G15,5320,54,255,206.212,49.148,5320,46,230,173.030,45.282,5320,46,233,179.528,48.394
G16,5320,41,255,183.930,67.708,5320,0,160,72.605,46.594,5320,0,160,72.605,46.594
G17,5320,101,251,194.718,39.043,5320,101,248,193.814,38.138,5320,136,255,225.384,30.592
G18,5320,49,255,183.357,51.868,5320,49,251,177.168,49.028,5320,52,255,185.320,48.684
G19,5320,38,255,164.754,59.497,5320,38,216,141.896,42.157,5320,43,248,149.918,45.647
G20,5320,82,255,196.258,50.656,5320,30,223,93.527,47.827,5320,30,225,93.797,48.448
G21,5320,35,255,180.167,56.336,5320,0,132,68.133,34.473,5320,0,132,68.133,34.473
G22,5320,38,255,181.167,37.208,5320,0,132,95.788,25.396,5320,0,132,95.788,25.396
G23,5320,105,255,241.633,20.553,5320,40,220,166.701,38.382,5320,40,220,166.701,38.382
G24,5320,93,255,235.280,25.822,5320,26,196,99.862,50.857,5320,26,196,99.862,50.857
G25,5320,181,255,240.308,17.359,5320,0,144,28.144,32.629,5320,0,144,28.144,32.629
G26,5320,146,255,225.996,25.859,5320,0,84,9.501,18.720,5320,0,84,9.501,18.720
G27,5320,101,255,220.766,31.255,5320,0,46,2.754,7.934,5320,0,46,2.754,7.934
G28,5320,101,255,185.137,38.689,5320,0,56,7.008,13.469,5320,0,56,7.008,13.469
G29,5320,155,255,230.626,20.773,5320,0,110,37.477,14.477,5320,0,110,37.477,14.477
G30,5320,92,255,209.051,31.115,5320,6,143,69.584,42.264,5320,6,143,69.584,42.264
G31,5320,154,255,237.170,18.496,5320,0,140,17.998,28.104,5320,0,140,17.998,28.104
G32,5320,63,248,176.784,48.349,5320,0,58,17.175,19.555,5320,0,58,17.175,19.555
G33,5320,86,250,160.639,33.895,5320,0,117,34.614,31.909,5320,0,117,34.614,31.909
G34,5320,21,255,182.795,57.340,5320,0,116,24.924,27.318,5320,0,164,24.951,27.412
G35,5320,174,255,231.863,12.546,5320,95,189,148.589,15.361,5320,95,189,148.589,15.361
G36,5320,130,255,225.925,22.252,5320,40,211,143.156,32.751,5320,40,211,143.156,32.751
G37,5320,149,255,224.128,19.144,5320,33,205,116.784,41.402,5320,33,205,116.784,41.402
G38,5320,160,255,243.829,18.193,5320,60,148,104.285,11.092,5320,60,148,104.285,11.092
G39,5320,18,255,185.303,64.201,5320,18,177,111.835,32.604,5320,34,228,122.681,34.860
G40,5320,124,255,209.051,21.835,5320,107,235,186.761,21.337,5320,107,250,192.541,26.863
G41,5320,101,255,204.439,38.668,5320,101,245,177.198,29.177,5320,114,251,182.909,29.915
G42,5320,56,255,215.276,35.388,5320,50,221,150.825,30.455,5320,50,230,150.903,30.607
G43,5320,25,238,78.936,43.043,5320,25,236,78.880,42.847,5320,81,255,219.476,37.685
G44,5320,35,237,181.392,38.488,5320,35,222,157.702,34.186,5320,39,252,173.955,43.375
G45,5320,27,255,127.489,57.283,5320,27,255,124.574,53.749,5320,40,255,147.480,54.784
G46,5320,104,249,145.918,31.457,5320,104,225,145.501,30.681,5320,132,255,235.664,23.764
