Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,205,255,242.377,10.312,5320,73,210,142.153,29.570,5320,73,210,142.153,29.570
G2,5320,72,255,213.020,48.889,5320,49,192,129.677,26.434,5320,49,192,129.677,26.434
G3,5320,126,255,225.186,36.963,5320,126,250,210.364,30.857,5320,143,254,219.877,20.847
G4,5320,138,255,226.139,22.360,5320,81,241,191.651,33.374,5320,81,241,192.410,34.128
G5,5320,59,255,213.095,40.425,5320,40,229,168.263,37.456,5320,40,237,172.070,40.174
G6,5320,27,172,112.223,34.658,5320,27,172,112.223,34.658,5320,69,252,208.126,36.423
G7,5320,83,235,154.338,29.203,5320,83,235,154.244,29.100,5320,103,246,194.930,29.717
G8,5320,86,255,208.873,26.981,5320,86,239,196.870,21.370,5320,93,239,198.581,20.454
G9,5320,66,255,152.990,42.800,5320,66,227,151.436,40.676,5320,109,254,199.364,37.110
G10,5320,76,181,125.155,19.369,5320,76,181,125.155,19.369,5320,121,239,198.274,20.293
G11,5320,28,185,137.226,38.759,5320,28,185,137.226,38.759,5320,76,255,223.678,43.631
G12,5320,69,255,184.373,34.945,5320,69,254,183.854,34.159,5320,90,255,225.742,33.074
G13,5320,223,255,248.959,6.098,5320,205,252,227.610,10.960,5320,205,253,227.690,11.059
G14,5320,76,255,165.897,55.271,5320,76,242,162.673,51.338,5320,124,243,194.651,26.648
G15,5320,40,255,109.543,46.702,5320,40,250,108.282,44.839,5320,48,250,142.100,39.012
G16,5320,21,255,141.730,52.294,5320,21,251,141.214,51.833,5320,24,255,171.977,64.678
G17,5320,86,251,192.582,35.915,5320,86,251,192.274,35.577,5320,109,255,220.132,31.335
G18,5320,125,255,226.023,25.005,5320,95,250,200.842,31.851,5320,95,251,201.458,32.155
G19,5320,207,255,252.003,6.881,5320,150,237,207.824,14.643,5320,150,238,208.058,14.921
G20,5320,126,255,204.725,32.822,5320,102,248,181.476,36.905,5320,102,248,181.650,37.022
G21,5320,29,255,158.632,66.421,5320,29,248,146.696,62.331,5320,33,248,146.968,62.004
G22,5320,30,240,193.863,32.029,5320,30,211,172.275,25.047,5320,34,211,172.501,24.711
G23,5320,127,255,247.790,9.943,5320,87,239,189.901,29.580,5320,87,239,189.901,29.580
G24,5320,105,255,225.510,26.135,5320,70,217,153.735,32.116,5320,70,217,153.735,32.116
G25,5320,80,255,205.608,30.891,5320,58,222,167.591,36.362,5320,58,222,167.591,36.362
G26,5320,0,255,161.831,53.274,5320,0,205,51.742,53.455,5320,0,205,51.742,53.455
G27,5320,39,255,191.263,50.334,5320,0,161,73.198,45.133,5320,0,161,73.198,45.133
G28,5320,92,255,179.672,40.494,5320,17,142,66.635,33.233,5320,17,142,66.635,33.233
G29,5320,130,255,226.139,23.546,5320,46,192,130.654,41.782,5320,46,192,130.654,41.782
G30,5320,27,255,185.808,41.132,5320,0,192,115.548,45.834,5320,0,192,115.548,45.834
G31,5320,9,255,171.030,53.689,5320,0,152,65.487,46.598,5320,0,152,65.487,46.598
G32,5320,38,248,173.135,49.098,5320,14,148,93.646,37.311,5320,14,148,93.646,37.311
G33,5320,82,247,168.516,31.073,5320,24,158,76.752,30.905,5320,24,158,76.752,30.905
G34,5320,22,255,184.895,55.629,5320,0,113,37.071,27.836,5320,0,113,37.075,27.835
G35,5320,73,255,190.126,45.438,5320,45,240,156.352,42.387,5320,45,240,157.402,42.470
G36,5320,62,255,216.258,33.864,5320,60,246,183.776,34.145,5320,60,246,185.352,35.203
G37,5320,158,255,226.139,16.571,5320,101,242,169.903,30.962,5320,101,244,170.231,31.588
G38,5320,140,255,246.638,15.688,5320,84,172,133.964,12.932,5320,84,172,133.964,12.932
G39,5320,26,255,186.686,62.550,5320,26,185,122.289,36.189,5320,40,232,131.436,33.224
G40,5320,23,255,165.255,39.485,5320,22,224,147.294,27.259,5320,23,254,190.306,51.185
G41,5320,81,255,191.321,43.091,5320,81,253,179.623,32.940,5320,154,255,198.434,21.238
G42,5320,66,255,211.915,39.938,5320,55,247,158.990,31.844,5320,55,249,159.049,31.919
G43,5320,3,240,57.697,48.181,5320,3,239,57.690,48.158,5320,102,255,223.889,33.259
G44,5320,40,248,170.878,38.201,5320,28,232,146.595,31.006,5320,28,251,164.597,42.875
G45,5320,26,255,130.568,57.986,5320,26,255,126.942,53.441,5320,36,255,149.759,52.484
G46,5320,106,249,160.613,29.070,5320,106,233,159.725,27.549,5320,115,255,232.617,25.222
