Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,227,255,243.689,8.365,5320,66,190,108.318,24.117,5320,66,190,108.318,24.117
G2,5320,59,255,209.935,52.968,5320,18,136,75.433,21.465,5320,18,136,75.433,21.465
G3,5320,123,255,228.947,34.726,5320,120,223,186.085,22.627,5320,129,233,192.697,20.799
G4,5320,149,255,221.798,26.005,5320,69,226,155.949,37.993,5320,69,226,155.949,37.993
G5,5320,113,255,221.163,31.258,5320,67,220,155.638,33.324,5320,67,220,155.650,33.330
G6,5320,27,188,121.174,35.775,5320,27,188,121.174,35.775,5320,66,251,203.039,39.982
G7,5320,97,255,201.257,44.317,5320,97,250,191.929,37.423,5320,126,255,212.109,26.990
G8,5320,206,255,245.257,11.418,5320,151,230,206.005,16.806,5320,151,230,206.005,16.806
G9,5320,159,255,248.430,14.538,5320,139,242,209.222,20.388,5320,139,242,209.733,20.446
G10,5320,38,232,123.524,46.980,5320,38,230,123.108,46.565,5320,50,255,150.819,52.977
G11,5320,29,214,159.853,37.404,5320,29,214,159.853,37.404,5320,73,255,227.667,35.537
G12,5320,113,255,223.401,25.256,5320,113,254,211.065,25.623,5320,115,255,228.640,30.614
G13,5320,141,255,223.650,32.217,5320,53,209,118.695,38.172,5320,53,209,118.695,38.172
G14,5320,97,255,205.128,32.759,5320,51,186,101.681,30.479,5320,51,186,101.681,30.479
G15,5320,65,255,199.675,45.658,5320,64,175,142.419,25.771,5320,65,175,142.560,25.515
G16,5320,40,238,152.295,58.859,5320,40,198,138.689,45.353,5320,48,249,152.629,43.048
G17,5320,115,255,217.714,31.612,5320,111,230,189.767,23.659,5320,111,255,199.408,30.620
G18,5320,122,255,218.575,33.367,5320,12,166,89.563,33.589,5320,12,166,89.563,33.589
G19,5320,106,255,208.380,36.214,5320,0,85,35.801,23.765,5320,0,85,35.801,23.765
G20,5320,143,255,237.725,19.305,5320,0,159,23.826,40.640,5320,0,159,23.826,40.640
G21,5320,140,255,212.661,32.617,5320,5,192,138.502,34.131,5320,5,192,138.502,34.131
G22,5320,43,255,193.335,36.799,5320,43,193,154.501,23.873,5320,44,193,154.513,23.834
G23,5320,132,255,247.551,14.244,5320,0,112,51.251,36.252,5320,0,112,51.251,36.252
G24,5320,123,255,227.434,30.899,5320,0,25,0.681,2.872,5320,0,25,0.681,2.872
G25,5320,0,255,188.281,59.384,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G26,5320,15,255,173.099,57.533,5320,0,129,18.096,35.886,5320,0,129,18.096,35.886
G27,5320,95,255,216.370,30.177,5320,0,147,46.980,34.991,5320,0,147,46.980,34.991
G28,5320,101,254,183.582,39.971,5320,20,120,53.157,26.284,5320,20,120,53.157,26.284
G29,5320,208,255,238.715,10.490,5320,0,16,0.436,1.731,5320,0,16,0.436,1.731
G30,5320,91,255,226.013,26.836,5320,0,52,9.780,15.573,5320,0,52,9.780,15.573
G31,5320,24,255,171.222,60.899,5320,0,97,26.870,24.438,5320,0,97,26.870,24.438
G32,5320,41,249,176.196,49.053,5320,0,118,63.656,38.724,5320,0,118,63.656,38.724
G33,5320,94,240,165.731,31.264,5320,19,147,65.472,28.985,5320,19,147,65.472,28.985
G34,5320,25,255,183.239,57.174,5320,0,178,30.177,26.349,5320,0,255,30.539,28.302
G35,5320,87,226,180.719,28.274,5320,0,133,70.952,31.670,5320,0,139,71.067,31.815
G36,5320,47,252,196.422,33.365,5320,29,234,139.129,50.575,5320,29,242,141.745,53.258
G37,5320,145,255,224.727,19.715,5320,79,227,156.031,36.773,5320,79,237,156.534,37.694
G38,5320,146,255,244.971,15.766,5320,80,169,133.772,9.915,5320,80,169,133.772,9.915
G39,5320,28,255,186.797,57.526,5320,28,184,119.223,32.907,5320,39,228,125.288,32.816
G40,5320,62,215,145.663,27.651,5320,57,215,143.267,25.658,5320,57,247,206.718,25.394
G41,5320,63,255,182.014,50.932,5320,63,249,170.549,40.518,5320,118,255,198.805,28.860
G42,5320,67,255,211.553,38.262,5320,52,239,161.701,30.469,5320,52,244,162.679,31.317
G43,5320,0,223,29.805,47.645,5320,0,223,29.805,47.645,5320,72,255,220.793,40.088
G44,5320,7,241,154.128,41.007,5320,7,214,139.008,32.118,5320,28,236,171.306,37.581
G45,5320,17,255,118.936,58.244,5320,17,255,116.313,54.325,5320,31,255,146.117,52.155
G46,5320,117,247,164.035,28.387,5320,116,234,163.227,27.468,5320,124,255,237.469,22.455
