Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,224,255,243.336,8.302,5320,70,188,118.539,24.099,5320,70,188,118.539,24.099
G2,5320,138,255,222.842,30.747,5320,68,172,116.054,19.688,5320,68,172,116.054,19.688
G3,5320,134,255,231.915,31.338,5320,134,222,190.738,18.286,5320,139,233,195.232,16.700
G4,5320,174,255,224.430,21.558,5320,83,216,149.207,31.208,5320,83,216,149.207,31.208
G5,5320,74,255,220.371,34.192,5320,36,133,86.950,19.218,5320,36,133,86.950,19.218
G6,5320,32,205,132.368,36.904,5320,32,205,132.368,36.904,5320,67,254,206.246,37.919
G7,5320,100,255,206.303,41.458,5320,100,253,193.683,32.886,5320,122,254,209.607,26.200
G8,5320,191,255,243.949,12.635,5320,134,216,192.905,14.570,5320,134,216,192.905,14.570
G9,5320,58,255,228.162,43.471,5320,13,184,111.072,43.858,5320,13,184,111.072,43.858
G10,5320,70,214,129.874,35.505,5320,12,157,63.314,37.188,5320,12,212,69.963,47.257
G11,5320,35,224,164.846,41.676,5320,35,224,164.846,41.676,5320,76,255,224.283,39.080
G12,5320,116,255,225.817,25.005,5320,114,250,209.920,27.438,5320,114,255,223.024,32.913
G13,5320,57,255,230.509,28.499,5320,0,200,127.975,35.090,5320,0,200,127.975,35.090
G14,5320,76,255,206.881,38.130,5320,0,160,51.738,40.561,5320,0,160,51.738,40.561
G15,5320,164,254,209.345,20.407,5320,0,26,3.696,5.974,5320,0,26,3.696,5.974
G16,5320,84,255,220.108,28.836,5320,0,116,23.491,29.921,5320,0,116,23.491,29.921
G17,5320,118,255,220.490,31.041,5320,108,242,184.350,26.844,5320,108,255,190.512,33.093
G18,5320,52,255,173.197,62.128,5320,0,159,57.058,51.649,5320,0,159,57.058,51.649
G19,5320,105,255,212.889,28.266,5320,0,28,1.579,5.432,5320,0,28,1.579,5.432
G20,5320,63,255,211.664,38.429,5320,0,106,17.115,28.248,5320,0,106,17.115,28.248
G21,5320,61,255,184.630,56.787,5320,0,157,62.953,54.033,5320,0,157,62.953,54.033
G22,5320,52,255,188.753,37.579,5320,12,158,106.144,25.039,5320,12,158,106.144,25.039
G23,5320,77,255,203.413,57.440,5320,0,107,23.507,30.147,5320,0,107,23.507,30.147
G24,5320,62,250,162.337,49.854,5320,0,1,0.002,0.043,5320,0,1,0.002,0.043
G25,5320,57,255,214.632,39.199,5320,0,114,51.759,39.680,5320,0,114,51.759,39.680
G26,5320,111,255,216.740,29.260,5320,0,120,18.543,31.676,5320,0,120,18.543,31.676
G27,5320,83,255,222.636,33.597,5320,0,83,8.841,18.826,5320,0,83,8.841,18.826
G28,5320,96,255,184.237,38.697,5320,1,86,27.244,22.501,5320,1,86,27.244,22.501
G29,5320,57,255,185.760,50.878,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G30,5320,145,255,229.964,25.737,5320,0,104,11.335,22.038,5320,0,104,11.335,22.038
G31,5320,27,255,217.038,43.987,5320,0,126,29.583,37.515,5320,0,126,29.583,37.515
G32,5320,35,247,179.310,49.848,5320,0,95,46.173,36.304,5320,0,95,46.173,36.304
G33,5320,92,250,166.256,31.341,5320,3,133,55.746,30.264,5320,3,133,55.746,30.264
G34,5320,42,255,179.059,56.930,5320,0,101,23.684,25.880,5320,0,101,23.684,25.880
G35,5320,140,243,200.938,28.717,5320,0,193,99.318,48.434,5320,0,193,99.318,48.434
G36,5320,41,255,212.601,27.798,5320,12,210,137.651,36.716,5320,12,210,137.651,36.716
G37,5320,156,255,224.501,19.920,5320,72,207,131.416,30.738,5320,72,207,131.416,30.738
G38,5320,134,255,246.593,16.684,5320,75,148,115.189,11.199,5320,75,148,115.189,11.199
G39,5320,24,255,186.067,61.184,5320,24,178,113.337,31.134,5320,36,229,120.802,31.234
G40,5320,84,237,190.923,28.046,5320,73,225,183.942,31.162,5320,73,244,191.073,35.642
G41,5320,102,255,203.912,39.388,5320,102,246,175.865,28.061,5320,125,252,180.480,27.954
G42,5320,58,255,211.901,40.522,5320,51,222,149.224,30.800,5320,51,225,149.268,30.877
G43,5320,20,245,74.585,45.183,5320,20,241,74.507,44.918,5320,90,255,222.277,35.782
G44,5320,39,245,166.071,33.058,5320,39,217,146.497,30.194,5320,50,251,167.294,44.123
G45,5320,26,255,125.505,61.678,5320,26,255,121.824,56.667,5320,31,255,143.425,55.504
G46,5320,124,249,165.320,25.135,5320,123,229,164.544,24.237,5320,124,255,234.283,22.423
