Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,216,255,243.260,8.605,5320,75,211,132.467,26.474,5320,75,211,132.467,26.474
G2,5320,86,255,220.633,38.010,5320,53,171,114.888,22.584,5320,53,171,114.888,22.584
G3,5320,117,255,226.483,38.923,5320,117,252,202.302,30.387,5320,141,252,212.014,20.049
G4,5320,173,255,227.640,21.265,5320,121,254,193.681,34.760,5320,121,254,194.514,35.647
G5,5320,103,255,217.679,31.245,5320,63,212,157.907,24.615,5320,63,215,159.024,25.551
G6,5320,21,176,100.624,32.982,5320,21,176,100.624,32.982,5320,75,254,202.830,38.471
G7,5320,65,254,177.163,41.541,5320,65,254,176.772,41.088,5320,121,255,221.418,29.804
G8,5320,78,254,207.339,26.867,5320,78,254,207.289,26.887,5320,83,255,224.537,28.172
G9,5320,59,250,178.299,46.894,5320,58,245,174.308,46.504,5320,58,255,194.595,54.348
G10,5320,43,236,145.105,45.938,5320,43,236,141.690,42.977,5320,48,255,160.500,41.720
G11,5320,23,133,93.994,20.558,5320,23,133,93.994,20.558,5320,78,255,226.515,38.044
G12,5320,87,227,153.671,37.419,5320,87,227,153.671,37.419,5320,158,255,241.833,19.558
G13,5320,108,255,214.915,26.497,5320,108,246,211.028,25.876,5320,114,255,220.441,29.109
G14,5320,213,255,249.001,7.370,5320,190,242,222.243,7.845,5320,190,242,222.244,7.845
G15,5320,33,251,173.022,47.263,5320,0,219,129.392,54.155,5320,0,219,129.791,54.497
G16,5320,63,255,210.614,41.836,5320,0,173,53.126,59.330,5320,0,173,53.126,59.330
G17,5320,6,201,73.980,42.341,5320,6,201,73.968,42.311,5320,68,255,206.081,36.361
G18,5320,65,251,204.815,41.019,5320,65,228,191.587,34.902,5320,89,245,203.277,32.967
G19,5320,188,255,245.194,11.407,5320,180,243,217.256,9.211,5320,180,243,217.622,9.600
G20,5320,35,255,180.869,49.235,5320,0,218,126.105,54.295,5320,0,218,126.105,54.295
G21,5320,40,255,169.663,65.818,5320,0,152,66.899,50.468,5320,0,152,66.899,50.468
G22,5320,53,255,190.507,36.448,5320,0,163,120.372,28.263,5320,0,163,120.372,28.263
G23,5320,91,249,175.963,35.406,5320,91,233,175.255,34.830,5320,100,255,197.216,31.138
G24,5320,183,255,236.757,16.832,5320,76,251,201.944,37.419,5320,76,251,204.962,39.026
G25,5320,169,255,246.415,13.918,5320,0,220,100.397,54.963,5320,0,220,100.397,54.963
G26,5320,137,255,220.336,35.465,5320,0,106,29.572,33.609,5320,0,106,29.572,33.609
G27,5320,84,255,232.664,32.253,5320,0,76,7.247,15.995,5320,0,76,7.247,15.995
G28,5320,98,255,185.027,37.605,5320,0,79,16.924,22.126,5320,0,79,16.924,22.126
G29,5320,158,255,236.055,19.480,5320,51,235,155.045,47.601,5320,51,235,155.249,47.754
G30,5320,124,255,204.638,26.065,5320,0,73,8.585,15.531,5320,0,73,8.585,15.531
G31,5320,27,255,211.817,40.080,5320,0,74,3.910,12.987,5320,0,74,3.910,12.987
G32,5320,33,255,176.745,48.801,5320,0,68,24.542,23.930,5320,0,68,24.542,23.930
G33,5320,77,233,168.328,29.619,5320,0,119,44.135,29.338,5320,0,119,44.135,29.338
G34,5320,93,255,192.113,46.953,5320,0,102,22.604,25.000,5320,0,102,22.604,25.000
G35,5320,85,242,169.888,38.293,5320,0,208,54.219,52.165,5320,0,222,54.373,52.603
G36,5320,56,255,211.369,29.573,5320,0,218,99.270,69.504,5320,0,218,99.270,69.505
G37,5320,158,255,231.191,25.453,5320,55,216,134.728,42.698,5320,55,216,134.728,42.698
G38,5320,171,255,243.530,17.042,5320,71,157,116.463,12.994,5320,71,157,116.463,12.994
G39,5320,23,255,190.479,54.949,5320,23,158,111.864,25.127,5320,34,249,119.485,35.992
G40,5320,82,236,171.570,27.532,5320,71,216,161.302,32.083,5320,71,245,186.798,49.000
G41,5320,96,255,205.550,40.973,5320,96,242,182.683,27.749,5320,133,252,193.089,23.691
G42,5320,72,255,210.501,38.511,5320,57,231,150.046,31.248,5320,57,232,150.111,31.362
G43,5320,21,239,75.429,42.009,5320,21,235,75.389,41.864,5320,114,255,224.918,32.989
G44,5320,36,255,169.905,37.449,5320,36,218,149.408,31.641,5320,46,232,168.622,41.974
G45,5320,34,255,124.308,56.473,5320,34,255,120.754,51.883,5320,42,255,142.232,51.212
G46,5320,106,244,144.679,30.229,5320,106,232,144.393,29.682,5320,125,255,236.534,19.906
