Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,224,255,244.111,8.028,5320,69,199,118.480,26.074,5320,69,199,118.480,26.074
G2,5320,74,255,216.250,47.382,5320,22,155,94.859,28.917,5320,22,155,94.859,28.917
G3,5320,129,255,229.399,33.114,5320,129,247,196.177,24.377,5320,138,247,202.087,21.373
G4,5320,164,255,226.301,21.073,5320,101,252,190.319,36.272,5320,101,255,196.576,40.522
G5,5320,97,255,207.065,39.140,5320,96,238,183.032,27.549,5320,96,255,211.263,30.227
G6,5320,26,188,120.687,36.972,5320,26,188,120.687,36.972,5320,69,254,205.891,39.252
G7,5320,77,254,186.386,34.750,5320,77,252,185.329,33.588,5320,111,255,220.810,30.668
G8,5320,159,254,194.427,20.804,5320,159,253,194.392,20.724,5320,198,255,245.076,12.511
G9,5320,120,199,166.115,13.912,5320,120,199,166.115,13.912,5320,208,255,247.974,9.661
G10,5320,2,163,66.153,32.332,5320,2,163,66.153,32.332,5320,149,255,212.550,24.706
G11,5320,27,171,128.405,29.174,5320,27,171,128.405,29.174,5320,74,255,225.326,38.791
G12,5320,89,222,180.202,23.192,5320,89,222,180.202,23.192,5320,116,255,238.635,23.705
G13,5320,125,219,174.245,19.097,5320,125,219,174.245,19.097,5320,147,255,227.714,27.995
G14,5320,106,194,152.413,17.894,5320,106,187,151.811,17.088,5320,139,255,202.890,28.900
G15,5320,22,215,129.273,53.047,5320,22,210,127.191,50.755,5320,65,239,165.080,30.521
G16,5320,40,225,169.053,38.753,5320,40,225,169.053,38.753,5320,100,255,218.179,41.747
G17,5320,90,240,180.054,38.341,5320,90,240,179.993,38.271,5320,118,255,225.543,30.567
G18,5320,91,250,195.752,36.323,5320,91,248,195.123,36.223,5320,117,255,218.630,29.751
G19,5320,44,250,176.817,37.822,5320,44,245,157.988,27.206,5320,46,255,163.359,24.719
G20,5320,169,255,216.151,20.229,5320,155,243,201.826,19.776,5320,155,247,206.220,21.741
G21,5320,105,255,180.350,39.953,5320,105,252,176.907,36.047,5320,146,255,209.682,25.747
G22,5320,94,254,206.480,30.856,5320,94,217,186.551,22.567,5320,95,237,194.283,25.672
G23,5320,92,255,243.374,17.442,5320,90,254,210.654,19.200,5320,90,255,210.737,19.337
G24,5320,79,255,213.970,28.314,5320,69,233,179.543,29.827,5320,69,233,179.551,29.824
G25,5320,59,255,196.619,46.787,5320,0,229,88.129,79.955,5320,0,229,88.129,79.955
G26,5320,114,255,219.090,36.391,5320,8,205,79.619,35.140,5320,8,205,79.620,35.144
G27,5320,86,255,224.909,30.174,5320,32,185,104.577,25.564,5320,32,185,104.579,25.569
G28,5320,107,255,184.002,39.156,5320,34,140,71.259,28.500,5320,34,140,71.259,28.500
G29,5320,144,255,228.337,24.327,5320,0,190,128.970,47.623,5320,0,190,128.970,47.623
G30,5320,123,255,226.029,24.298,5320,46,248,166.829,51.582,5320,46,255,177.749,59.994
G31,5320,46,255,200.639,45.304,5320,27,232,135.632,48.514,5320,27,249,154.279,63.922
G32,5320,37,237,175.388,46.734,5320,15,119,86.123,27.165,5320,15,119,86.123,27.165
G33,5320,93,255,162.310,36.138,5320,26,164,75.352,32.435,5320,26,164,75.352,32.435
G34,5320,29,255,176.575,57.494,5320,0,178,28.519,25.347,5320,0,255,29.518,30.728
G35,5320,62,255,153.058,53.424,5320,62,246,150.430,50.357,5320,153,255,225.783,18.589
G36,5320,42,255,147.014,64.392,5320,42,232,138.149,58.033,5320,50,255,211.995,40.687
G37,5320,170,255,229.523,24.387,5320,91,226,157.524,39.318,5320,91,231,157.909,39.934
G38,5320,191,255,247.179,12.322,5320,104,168,130.904,13.477,5320,104,168,130.904,13.477
G39,5320,36,255,187.787,53.114,5320,36,183,119.937,30.708,5320,42,185,121.886,28.797
G40,5320,33,209,102.247,34.171,5320,33,209,102.247,34.171,5320,88,246,189.581,33.509
G41,5320,57,255,186.357,53.631,5320,57,253,173.966,43.233,5320,145,255,199.316,26.169
G42,5320,60,255,213.915,39.718,5320,55,242,165.720,30.164,5320,55,244,165.952,30.452
G43,5320,0,222,42.051,47.784,5320,0,222,42.049,47.775,5320,82,255,227.848,34.310
G44,5320,22,247,158.600,36.142,5320,22,219,146.139,31.934,5320,60,252,174.902,43.588
G45,5320,26,255,117.114,59.969,5320,26,255,115.020,56.731,5320,37,255,142.314,54.176
G46,5320,121,250,160.605,26.369,5320,120,231,160.003,25.578,5320,126,255,234.598,21.303
