Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,213,255,243.738,8.490,5320,58,187,109.748,23.434,5320,58,187,109.748,23.434
G2,5320,80,255,228.262,41.819,5320,0,147,86.739,35.298,5320,0,147,86.739,35.298
G3,5320,138,255,233.166,30.452,5320,138,215,182.142,18.914,5320,138,224,185.907,19.488
G4,5320,211,255,245.998,9.139,5320,114,220,182.029,26.934,5320,114,220,182.029,26.934
G5,5320,166,255,230.621,22.785,5320,68,241,168.598,47.347,5320,68,241,168.598,47.347
G6,5320,30,204,130.592,37.124,5320,30,204,130.592,37.124,5320,59,250,203.420,37.839
G7,5320,93,255,203.049,39.087,5320,93,254,195.723,36.745,5320,119,255,213.225,32.314
G8,5320,183,255,232.615,19.294,5320,172,253,212.196,13.997,5320,172,253,212.450,14.128
G9,5320,55,255,208.987,47.823,5320,52,245,196.186,42.916,5320,52,245,196.351,42.834
G10,5320,52,255,133.940,45.016,5320,52,239,133.054,43.408,5320,77,255,174.426,35.897
G11,5320,29,201,152.520,35.946,5320,29,201,152.520,35.946,5320,70,255,228.289,39.076
G12,5320,106,255,213.390,24.389,5320,106,251,211.794,23.197,5320,119,255,239.440,22.061
G13,5320,64,255,219.150,29.580,5320,63,251,208.875,28.122,5320,63,252,209.436,28.031
G14,5320,71,255,244.275,23.844,5320,70,241,224.792,22.862,5320,70,241,224.833,22.792
G15,5320,61,255,167.841,44.218,5320,61,235,151.136,39.552,5320,68,255,163.535,46.901
G16,5320,112,255,202.975,30.807,5320,112,246,196.040,25.480,5320,156,255,218.347,22.161
G17,5320,105,255,206.273,34.471,5320,105,252,202.151,30.873,5320,118,255,222.919,25.632
G18,5320,189,255,233.450,13.168,5320,147,248,216.635,16.075,5320,147,248,216.635,16.075
G19,5320,120,255,205.787,40.301,5320,86,237,180.329,41.898,5320,86,237,180.329,41.898
G20,5320,84,255,190.031,37.325,5320,17,155,96.915,23.762,5320,17,155,96.915,23.762
G21,5320,41,255,178.686,62.256,5320,29,237,141.716,60.879,5320,29,237,141.728,60.874
G22,5320,46,251,187.876,44.730,5320,44,220,167.847,34.346,5320,44,220,168.014,34.285
G23,5320,153,255,223.030,18.272,5320,93,204,145.135,25.690,5320,93,204,145.135,25.690
G24,5320,180,255,249.027,9.484,5320,121,219,176.811,20.676,5320,121,219,176.811,20.676
G25,5320,56,255,169.395,52.391,5320,0,188,55.289,52.128,5320,0,188,55.289,52.128
G26,5320,95,255,213.783,27.153,5320,2,223,97.825,49.863,5320,2,223,97.825,49.863
G27,5320,98,255,230.852,28.269,5320,35,178,112.371,23.288,5320,35,178,112.371,23.288
G28,5320,99,254,184.672,38.201,5320,29,145,73.230,30.658,5320,29,145,73.230,30.658
G29,5320,147,255,233.264,24.011,5320,82,199,155.509,22.951,5320,82,199,155.509,22.951
G30,5320,147,253,213.268,24.044,5320,71,230,164.736,38.728,5320,71,247,167.252,41.093
G31,5320,34,255,205.157,38.842,5320,22,246,155.031,47.408,5320,22,255,159.470,52.736
G32,5320,41,251,181.998,50.665,5320,16,153,101.433,36.362,5320,16,153,101.433,36.362
G33,5320,94,244,167.711,29.706,5320,30,153,80.030,29.669,5320,30,153,80.030,29.669
G34,5320,40,255,181.908,54.791,5320,0,107,32.402,25.092,5320,0,117,32.418,25.129
G35,5320,85,250,172.712,33.111,5320,85,246,167.301,31.141,5320,135,255,190.594,31.815
G36,5320,57,253,196.386,40.657,5320,48,252,188.387,39.179,5320,48,255,214.675,33.378
G37,5320,163,255,224.135,17.772,5320,106,237,170.499,29.693,5320,106,240,170.864,30.380
G38,5320,157,255,245.430,16.135,5320,92,171,136.948,13.020,5320,92,171,136.948,13.020
G39,5320,25,255,185.239,62.353,5320,25,185,120.299,35.141,5320,36,230,128.020,33.834
G40,5320,42,225,128.140,37.346,5320,42,225,128.140,37.346,5320,79,253,195.965,41.426
G41,5320,85,255,191.635,44.523,5320,85,252,179.208,34.185,5320,133,254,197.981,26.588
G42,5320,64,255,213.022,38.851,5320,54,236,159.704,31.782,5320,54,236,160.041,32.164
G43,5320,1,236,54.499,50.963,5320,1,234,54.481,50.906,5320,94,255,219.121,35.440
G44,5320,29,249,164.614,33.756,5320,25,218,146.609,28.329,5320,25,230,164.052,35.298
G45,5320,32,255,121.236,59.695,5320,31,255,117.750,54.719,5320,31,255,139.599,52.573
G46,5320,124,250,167.068,26.286,5320,124,223,165.989,25.104,5320,127,255,233.386,22.892
