Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,246.688,7.535,5320,35,174,79.867,30.016,5320,35,174,79.867,30.016
G2,5320,36,255,205.556,55.426,5320,0,116,28.966,28.688,5320,0,116,28.966,28.688
G3,5320,132,255,234.023,28.396,5320,113,217,178.836,18.659,5320,113,228,181.624,20.859
G4,5320,155,255,234.475,22.884,5320,65,237,166.128,33.108,5320,65,237,166.128,33.108
G5,5320,61,255,233.766,28.094,5320,10,228,127.652,49.162,5320,10,228,127.652,49.162
G6,5320,33,222,144.058,39.399,5320,33,222,144.058,39.399,5320,69,255,207.928,40.108
G7,5320,93,255,210.888,38.924,5320,93,252,197.205,32.802,5320,117,253,208.293,28.165
G8,5320,194,255,249.479,9.169,5320,152,254,224.003,21.081,5320,152,254,224.014,21.091
G9,5320,165,255,235.850,16.981,5320,38,244,162.335,46.931,5320,38,245,162.394,47.020
G10,5320,168,255,228.079,23.043,5320,34,163,125.449,29.786,5320,34,163,125.449,29.786
G11,5320,33,230,168.902,43.585,5320,33,230,168.902,43.585,5320,72,255,223.673,41.348
G12,5320,112,255,231.039,23.387,5320,110,249,213.790,27.349,5320,110,255,223.605,31.722
G13,5320,142,255,233.013,27.277,5320,28,208,111.625,43.783,5320,28,208,111.625,43.783
G14,5320,192,255,237.553,15.896,5320,0,148,56.651,29.991,5320,0,148,56.651,29.991
G15,5320,185,255,237.347,18.066,5320,0,80,13.089,17.703,5320,0,80,13.089,17.703
G16,5320,185,255,246.976,8.829,5320,0,152,60.835,48.866,5320,0,152,60.835,48.866
G17,5320,116,255,220.419,30.080,5320,112,243,199.021,23.497,5320,112,255,204.915,27.679
G18,5320,63,255,197.846,43.701,5320,0,189,74.452,60.505,5320,0,189,74.452,60.505
G19,5320,192,255,238.933,13.687,5320,0,28,2.916,5.232,5320,0,28,2.916,5.232
G20,5320,121,255,237.951,24.606,5320,0,47,3.075,7.297,5320,0,47,3.075,7.297
G21,5320,73,255,185.285,47.438,5320,0,74,29.895,26.716,5320,0,74,29.895,26.716
G22,5320,151,255,209.858,20.640,5320,24,123,87.170,22.422,5320,24,123,87.170,22.422
G23,5320,87,255,211.304,43.130,5320,0,168,77.407,55.184,5320,0,168,77.407,55.184
G24,5320,150,255,225.899,24.230,5320,0,30,6.863,6.772,5320,0,30,6.863,6.772
G25,5320,149,255,234.874,25.280,5320,1,66,45.550,15.406,5320,1,66,45.550,15.406
G26,5320,124,255,231.129,26.436,5320,0,69,27.270,22.007,5320,0,69,27.270,22.007
G27,5320,92,255,228.875,25.115,5320,0,57,6.887,11.885,5320,0,57,6.887,11.885
G28,5320,102,255,186.671,39.432,5320,0,64,16.114,17.618,5320,0,64,16.114,17.618
G29,5320,149,255,220.522,26.516,5320,0,97,19.041,17.142,5320,0,97,19.041,17.142
G30,5320,89,255,211.310,39.705,5320,16,239,111.924,63.459,5320,16,243,116.382,69.211
G31,5320,37,255,197.702,48.108,5320,7,228,106.398,64.420,5320,7,255,128.771,84.875
G32,5320,32,230,179.718,42.624,5320,0,93,46.169,29.423,5320,0,93,46.169,29.423
G33,5320,93,248,163.256,32.682,5320,1,140,51.747,31.647,5320,1,140,51.747,31.647
G34,5320,27,255,180.973,58.355,5320,0,181,20.811,24.387,5320,0,255,21.117,26.243
G35,5320,13,255,125.175,64.076,5320,13,252,107.686,51.194,5320,58,254,143.102,35.385
G36,5320,0,254,117.981,97.086,5320,0,232,101.215,83.987,5320,53,255,190.735,43.660
G37,5320,165,255,230.691,25.110,5320,66,229,140.962,44.717,5320,66,230,141.114,44.992
G38,5320,166,255,246.457,15.640,5320,68,157,118.298,12.878,5320,68,157,118.298,12.878
G39,5320,38,255,187.608,55.049,5320,38,180,115.079,30.558,5320,39,180,117.152,28.658
G40,5320,7,229,97.567,45.941,5320,7,229,97.556,45.910,5320,61,249,198.320,41.535
G41,5320,72,255,191.376,55.860,5320,72,248,173.140,42.035,5320,128,254,196.413,26.330
G42,5320,60,255,215.016,41.240,5320,49,226,161.597,34.806,5320,49,238,161.856,35.231
G43,5320,0,218,45.053,49.352,5320,0,216,45.040,49.311,5320,72,255,220.177,39.569
G44,5320,42,247,162.339,37.440,5320,42,220,148.083,35.001,5320,55,253,175.122,46.705
G45,5320,28,255,119.133,61.694,5320,28,255,116.383,57.596,5320,35,255,140.502,54.432
G46,5320,124,249,185.675,22.024,5320,119,235,183.815,21.359,5320,120,255,235.260,24.265
