Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,225,255,244.480,7.602,5320,62,194,106.689,26.094,5320,62,194,106.689,26.094
G2,5320,73,255,217.034,45.778,5320,0,137,61.280,34.065,5320,0,137,61.280,34.065
G3,5320,132,255,229.708,33.248,5320,131,239,190.099,23.695,5320,139,239,196.405,22.094
G4,5320,175,255,229.153,20.771,5320,61,248,177.015,46.641,5320,61,253,178.979,48.457
G5,5320,157,255,230.835,21.063,5320,60,243,153.511,40.597,5320,60,246,153.873,41.176
G6,5320,25,195,120.106,37.161,5320,25,195,120.106,37.161,5320,65,252,203.578,39.872
G7,5320,90,255,186.934,37.269,5320,90,244,185.193,35.508,5320,132,255,218.221,32.707
G8,5320,132,255,187.080,25.773,5320,132,245,186.801,25.154,5320,182,255,233.562,17.813
G9,5320,152,254,207.822,24.381,5320,151,252,202.419,25.180,5320,151,255,229.694,28.156
G10,5320,46,218,151.418,35.742,5320,43,218,136.995,38.581,5320,43,246,140.341,42.122
G11,5320,39,169,130.302,26.540,5320,39,169,130.302,26.540,5320,87,255,228.163,34.238
G12,5320,89,224,182.714,22.880,5320,89,224,182.714,22.880,5320,114,255,240.682,22.551
G13,5320,58,221,168.422,28.609,5320,58,221,168.422,28.609,5320,142,255,225.587,29.003
G14,5320,31,218,122.035,59.508,5320,31,218,122.035,59.508,5320,104,255,223.739,35.355
G15,5320,52,254,174.162,58.059,5320,44,250,168.214,57.562,5320,44,255,175.395,57.618
G16,5320,28,255,191.209,64.070,5320,0,250,163.169,64.022,5320,0,250,163.169,64.022
G17,5320,91,251,185.834,40.507,5320,91,249,185.213,39.876,5320,118,255,225.801,31.881
G18,5320,43,255,177.396,65.375,5320,43,252,171.629,60.559,5320,103,255,201.288,40.175
G19,5320,28,255,114.928,76.983,5320,28,243,112.018,72.461,5320,92,255,180.299,42.664
G20,5320,108,251,230.085,14.004,5320,108,251,228.393,14.030,5320,126,255,237.207,15.326
G21,5320,58,255,197.738,46.144,5320,54,252,189.405,45.669,5320,54,255,192.593,47.348
G22,5320,54,255,192.508,34.785,5320,50,242,169.587,27.077,5320,50,242,169.587,27.077
G23,5320,216,255,249.382,6.829,5320,29,225,165.050,39.711,5320,29,225,165.051,39.711
G24,5320,233,255,250.578,4.862,5320,5,229,148.267,57.594,5320,5,230,148.303,57.641
G25,5320,110,255,215.804,27.198,5320,99,238,193.457,32.754,5320,99,238,195.319,33.520
G26,5320,133,255,211.267,31.403,5320,66,244,166.887,50.671,5320,66,252,167.773,51.854
G27,5320,89,255,220.842,34.120,5320,36,160,116.951,24.041,5320,36,160,116.951,24.041
G28,5320,98,255,185.395,37.105,5320,25,151,71.351,32.993,5320,25,151,71.351,32.993
G29,5320,190,255,236.795,18.194,5320,0,188,38.914,43.810,5320,0,188,38.914,43.810
G30,5320,106,255,214.661,35.883,5320,99,242,170.380,33.997,5320,99,247,180.015,37.813
G31,5320,78,255,173.536,47.333,5320,60,231,131.432,43.474,5320,60,255,147.227,51.220
G32,5320,52,228,162.750,48.301,5320,21,113,82.872,28.424,5320,21,113,82.872,28.424
G33,5320,77,255,160.754,43.630,5320,16,166,76.986,39.785,5320,16,166,76.986,39.785
G34,5320,43,255,180.971,59.504,5320,0,157,27.316,28.468,5320,0,255,28.202,32.741
G35,5320,14,248,124.279,66.886,5320,14,230,122.184,63.705,5320,194,255,226.115,12.318
G36,5320,13,251,141.594,71.179,5320,13,240,134.729,65.635,5320,65,255,214.305,37.761
G37,5320,159,255,229.352,26.034,5320,98,235,163.364,39.427,5320,98,237,163.708,39.939
G38,5320,157,255,243.777,17.537,5320,89,173,127.516,15.401,5320,89,173,127.510,15.403
G39,5320,21,255,183.907,59.325,5320,21,185,117.494,34.125,5320,38,228,124.114,30.913
G40,5320,8,207,93.109,43.932,5320,8,207,93.109,43.932,5320,83,248,194.173,41.404
G41,5320,61,255,187.021,54.230,5320,61,252,175.701,45.052,5320,146,255,201.670,28.448
G42,5320,55,255,213.606,38.910,5320,54,241,165.527,32.568,5320,54,242,165.908,32.989
G43,5320,0,223,39.834,47.320,5320,0,223,39.834,47.320,5320,87,255,223.011,36.844
G44,5320,16,244,160.292,36.924,5320,16,218,146.234,32.009,5320,55,254,174.154,42.631
G45,5320,27,255,123.359,60.649,5320,27,255,120.255,56.407,5320,41,255,144.768,53.683
G46,5320,116,246,157.536,28.095,5320,116,228,156.828,27.051,5320,123,255,235.173,22.710
