Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,224,255,244.887,7.755,5320,46,153,78.963,18.400,5320,46,153,78.963,18.400
G2,5320,80,255,217.018,43.978,5320,14,100,58.326,14.668,5320,14,100,58.326,14.668
G3,5320,140,255,235.177,24.433,5320,92,207,138.471,26.842,5320,92,218,139.342,28.757
G4,5320,121,255,228.427,28.173,5320,18,113,79.883,22.889,5320,18,113,79.883,22.889
G5,5320,48,255,205.383,46.637,5320,1,110,48.038,28.916,5320,1,110,48.038,28.916
G6,5320,42,229,155.288,40.641,5320,42,226,155.181,40.478,5320,65,249,205.035,34.970
G7,5320,130,255,220.314,31.905,5320,55,225,150.932,42.150,5320,55,240,152.667,43.905
G8,5320,192,255,240.798,14.277,5320,0,106,19.491,25.890,5320,0,106,19.491,25.890
G9,5320,170,255,231.395,24.260,5320,0,35,2.389,6.438,5320,0,35,2.389,6.438
G10,5320,44,255,161.977,59.088,5320,0,47,20.983,11.073,5320,0,47,20.983,11.073
G11,5320,47,255,209.353,52.608,5320,47,248,194.723,45.298,5320,77,255,211.698,38.828
G12,5320,131,255,241.567,21.907,5320,33,232,144.262,50.037,5320,33,239,144.483,50.371
G13,5320,159,255,227.500,28.936,5320,0,52,4.823,10.417,5320,0,52,4.823,10.417
G14,5320,141,255,237.137,22.909,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G15,5320,74,255,206.652,40.284,5320,0,108,25.510,29.991,5320,0,108,25.510,29.991
G16,5320,43,255,225.167,49.499,5320,0,153,106.826,35.124,5320,0,153,106.826,35.124
G17,5320,131,255,225.076,31.560,5320,21,200,118.976,40.887,5320,21,200,118.976,40.887
G18,5320,160,255,215.214,26.912,5320,0,63,5.977,13.176,5320,0,63,5.977,13.176
G19,5320,144,255,227.689,24.757,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G20,5320,171,255,232.598,18.305,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G21,5320,86,255,207.717,39.890,5320,0,161,69.899,51.677,5320,0,161,69.899,51.677
G22,5320,99,255,190.511,30.100,5320,68,164,120.942,16.854,5320,68,164,120.942,16.854
G23,5320,158,255,238.169,18.657,5320,0,21,0.526,1.672,5320,0,21,0.526,1.672
G24,5320,82,255,204.786,39.941,5320,0,21,0.693,2.711,5320,0,21,0.693,2.711
G25,5320,168,255,243.241,13.167,5320,0,101,30.473,34.498,5320,0,101,30.473,34.498
G26,5320,110,255,219.345,28.254,5320,0,128,48.299,29.129,5320,0,128,48.299,29.129
G27,5320,95,255,219.878,30.388,5320,7,99,32.126,25.039,5320,7,99,32.126,25.039
G28,5320,87,255,182.567,40.402,5320,9,95,35.826,22.281,5320,9,95,35.826,22.281
G29,5320,57,255,196.261,42.871,5320,0,111,47.947,41.784,5320,0,111,47.947,41.784
G30,5320,124,255,200.125,29.441,5320,22,110,77.181,17.253,5320,22,110,77.181,17.253
G31,5320,49,252,191.525,47.970,5320,14,99,57.779,19.312,5320,14,99,57.779,19.312
G32,5320,41,247,178.576,49.354,5320,3,100,55.375,32.259,5320,3,100,55.375,32.259
G33,5320,84,250,169.548,33.288,5320,6,130,56.400,29.238,5320,6,130,56.400,29.238
G34,5320,47,255,182.828,56.399,5320,0,99,27.121,26.415,5320,0,99,27.121,26.415
G35,5320,195,255,231.176,11.070,5320,75,182,107.888,25.282,5320,75,182,107.888,25.282
G36,5320,136,255,229.680,20.949,5320,53,198,125.441,34.720,5320,53,198,125.441,34.720
G37,5320,168,255,225.127,19.585,5320,80,193,130.458,28.280,5320,80,193,130.458,28.280
G38,5320,144,255,247.462,15.869,5320,78,146,111.018,10.825,5320,78,146,111.018,10.825
G39,5320,26,255,190.083,56.241,5320,26,184,118.165,30.089,5320,34,235,124.149,36.348
G40,5320,199,255,234.428,12.939,5320,163,241,203.246,15.087,5320,163,255,205.539,18.191
G41,5320,104,255,206.230,35.501,5320,104,246,172.201,25.773,5320,124,251,176.211,27.616
G42,5320,59,255,213.916,37.501,5320,50,222,146.871,30.643,5320,50,227,146.941,30.779
G43,5320,16,240,72.464,49.578,5320,16,238,72.403,49.391,5320,86,255,224.797,36.033
G44,5320,28,241,171.995,35.705,5320,28,218,145.316,35.530,5320,50,253,163.677,48.001
G45,5320,33,255,127.056,57.703,5320,33,255,121.403,51.313,5320,40,255,138.095,49.889
G46,5320,124,247,186.803,23.526,5320,111,245,184.254,22.814,5320,111,255,233.352,25.541
