Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,209,255,243.165,9.598,5320,39,177,83.270,26.664,5320,39,177,83.270,26.664
G2,5320,71,255,223.571,43.811,5320,0,103,40.258,28.186,5320,0,103,40.258,28.186
G3,5320,135,255,232.227,29.289,5320,99,209,170.484,24.488,5320,99,227,173.994,27.383
G4,5320,194,255,239.591,11.830,5320,61,211,146.197,40.191,5320,61,211,146.197,40.191
G5,5320,161,255,237.946,15.931,5320,41,215,135.508,40.616,5320,41,215,135.508,40.616
G6,5320,29,211,133.998,36.815,5320,29,211,133.998,36.815,5320,68,250,208.527,37.999
G7,5320,68,255,204.308,40.096,5320,68,250,193.661,36.731,5320,105,255,210.622,32.652
G8,5320,183,255,230.582,20.149,5320,165,242,205.188,18.986,5320,165,242,205.188,18.986
G9,5320,201,255,246.313,11.699,5320,177,246,224.753,15.138,5320,177,246,224.755,15.137
G10,5320,173,255,228.139,20.077,5320,126,246,194.417,32.699,5320,126,246,194.552,32.719
G11,5320,31,197,146.895,36.332,5320,31,197,146.895,36.332,5320,71,255,222.289,41.364
G12,5320,86,255,213.579,25.663,5320,86,248,209.867,22.997,5320,114,255,237.874,23.123
G13,5320,129,255,221.811,30.363,5320,5,241,178.485,42.935,5320,5,241,178.485,42.935
G14,5320,126,255,224.190,35.381,5320,1,240,148.340,63.593,5320,1,240,148.340,63.593
G15,5320,165,255,223.119,25.961,5320,119,243,198.800,30.091,5320,119,243,199.046,30.187
G16,5320,74,255,205.959,43.516,5320,0,213,92.500,78.195,5320,0,213,92.504,78.200
G17,5320,105,255,207.672,37.674,5320,105,250,200.568,32.026,5320,117,255,218.978,27.252
G18,5320,47,255,172.353,61.347,5320,0,229,103.767,80.633,5320,0,229,103.767,80.633
G19,5320,49,255,202.378,46.105,5320,0,194,49.731,59.672,5320,0,194,49.731,59.672
G20,5320,25,254,159.745,55.868,5320,16,226,118.577,55.049,5320,16,226,118.577,55.049
G21,5320,29,255,178.905,66.720,5320,0,233,123.478,83.532,5320,0,233,123.478,83.532
G22,5320,46,255,174.817,48.209,5320,0,230,142.257,38.193,5320,0,230,142.257,38.193
G23,5320,66,255,218.497,56.374,5320,0,181,97.769,59.359,5320,0,181,97.769,59.359
G24,5320,60,255,163.759,59.399,5320,0,229,99.296,84.021,5320,0,229,99.296,84.021
G25,5320,206,255,238.678,9.465,5320,97,238,197.882,28.285,5320,97,238,197.882,28.285
G26,5320,115,255,205.304,30.178,5320,0,231,59.553,69.287,5320,0,231,59.553,69.287
G27,5320,102,255,221.684,28.654,5320,0,143,43.099,37.227,5320,0,143,43.099,37.227
G28,5320,107,254,189.297,36.312,5320,24,139,68.034,30.048,5320,24,139,68.034,30.048
G29,5320,57,255,191.201,42.124,5320,0,231,131.296,42.987,5320,0,255,133.709,46.660
G30,5320,146,255,225.297,23.189,5320,118,252,202.531,25.247,5320,118,255,220.248,33.618
G31,5320,61,255,200.350,47.357,5320,0,251,89.420,67.272,5320,0,255,91.996,71.773
G32,5320,39,249,177.735,49.391,5320,0,146,76.058,51.007,5320,0,146,76.058,51.007
G33,5320,95,238,163.724,29.930,5320,25,158,75.719,29.989,5320,25,158,75.719,29.989
G34,5320,42,255,180.640,56.472,5320,0,130,27.285,23.460,5320,0,165,27.317,23.594
G35,5320,0,191,69.875,65.911,5320,0,191,69.875,65.911,5320,136,255,219.715,32.763
G36,5320,0,240,113.161,95.503,5320,0,240,107.788,91.455,5320,69,255,210.439,37.179
G37,5320,155,255,221.725,19.819,5320,95,237,168.826,32.952,5320,95,248,170.658,35.747
G38,5320,146,255,245.250,15.663,5320,90,175,138.500,12.570,5320,90,175,138.500,12.570
G39,5320,43,255,190.510,54.265,5320,36,185,123.108,31.130,5320,36,193,125.192,30.023
G40,5320,0,212,84.903,51.926,5320,0,212,84.903,51.926,5320,86,247,193.157,38.988
G41,5320,73,255,182.961,49.571,5320,73,251,172.617,39.651,5320,139,255,200.430,27.689
G42,5320,69,255,213.265,38.135,5320,57,243,163.070,30.323,5320,57,245,163.378,30.631
G43,5320,0,233,39.383,50.920,5320,0,233,39.381,50.914,5320,92,255,224.408,36.574
G44,5320,17,249,159.723,34.777,5320,17,222,144.845,30.133,5320,50,255,168.958,40.634
G45,5320,34,255,119.100,62.527,5320,34,255,116.260,58.117,5320,44,255,139.920,55.314
G46,5320,124,247,174.299,26.670,5320,120,233,172.965,25.238,5320,121,255,234.546,21.120
