Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,244.343,8.516,5320,51,173,95.893,22.531,5320,51,173,95.893,22.531
G2,5320,77,255,218.419,44.705,5320,13,120,67.888,21.044,5320,13,120,67.888,21.044
G3,5320,132,255,232.131,30.543,5320,110,208,165.277,20.341,5320,110,227,169.508,24.444
G4,5320,139,255,228.993,27.484,5320,66,166,118.235,22.260,5320,66,166,118.235,22.260
G5,5320,53,255,214.170,45.488,5320,0,136,88.256,30.941,5320,0,136,88.256,30.941
G6,5320,28,184,118.742,36.997,5320,28,184,118.742,36.997,5320,65,254,204.057,39.306
G7,5320,93,255,205.347,41.473,5320,93,244,183.485,34.254,5320,125,255,198.793,32.702
G8,5320,132,255,228.257,22.831,5320,39,206,89.350,32.610,5320,39,206,89.350,32.610
G9,5320,79,255,206.739,32.746,5320,34,157,89.654,18.662,5320,34,157,89.654,18.662
G10,5320,62,219,157.584,33.878,5320,48,219,117.689,40.104,5320,48,235,119.867,43.603
G11,5320,31,191,143.873,32.730,5320,31,191,143.873,32.730,5320,79,255,225.850,37.712
G12,5320,104,255,211.733,29.896,5320,104,244,204.192,24.942,5320,118,255,233.638,25.725
G13,5320,121,255,227.990,28.511,5320,50,210,163.180,30.390,5320,50,210,163.180,30.390
G14,5320,105,255,226.001,28.746,5320,43,192,154.951,22.372,5320,43,192,154.951,22.372
G15,5320,64,250,162.427,50.440,5320,22,162,87.743,38.128,5320,22,162,87.743,38.128
G16,5320,89,255,207.842,41.175,5320,24,214,123.671,53.485,5320,24,214,123.671,53.485
G17,5320,101,255,196.036,41.682,5320,101,249,194.094,39.828,5320,115,255,224.384,30.921
G18,5320,163,255,225.414,23.600,5320,127,245,184.173,28.995,5320,127,247,184.239,29.117
G19,5320,204,255,241.930,12.928,5320,116,211,170.579,20.691,5320,116,211,170.579,20.691
G20,5320,88,255,213.137,29.038,5320,19,189,68.597,37.899,5320,19,189,68.597,37.899
G21,5320,40,255,165.939,56.667,5320,11,211,107.227,64.420,5320,11,211,107.227,64.420
G22,5320,39,255,206.367,30.538,5320,22,203,151.447,23.950,5320,22,203,151.447,23.950
G23,5320,182,255,240.495,16.070,5320,146,235,200.321,19.260,5320,146,235,200.321,19.260
G24,5320,152,255,232.621,22.072,5320,146,237,202.820,19.603,5320,146,237,202.866,19.573
G25,5320,148,255,223.618,20.113,5320,94,241,191.849,33.152,5320,94,241,192.762,33.672
G26,5320,123,255,223.858,29.833,5320,34,213,113.272,51.430,5320,34,213,113.272,51.430
G27,5320,85,255,224.150,31.560,5320,20,187,71.061,26.299,5320,20,187,71.061,26.299
G28,5320,108,255,183.871,36.670,5320,14,116,49.269,25.924,5320,14,116,49.269,25.924
G29,5320,52,255,207.378,51.827,5320,52,243,186.671,45.154,5320,52,255,187.773,45.707
G30,5320,52,255,199.654,59.407,5320,50,238,163.426,56.384,5320,50,239,163.506,56.466
G31,5320,26,255,208.306,44.669,5320,15,175,118.709,30.847,5320,15,175,118.709,30.847
G32,5320,36,238,171.411,46.418,5320,10,121,74.058,27.892,5320,10,121,74.058,27.892
G33,5320,79,255,160.883,42.600,5320,13,162,69.940,38.702,5320,13,162,69.940,38.702
G34,5320,64,255,182.013,57.704,5320,0,195,24.962,28.609,5320,0,255,25.790,32.971
G35,5320,63,238,169.294,42.496,5320,52,238,162.485,49.205,5320,52,255,180.586,59.665
G36,5320,65,255,208.912,35.542,5320,58,248,187.356,44.930,5320,58,255,188.761,45.813
G37,5320,151,255,230.493,27.156,5320,92,235,159.302,40.900,5320,92,238,159.387,41.041
G38,5320,158,255,242.919,19.707,5320,88,166,123.579,15.441,5320,88,166,123.579,15.441
G39,5320,30,255,186.614,53.838,5320,30,180,116.620,29.005,5320,41,234,121.229,31.224
G40,5320,71,237,160.614,22.930,5320,71,236,160.597,22.928,5320,81,255,200.839,27.023
G41,5320,78,255,197.276,50.408,5320,78,252,182.035,39.738,5320,101,254,199.765,27.792
G42,5320,64,255,212.584,38.915,5320,56,237,160.173,32.299,5320,56,238,160.397,32.559
G43,5320,8,215,48.812,45.353,5320,8,214,48.804,45.323,5320,85,255,221.289,37.733
G44,5320,20,248,168.473,39.927,5320,20,211,152.415,31.944,5320,36,251,177.319,40.283
G45,5320,30,255,122.426,60.606,5320,30,255,119.771,56.938,5320,41,255,144.155,54.582
G46,5320,117,252,157.681,29.098,5320,117,231,156.548,27.639,5320,126,255,234.698,22.838
