Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,243.226,9.871,5320,25,136,57.576,19.221,5320,25,136,57.576,19.221
G2,5320,79,255,235.685,31.015,5320,0,56,21.897,14.100,5320,0,56,21.897,14.100
G3,5320,125,255,235.108,25.987,5320,57,227,111.129,36.712,5320,57,231,111.903,38.305
G4,5320,196,255,246.737,9.361,5320,0,75,46.477,23.307,5320,0,75,46.477,23.307
G5,5320,198,255,236.628,13.957,5320,0,77,43.903,18.701,5320,0,77,43.903,18.701
G6,5320,41,246,161.107,47.394,5320,41,241,160.711,46.833,5320,66,253,201.619,38.905
G7,5320,122,255,221.280,31.912,5320,17,237,131.072,55.884,5320,17,237,131.492,56.288
G8,5320,60,255,210.538,43.537,5320,0,58,5.150,9.553,5320,0,58,5.150,9.553
G9,5320,61,255,203.120,55.104,5320,0,91,26.001,27.255,5320,0,91,26.001,27.255
G10,5320,56,255,184.197,54.687,5320,30,129,89.808,23.453,5320,30,129,89.926,23.525
G11,5320,56,255,218.509,42.328,5320,56,251,208.136,36.607,5320,84,255,221.710,29.268
G12,5320,125,255,239.062,26.614,5320,16,238,137.860,63.354,5320,16,239,137.891,63.393
G13,5320,112,255,215.875,31.238,5320,0,49,13.822,15.649,5320,0,49,13.822,15.649
G14,5320,86,251,175.075,36.353,5320,9,83,40.717,16.413,5320,9,83,40.717,16.413
G15,5320,72,237,171.866,40.555,5320,42,129,91.784,22.296,5320,42,129,91.784,22.296
G16,5320,60,238,170.067,38.658,5320,39,174,106.845,24.930,5320,39,174,106.845,24.930
G17,5320,112,255,226.760,31.446,5320,26,217,142.256,37.265,5320,26,217,142.256,37.265
G18,5320,165,255,244.897,18.447,5320,12,120,61.040,26.057,5320,12,120,61.040,26.057
G19,5320,165,255,215.319,22.358,5320,7,81,37.735,13.598,5320,7,81,37.735,13.598
G20,5320,169,255,241.476,16.801,5320,0,115,40.455,37.825,5320,0,115,40.455,37.825
G21,5320,50,255,166.939,57.622,5320,0,170,84.892,42.416,5320,0,170,84.892,42.416
G22,5320,46,255,180.385,39.860,5320,32,170,124.204,24.797,5320,32,170,124.204,24.797
G23,5320,170,255,230.560,22.706,5320,0,101,37.371,31.907,5320,0,101,37.371,31.907
G24,5320,156,255,226.750,32.385,5320,0,55,6.307,10.625,5320,0,55,6.307,10.625
G25,5320,156,255,218.545,24.463,5320,0,5,0.069,0.453,5320,0,5,0.069,0.453
G26,5320,93,255,221.313,32.458,5320,0,134,18.293,36.196,5320,0,134,18.293,36.196
G27,5320,108,255,223.393,30.574,5320,0,111,34.990,27.279,5320,0,111,34.990,27.279
G28,5320,108,255,187.469,35.571,5320,2,103,39.065,27.544,5320,2,103,39.065,27.544
G29,5320,125,255,221.602,29.454,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G30,5320,88,255,184.861,37.305,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G31,5320,26,255,190.789,43.267,5320,0,66,3.668,12.458,5320,0,66,3.668,12.458
G32,5320,46,235,170.203,51.246,5320,0,66,35.826,24.715,5320,0,66,35.826,24.715
G33,5320,86,255,158.669,36.945,5320,4,137,51.044,32.603,5320,4,137,51.044,32.603
G34,5320,48,255,182.552,57.095,5320,0,180,20.783,25.644,5320,0,255,21.191,28.106
G35,5320,152,255,242.242,18.524,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G36,5320,50,255,217.801,34.792,5320,0,186,63.665,67.261,5320,0,186,63.665,67.261
G37,5320,160,255,231.042,26.187,5320,58,183,116.398,36.368,5320,58,183,116.398,36.368
G38,5320,170,255,245.274,16.947,5320,64,137,104.566,13.497,5320,64,137,104.559,13.496
G39,5320,29,255,188.225,52.411,5320,29,174,110.154,27.085,5320,42,240,114.732,31.171
G40,5320,44,249,193.402,50.330,5320,0,238,119.641,84.488,5320,0,254,120.972,86.115
G41,5320,100,255,210.328,34.201,5320,100,243,169.208,24.676,5320,130,254,172.256,26.293
G42,5320,61,255,211.190,39.776,5320,52,221,147.209,30.459,5320,52,227,147.280,30.601
G43,5320,16,242,81.364,45.606,5320,16,238,81.286,45.362,5320,66,255,225.159,37.785
G44,5320,35,249,165.758,35.340,5320,35,219,145.770,34.014,5320,52,255,166.248,46.714
G45,5320,28,255,126.106,59.969,5320,28,255,121.962,54.502,5320,33,255,142.241,53.117
G46,5320,113,255,197.936,23.781,5320,94,251,193.317,23.314,5320,94,255,233.486,26.573
