Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,211,255,244.724,8.626,5320,52,184,103.721,24.981,5320,52,184,103.721,24.981
G2,5320,73,255,217.412,47.917,5320,3,135,67.055,32.480,5320,3,135,67.055,32.480
G3,5320,135,255,232.230,30.014,5320,134,223,184.162,20.346,5320,137,223,187.646,20.449
G4,5320,199,255,237.291,14.081,5320,73,247,171.416,43.211,5320,73,247,171.435,43.236
G5,5320,138,255,220.723,28.739,5320,61,244,157.478,40.207,5320,61,255,161.714,45.511
G6,5320,32,204,133.312,37.314,5320,32,204,133.312,37.314,5320,65,253,204.518,38.249
G7,5320,90,255,205.087,38.707,5320,90,254,199.907,36.813,5320,116,255,216.340,30.762
G8,5320,67,255,210.277,45.075,5320,63,253,200.429,44.799,5320,63,254,200.740,44.964
G9,5320,44,254,157.923,53.680,5320,44,248,156.158,53.038,5320,93,255,197.389,48.558
G10,5320,0,242,92.023,59.981,5320,0,240,91.430,59.009,5320,39,255,187.296,60.633
G11,5320,33,215,160.616,39.459,5320,33,215,160.616,39.459,5320,75,255,225.562,38.809
G12,5320,113,255,220.232,23.388,5320,113,251,214.496,23.460,5320,116,255,232.706,26.848
G13,5320,116,255,223.810,29.372,5320,111,235,171.174,24.562,5320,111,235,171.182,24.571
G14,5320,28,253,185.517,58.272,5320,28,172,123.949,33.091,5320,78,180,130.716,23.191
G15,5320,18,255,169.465,79.613,5320,18,215,108.353,48.372,5320,73,241,137.167,36.390
G16,5320,178,255,234.269,19.139,5320,85,193,139.843,20.085,5320,85,193,139.843,20.085
G17,5320,112,255,216.927,35.058,5320,112,247,192.449,25.246,5320,115,255,200.707,29.678
G18,5320,58,255,212.319,49.551,5320,0,192,96.563,58.033,5320,0,192,96.563,58.033
G19,5320,84,255,230.943,26.101,5320,0,109,44.125,35.558,5320,0,109,44.125,35.558
G20,5320,138,255,215.379,34.489,5320,51,121,77.869,12.605,5320,51,121,77.869,12.605
G21,5320,67,255,182.979,52.952,5320,25,180,102.368,39.097,5320,25,180,102.368,39.097
G22,5320,73,252,188.996,35.592,5320,46,174,127.658,21.237,5320,46,174,127.658,21.237
G23,5320,90,255,213.454,51.394,5320,0,121,50.298,36.465,5320,0,121,50.298,36.465
G24,5320,54,248,161.630,45.791,5320,0,59,20.383,20.529,5320,0,59,20.383,20.529
G25,5320,110,255,202.405,33.400,5320,0,97,41.475,31.051,5320,0,97,41.475,31.051
G26,5320,101,255,222.603,32.761,5320,0,134,18.701,36.414,5320,0,134,18.701,36.414
G27,5320,98,255,219.811,30.444,5320,0,105,26.579,29.913,5320,0,105,26.579,29.913
G28,5320,100,255,184.904,40.234,5320,8,101,38.805,23.143,5320,8,101,38.805,23.143
G29,5320,98,255,189.820,38.631,5320,0,49,22.003,13.474,5320,0,49,22.003,13.474
G30,5320,91,237,159.451,32.676,5320,0,18,0.818,2.661,5320,0,18,0.818,2.661
G31,5320,57,248,177.051,41.915,5320,0,45,1.969,7.028,5320,0,45,1.969,7.028
G32,5320,40,249,174.215,49.864,5320,0,83,40.570,29.873,5320,0,83,40.570,29.873
G33,5320,92,242,165.411,30.328,5320,8,129,54.823,27.524,5320,8,129,54.823,27.524
G34,5320,45,255,183.176,55.098,5320,0,95,23.961,25.605,5320,0,95,23.961,25.605
G35,5320,142,255,237.211,24.752,5320,0,111,15.784,23.715,5320,0,111,15.784,23.715
G36,5320,78,255,205.871,36.435,5320,0,182,69.412,58.187,5320,0,182,69.412,58.187
G37,5320,160,255,223.176,19.936,5320,48,183,116.536,28.871,5320,48,183,116.536,28.871
G38,5320,166,255,245.486,14.918,5320,69,142,111.014,11.372,5320,69,142,111.014,11.372
G39,5320,37,255,189.420,56.102,5320,37,174,112.973,27.398,5320,38,242,119.630,32.139
G40,5320,207,255,239.642,13.633,5320,111,242,204.493,23.430,5320,111,249,206.001,24.740
G41,5320,99,255,204.699,36.798,5320,98,245,166.115,29.307,5320,121,250,170.203,31.660
G42,5320,62,255,212.353,39.385,5320,46,214,146.597,28.282,5320,46,223,146.665,28.420
G43,5320,22,240,78.966,45.607,5320,22,237,78.905,45.415,5320,80,255,227.092,38.424
G44,5320,19,248,172.271,33.832,5320,19,218,148.279,32.943,5320,23,255,167.016,45.495
G45,5320,26,255,127.374,59.015,5320,26,255,122.437,52.733,5320,27,255,141.774,52.054
G46,5320,121,250,168.138,29.122,5320,119,227,166.710,27.485,5320,122,255,234.704,24.239
