Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,191,255,244.503,11.988,5320,42,171,95.759,22.689,5320,42,171,95.759,22.689
G2,5320,68,255,215.512,49.555,5320,36,139,87.068,19.176,5320,36,139,87.068,19.176
G3,5320,136,255,232.758,29.800,5320,114,205,154.918,21.792,5320,114,235,157.874,26.131
G4,5320,129,255,231.475,24.529,5320,56,143,111.423,18.733,5320,56,143,111.423,18.733
G5,5320,51,255,208.527,46.924,5320,42,197,101.737,25.372,5320,42,215,102.664,27.834
G6,5320,29,204,134.300,39.423,5320,29,204,134.298,39.419,5320,68,248,203.269,37.399
G7,5320,99,255,209.261,38.342,5320,99,242,181.498,36.812,5320,114,255,192.994,38.906
G8,5320,125,255,232.448,27.468,5320,64,218,118.910,33.489,5320,64,218,118.910,33.489
G9,5320,90,255,222.242,39.791,5320,53,222,121.406,46.985,5320,53,222,121.406,46.985
G10,5320,32,246,102.898,47.753,5320,32,214,94.261,40.210,5320,53,250,121.458,43.929
G11,5320,30,192,149.702,30.053,5320,30,192,149.702,30.053,5320,69,255,229.936,34.363
G12,5320,114,255,212.246,25.962,5320,114,243,208.150,21.211,5320,128,255,237.300,20.937
G13,5320,115,255,221.206,30.074,5320,100,241,201.942,25.158,5320,100,255,215.398,24.567
G14,5320,75,255,224.185,50.872,5320,75,254,209.649,43.720,5320,147,255,227.317,19.658
G15,5320,33,255,172.459,78.857,5320,33,254,157.771,67.873,5320,51,254,169.237,56.382
G16,5320,27,171,119.411,30.338,5320,27,171,119.411,30.338,5320,110,255,217.364,31.701
G17,5320,104,245,192.644,32.620,5320,104,245,192.533,32.496,5320,118,255,224.602,29.918
G18,5320,42,239,166.466,49.374,5320,42,236,166.387,49.293,5320,53,255,223.351,26.202
G19,5320,38,251,127.839,47.350,5320,38,251,127.831,47.334,5320,51,255,190.295,45.417
G20,5320,70,255,196.705,36.779,5320,69,254,193.140,35.267,5320,70,255,220.455,34.039
G21,5320,16,226,140.477,54.379,5320,16,226,139.767,54.389,5320,36,255,175.231,59.759
G22,5320,34,249,181.483,43.095,5320,34,229,178.964,40.429,5320,45,255,192.537,37.257
G23,5320,40,255,200.790,36.638,5320,40,250,196.880,35.844,5320,50,255,202.542,35.111
G24,5320,92,242,177.513,28.797,5320,92,242,177.498,28.769,5320,111,255,213.730,23.477
G25,5320,0,172,83.643,52.049,5320,0,172,83.643,52.049,5320,68,255,162.528,44.186
G26,5320,0,219,57.836,62.995,5320,0,219,57.836,62.995,5320,77,255,194.527,37.102
G27,5320,38,255,184.127,58.831,5320,38,232,171.114,50.459,5320,67,239,199.484,30.243
G28,5320,92,255,184.297,38.864,5320,45,199,110.887,42.116,5320,45,199,110.887,42.116
G29,5320,48,245,169.305,60.350,5320,48,245,165.431,57.398,5320,69,255,190.601,49.982
G30,5320,0,131,39.139,39.600,5320,0,131,39.139,39.600,5320,26,197,116.460,40.229
G31,5320,0,192,37.811,52.594,5320,0,192,37.811,52.594,5320,22,255,164.751,53.905
G32,5320,36,248,166.797,52.615,5320,36,198,139.729,41.352,5320,36,207,146.570,42.020
G33,5320,86,251,164.467,33.176,5320,35,179,96.993,33.835,5320,35,179,96.993,33.835
G34,5320,52,255,179.735,58.643,5320,6,128,46.719,24.076,5320,6,128,46.738,24.088
G35,5320,4,255,98.998,58.078,5320,0,222,79.348,49.070,5320,0,255,146.199,65.822
G36,5320,2,255,132.518,68.100,5320,0,214,120.389,65.287,5320,0,255,184.462,56.715
G37,5320,155,255,218.613,21.438,5320,122,236,189.480,21.890,5320,122,248,194.708,26.691
G38,5320,143,255,246.711,15.422,5320,92,186,149.915,16.216,5320,92,186,149.915,16.216
G39,5320,17,255,183.833,66.116,5320,17,193,125.752,40.454,5320,35,245,137.455,36.457
G40,5320,20,255,127.225,45.782,5320,0,199,98.535,48.199,5320,0,248,173.654,80.039
G41,5320,58,255,177.955,52.362,5320,58,247,171.184,44.466,5320,132,255,203.760,30.700
G42,5320,54,255,214.255,38.962,5320,52,239,169.512,34.099,5320,52,244,170.042,34.599
G43,5320,0,226,34.487,49.690,5320,0,226,34.487,49.690,5320,23,255,222.370,38.747
G44,5320,0,248,164.550,39.138,5320,0,219,147.503,33.410,5320,52,255,173.883,41.876
G45,5320,33,255,125.978,59.182,5320,33,255,122.372,54.386,5320,39,255,147.802,52.223
G46,5320,128,248,181.851,28.442,5320,118,241,179.971,27.197,5320,118,255,236.476,23.564
