Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,226,255,245.149,7.843,5320,41,167,78.806,25.387,5320,41,167,78.806,25.387
G2,5320,71,255,220.443,46.548,5320,0,100,35.005,25.940,5320,0,100,35.005,25.940
G3,5320,136,255,235.420,26.209,5320,102,213,161.723,23.320,5320,102,233,163.706,26.418
G4,5320,200,255,240.646,11.315,5320,48,174,125.112,29.699,5320,48,174,125.112,29.699
G5,5320,156,255,240.502,16.507,5320,26,161,100.814,30.521,5320,26,161,100.814,30.521
G6,5320,32,209,140.041,41.432,5320,32,209,140.041,41.432,5320,64,254,204.795,39.335
G7,5320,109,255,213.229,36.496,5320,109,248,188.646,29.788,5320,131,251,197.622,29.611
G8,5320,207,255,242.866,12.111,5320,130,192,157.239,9.870,5320,130,192,157.239,9.870
G9,5320,194,255,249.572,8.146,5320,105,171,150.008,13.011,5320,105,171,150.008,13.011
G10,5320,58,255,160.133,40.509,5320,26,155,89.178,27.283,5320,26,155,89.178,27.283
G11,5320,32,214,161.406,37.499,5320,32,214,161.406,37.499,5320,71,255,227.341,38.930
G12,5320,115,255,223.793,23.610,5320,114,248,208.592,23.585,5320,118,255,225.962,31.392
G13,5320,118,255,225.340,34.189,5320,0,191,96.707,45.585,5320,0,191,96.707,45.585
G14,5320,44,255,191.337,40.090,5320,0,127,66.792,32.693,5320,0,127,66.792,32.693
G15,5320,56,255,176.788,41.922,5320,19,162,66.005,33.018,5320,19,162,66.005,33.018
G16,5320,45,255,164.771,46.158,5320,0,166,48.184,31.192,5320,0,166,48.184,31.192
G17,5320,111,255,210.190,35.585,5320,110,250,200.494,28.912,5320,115,255,216.952,27.361
G18,5320,79,255,188.356,52.291,5320,0,221,114.605,70.573,5320,0,221,114.605,70.573
G19,5320,40,255,162.190,51.507,5320,0,176,80.977,62.960,5320,0,176,80.977,62.960
G20,5320,177,255,224.832,25.148,5320,111,166,132.856,13.022,5320,111,166,132.856,13.022
G21,5320,52,255,202.490,49.479,5320,18,192,132.657,46.863,5320,18,192,132.657,46.863
G22,5320,45,247,189.247,40.901,5320,0,174,101.417,37.314,5320,0,174,101.417,37.314
G23,5320,203,255,246.570,8.793,5320,72,214,164.881,28.793,5320,72,214,164.881,28.793
G24,5320,174,255,241.823,15.421,5320,65,187,129.719,33.176,5320,65,187,129.719,33.176
G25,5320,145,255,210.386,29.507,5320,0,156,83.743,41.909,5320,0,156,83.743,41.909
G26,5320,35,255,188.219,50.456,5320,0,179,60.613,66.895,5320,0,179,60.613,66.895
G27,5320,101,255,228.813,27.704,5320,23,150,79.853,18.615,5320,23,150,79.853,18.615
G28,5320,100,254,185.652,37.900,5320,8,100,43.239,22.790,5320,8,100,43.239,22.790
G29,5320,164,255,221.998,21.303,5320,4,154,82.353,37.714,5320,4,154,82.353,37.714
G30,5320,175,255,218.946,17.595,5320,30,211,143.033,30.292,5320,30,211,143.033,30.292
G31,5320,33,255,199.704,47.611,5320,0,224,105.867,67.489,5320,0,224,105.867,67.489
G32,5320,41,231,165.501,40.546,5320,10,107,68.269,23.186,5320,10,107,68.269,23.186
G33,5320,91,249,164.695,30.993,5320,12,142,63.161,30.322,5320,12,142,63.161,30.322
G34,5320,40,255,181.458,56.418,5320,0,97,23.301,24.861,5320,0,124,23.314,24.900
G35,5320,165,255,228.471,23.781,5320,135,216,185.515,18.486,5320,135,216,185.515,18.486
G36,5320,42,255,218.001,32.682,5320,38,234,187.255,33.046,5320,38,234,187.392,33.065
G37,5320,161,255,234.467,26.957,5320,81,228,156.220,35.571,5320,81,228,156.220,35.571
G38,5320,177,255,248.132,12.719,5320,104,158,127.287,9.405,5320,104,158,127.287,9.405
G39,5320,29,255,189.905,54.765,5320,29,177,117.717,29.008,5320,38,241,122.017,32.385
G40,5320,72,236,169.800,27.196,5320,72,228,167.734,26.328,5320,80,255,195.590,42.624
G41,5320,78,255,199.885,46.285,5320,78,245,181.483,34.491,5320,107,255,195.912,26.499
G42,5320,61,255,213.668,39.626,5320,54,235,157.354,29.856,5320,54,236,157.503,30.130
G43,5320,9,227,56.495,45.109,5320,9,225,56.477,45.042,5320,84,255,224.948,38.434
G44,5320,14,247,161.214,36.758,5320,14,219,145.217,29.371,5320,21,255,169.258,36.420
G45,5320,30,255,122.323,61.248,5320,30,255,118.871,56.392,5320,36,255,142.610,53.333
G46,5320,124,246,186.258,23.265,5320,115,238,184.332,22.643,5320,116,255,235.864,24.577
