Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,202,255,240.020,12.768,5320,40,169,81.217,24.448,5320,40,169,81.217,24.448
G2,5320,86,255,218.390,45.932,5320,0,96,37.486,24.550,5320,0,96,37.486,24.550
G3,5320,136,255,232.316,25.922,5320,95,216,164.762,26.068,5320,95,227,165.388,27.114
G4,5320,124,255,229.444,24.881,5320,39,191,140.104,35.308,5320,39,191,140.104,35.308
G5,5320,90,255,229.712,27.862,5320,26,205,142.342,36.948,5320,26,205,142.342,36.948
G6,5320,37,215,140.543,40.002,5320,37,215,140.543,40.002,5320,86,255,207.672,33.748
G7,5320,92,255,212.083,36.776,5320,92,248,193.967,31.415,5320,113,255,204.001,30.187
G8,5320,97,255,225.596,37.301,5320,60,206,152.799,29.226,5320,60,206,152.799,29.226
G9,5320,108,255,215.969,41.876,5320,84,239,185.338,33.367,5320,84,247,196.308,30.843
G10,5320,64,192,113.228,26.191,5320,64,184,112.950,25.698,5320,104,255,194.214,39.540
G11,5320,28,206,152.781,36.717,5320,28,206,152.781,36.717,5320,66,255,225.377,43.111
G12,5320,109,255,213.615,27.343,5320,109,248,205.834,22.064,5320,122,255,229.983,27.015
G13,5320,69,255,197.266,37.259,5320,59,240,176.814,38.984,5320,59,255,183.585,45.838
G14,5320,79,218,147.173,29.379,5320,79,218,144.684,28.939,5320,105,241,160.502,26.842
G15,5320,72,231,116.355,34.411,5320,72,231,116.355,34.411,5320,84,255,184.451,38.101
G16,5320,133,255,216.265,29.259,5320,133,240,205.013,22.998,5320,169,255,234.245,19.960
G17,5320,105,247,194.274,31.342,5320,105,246,194.165,31.294,5320,118,255,224.719,29.567
G18,5320,125,229,194.251,23.037,5320,125,229,194.228,23.027,5320,130,255,220.795,27.755
G19,5320,77,226,168.042,29.891,5320,75,226,167.497,30.371,5320,75,255,180.935,36.034
G20,5320,54,255,165.682,54.833,5320,54,252,159.131,52.554,5320,59,255,166.437,54.416
G21,5320,37,255,175.213,52.945,5320,35,254,167.156,53.196,5320,35,255,169.425,54.621
G22,5320,43,255,194.965,31.731,5320,42,250,180.982,26.845,5320,43,250,181.049,26.801
G23,5320,112,255,215.040,33.844,5320,66,254,188.417,46.710,5320,66,254,189.795,47.211
G24,5320,127,255,219.311,35.437,5320,127,254,209.969,29.414,5320,137,255,213.131,26.433
G25,5320,80,235,152.249,37.632,5320,80,235,152.159,37.646,5320,86,255,174.573,42.076
G26,5320,62,255,212.135,25.759,5320,62,254,211.261,26.091,5320,72,255,233.202,29.261
G27,5320,84,255,201.221,40.605,5320,54,243,158.891,28.113,5320,54,243,160.824,28.821
G28,5320,96,255,181.458,40.873,5320,28,167,84.076,39.208,5320,28,167,84.076,39.208
G29,5320,149,255,232.830,25.717,5320,41,242,158.769,64.375,5320,41,246,160.452,66.013
G30,5320,58,238,147.005,33.796,5320,58,232,146.595,33.134,5320,112,251,187.125,40.760
G31,5320,43,203,137.283,35.411,5320,37,203,136.114,36.465,5320,37,255,193.285,51.441
G32,5320,32,222,161.151,41.916,5320,26,204,113.346,34.380,5320,26,222,114.600,36.466
G33,5320,81,255,163.780,43.037,5320,14,175,84.601,40.341,5320,14,175,84.601,40.341
G34,5320,43,255,182.477,59.700,5320,0,142,28.730,28.304,5320,0,255,28.862,28.880
G35,5320,4,176,68.930,49.347,5320,4,176,68.852,49.230,5320,115,255,191.792,34.821
G36,5320,5,252,102.802,93.917,5320,5,249,100.674,91.496,5320,60,255,213.279,32.063
G37,5320,139,255,233.738,31.693,5320,103,247,183.753,37.842,5320,103,250,184.103,38.298
G38,5320,181,255,245.202,14.937,5320,101,182,136.389,18.465,5320,101,182,136.389,18.465
G39,5320,19,255,184.799,58.314,5320,19,182,119.664,31.050,5320,40,241,127.993,31.807
G40,5320,8,220,74.105,41.092,5320,8,219,74.105,41.092,5320,104,253,196.777,40.529
G41,5320,58,255,181.723,61.464,5320,58,248,172.448,53.297,5320,96,255,206.354,28.726
G42,5320,70,255,212.130,37.981,5320,58,235,165.838,32.517,5320,58,242,166.411,32.968
G43,5320,0,222,42.331,47.420,5320,0,222,42.331,47.420,5320,66,255,213.814,41.594
G44,5320,35,245,166.692,38.269,5320,35,212,147.341,30.619,5320,36,234,168.535,39.577
G45,5320,33,255,127.745,56.445,5320,33,255,124.432,52.133,5320,41,255,150.278,50.816
G46,5320,128,254,196.245,29.345,5320,109,252,188.951,26.786,5320,109,255,223.575,35.597
