Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,204,255,242.696,10.111,5320,45,186,94.839,27.486,5320,45,186,94.839,27.486
G2,5320,76,255,218.606,43.116,5320,0,124,50.189,28.955,5320,0,124,50.189,28.955
G3,5320,133,255,231.955,30.506,5320,125,220,180.990,22.303,5320,125,235,185.261,23.268
G4,5320,160,255,227.978,22.363,5320,68,242,164.642,46.131,5320,68,242,164.696,46.195
G5,5320,110,255,232.797,23.432,5320,39,247,170.792,48.003,5320,39,253,171.047,48.375
G6,5320,27,198,126.232,39.278,5320,27,198,126.232,39.278,5320,69,253,205.719,39.617
G7,5320,95,255,199.842,37.888,5320,95,249,194.936,35.149,5320,119,255,217.082,30.462
G8,5320,173,255,223.547,19.699,5320,173,247,221.137,17.933,5320,183,255,230.963,18.592
G9,5320,199,255,237.376,9.887,5320,199,251,236.704,9.163,5320,211,255,250.634,7.305
G10,5320,209,255,236.210,10.776,5320,208,253,233.578,9.363,5320,210,255,250.024,7.620
G11,5320,31,188,140.521,31.523,5320,31,188,140.521,31.523,5320,76,255,225.245,38.163
G12,5320,98,253,200.108,27.548,5320,98,253,199.945,27.477,5320,118,255,239.298,23.207
G13,5320,110,255,220.313,30.758,5320,94,253,211.405,34.219,5320,94,255,213.582,35.819
G14,5320,108,255,202.538,44.075,5320,92,251,190.499,45.888,5320,92,255,191.328,46.931
G15,5320,106,255,232.682,26.759,5320,91,250,202.858,38.776,5320,91,250,203.043,38.917
G16,5320,124,255,226.391,25.307,5320,97,231,192.530,27.746,5320,97,238,192.881,28.016
G17,5320,99,251,191.266,37.337,5320,99,251,191.153,37.220,5320,118,255,226.687,29.776
G18,5320,50,255,167.764,60.397,5320,41,253,154.699,63.257,5320,41,255,155.116,63.842
G19,5320,107,255,222.910,29.532,5320,86,237,182.393,27.502,5320,86,237,182.393,27.502
G20,5320,97,255,220.559,36.741,5320,39,248,163.603,43.939,5320,39,248,163.603,43.939
G21,5320,81,255,176.049,45.265,5320,33,239,140.339,51.136,5320,33,239,140.339,51.136
G22,5320,86,255,189.804,28.583,5320,78,233,165.162,23.679,5320,78,233,165.162,23.679
G23,5320,78,255,205.712,56.463,5320,55,247,172.204,55.533,5320,55,247,172.204,55.533
G24,5320,44,246,170.343,59.582,5320,26,181,111.000,43.856,5320,26,181,111.000,43.856
G25,5320,39,255,178.845,61.892,5320,24,178,96.064,35.584,5320,24,178,96.064,35.584
G26,5320,83,255,212.704,40.557,5320,40,242,173.045,55.153,5320,40,242,173.045,55.153
G27,5320,102,255,217.631,33.228,5320,42,221,118.453,24.335,5320,42,221,118.453,24.335
G28,5320,92,255,186.637,37.999,5320,24,156,79.163,33.755,5320,24,156,79.163,33.755
G29,5320,44,255,187.256,41.167,5320,29,254,165.801,53.181,5320,29,255,167.891,55.855
G30,5320,142,255,209.642,24.771,5320,122,253,205.137,27.776,5320,122,255,212.911,32.260
G31,5320,111,255,213.061,29.097,5320,58,254,171.139,44.731,5320,58,254,171.711,45.605
G32,5320,46,249,172.559,52.974,5320,21,163,105.817,41.053,5320,21,163,105.817,41.053
G33,5320,76,244,160.765,34.575,5320,21,169,81.073,32.473,5320,21,169,81.073,32.473
G34,5320,29,255,181.549,55.169,5320,0,199,36.255,23.577,5320,0,255,36.691,26.180
G35,5320,90,229,174.964,17.333,5320,90,226,174.955,17.310,5320,120,255,232.869,22.243
G36,5320,58,240,178.608,40.664,5320,58,238,175.870,39.644,5320,81,255,212.672,32.081
G37,5320,151,255,223.128,19.897,5320,102,230,177.640,30.479,5320,102,242,179.295,32.751
G38,5320,142,255,245.243,15.413,5320,97,178,143.757,12.467,5320,97,178,143.757,12.467
G39,5320,30,255,188.459,51.347,5320,30,183,122.115,30.006,5320,36,237,126.294,32.368
G40,5320,30,204,118.843,30.512,5320,30,204,118.843,30.512,5320,57,252,193.962,38.302
G41,5320,83,255,183.271,47.492,5320,83,252,173.596,37.065,5320,147,255,200.314,25.655
G42,5320,58,255,217.587,33.972,5320,54,249,164.472,27.293,5320,54,250,164.630,27.525
G43,5320,0,233,49.614,45.621,5320,0,232,49.607,45.594,5320,84,255,219.253,35.682
G44,5320,27,247,167.706,38.064,5320,27,225,149.211,29.336,5320,31,243,173.211,37.228
G45,5320,29,255,124.857,60.122,5320,29,255,121.126,55.023,5320,43,255,143.714,52.718
G46,5320,125,247,172.223,26.995,5320,123,231,170.833,25.411,5320,127,255,236.756,22.088
