Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,243.897,8.982,5320,35,167,71.980,26.189,5320,35,167,71.980,26.189
G2,5320,61,255,212.443,49.569,5320,0,85,22.899,21.831,5320,0,85,22.899,21.831
G3,5320,137,255,233.842,26.854,5320,86,209,160.799,25.122,5320,86,233,163.095,28.173
G4,5320,166,255,223.091,26.224,5320,38,193,121.312,39.470,5320,38,193,121.312,39.470
G5,5320,94,255,220.253,26.285,5320,11,179,100.531,33.528,5320,11,179,100.531,33.528
G6,5320,32,209,135.602,41.291,5320,32,209,135.602,41.291,5320,68,254,205.692,39.530
G7,5320,92,255,212.127,37.469,5320,92,249,192.554,31.146,5320,112,252,202.666,29.814
G8,5320,182,255,228.421,19.230,5320,144,219,184.487,14.667,5320,144,219,184.487,14.667
G9,5320,141,255,232.716,24.564,5320,101,223,189.535,22.571,5320,101,223,189.535,22.571
G10,5320,60,255,193.790,53.865,5320,53,224,152.893,37.599,5320,53,224,152.893,37.599
G11,5320,43,222,164.872,38.346,5320,43,222,164.872,38.346,5320,85,255,226.959,37.976
G12,5320,120,255,224.436,24.919,5320,120,248,211.003,25.647,5320,121,255,224.928,31.410
G13,5320,104,255,221.721,25.254,5320,85,210,156.617,25.691,5320,85,210,156.617,25.691
G14,5320,104,255,213.441,37.528,5320,0,155,96.698,32.443,5320,0,155,96.698,32.443
G15,5320,70,247,176.885,38.326,5320,0,206,59.763,60.054,5320,0,206,59.763,60.054
G16,5320,85,244,190.472,37.159,5320,0,157,52.352,43.178,5320,0,157,52.352,43.178
G17,5320,117,255,215.037,33.788,5320,113,230,185.184,24.562,5320,113,255,195.530,31.984
G18,5320,60,255,217.652,47.737,5320,0,165,77.694,55.617,5320,0,165,77.694,55.617
G19,5320,62,255,216.116,35.118,5320,0,101,6.874,15.984,5320,0,101,6.874,15.984
G20,5320,44,255,200.833,43.564,5320,0,76,21.553,25.244,5320,0,76,21.553,25.244
G21,5320,38,255,174.096,56.239,5320,0,109,37.547,29.752,5320,0,109,37.547,29.752
G22,5320,70,255,186.669,42.202,5320,16,136,92.668,23.698,5320,16,136,92.668,23.698
G23,5320,84,255,202.945,52.321,5320,0,122,36.342,41.641,5320,0,122,36.342,41.641
G24,5320,70,255,157.103,42.840,5320,0,59,2.538,9.726,5320,0,59,2.538,9.726
G25,5320,84,255,236.548,28.916,5320,0,138,92.618,32.308,5320,0,138,92.618,32.308
G26,5320,60,255,161.652,48.744,5320,12,138,52.523,29.879,5320,12,138,52.523,29.879
G27,5320,88,255,228.658,30.786,5320,5,80,42.418,16.106,5320,5,80,42.418,16.106
G28,5320,97,255,183.997,39.852,5320,0,76,22.266,19.988,5320,0,76,22.266,19.988
G29,5320,97,255,221.946,31.844,5320,0,85,23.993,22.814,5320,0,85,23.993,22.814
G30,5320,150,255,238.703,22.893,5320,28,165,125.041,26.347,5320,28,165,125.041,26.347
G31,5320,56,255,214.534,42.160,5320,5,168,107.764,47.259,5320,5,168,107.764,47.259
G32,5320,37,247,177.686,49.669,5320,3,111,63.465,33.931,5320,3,111,63.465,33.931
G33,5320,90,246,163.872,31.456,5320,4,135,53.474,32.091,5320,4,135,53.474,32.091
G34,5320,39,255,184.139,56.902,5320,0,176,25.442,27.805,5320,0,255,25.784,29.586
G35,5320,132,255,204.600,23.245,5320,10,235,149.113,43.812,5320,10,255,159.768,53.544
G36,5320,90,255,205.587,42.979,5320,90,243,178.449,37.877,5320,110,255,197.609,33.703
G37,5320,152,255,223.907,19.868,5320,79,233,150.017,37.350,5320,79,234,150.159,37.637
G38,5320,138,255,245.794,16.063,5320,80,158,122.885,9.699,5320,80,158,122.885,9.699
G39,5320,22,255,186.058,60.545,5320,22,180,115.028,32.019,5320,38,225,122.943,32.406
G40,5320,93,219,134.521,18.411,5320,93,218,134.518,18.401,5320,131,255,224.480,16.162
G41,5320,79,255,193.335,46.805,5320,79,245,175.634,33.122,5320,126,253,194.150,26.747
G42,5320,61,255,212.940,37.290,5320,51,232,155.022,30.085,5320,51,232,155.283,30.431
G43,5320,7,237,51.266,49.926,5320,7,233,51.229,49.797,5320,100,255,226.140,33.487
G44,5320,13,238,170.845,37.211,5320,13,217,149.898,31.469,5320,39,251,171.383,43.072
G45,5320,27,255,125.327,58.541,5320,27,255,121.447,53.865,5320,41,255,142.597,52.570
G46,5320,125,246,174.992,23.843,5320,116,232,173.592,22.741,5320,117,255,234.240,22.954
