Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,243.198,10.035,5320,79,241,162.585,38.594,5320,79,247,162.746,38.879
G2,5320,65,255,218.616,49.692,5320,10,237,127.526,47.102,5320,10,237,127.553,47.142
G3,5320,43,255,176.697,39.996,5320,43,246,176.150,39.113,5320,68,255,231.043,26.179
G4,5320,46,255,169.721,48.385,5320,46,246,166.617,46.347,5320,65,255,194.279,40.220
G5,5320,126,255,230.093,21.328,5320,63,252,209.292,33.861,5320,63,255,217.618,37.125
G6,5320,20,171,88.690,32.192,5320,20,171,88.690,32.192,5320,65,255,211.782,36.014
G7,5320,42,153,99.823,21.084,5320,42,153,99.823,21.084,5320,95,255,206.407,34.004
G8,5320,36,177,95.180,20.501,5320,36,177,95.180,20.501,5320,104,255,186.208,48.354
G9,5320,62,225,125.968,41.868,5320,62,225,125.968,41.868,5320,115,252,195.509,39.451
G10,5320,33,164,91.448,28.550,5320,33,164,91.448,28.550,5320,50,255,202.730,43.274
G11,5320,12,113,81.857,22.493,5320,12,113,81.857,22.493,5320,71,255,224.662,43.305
G12,5320,46,114,99.146,10.824,5320,46,114,99.146,10.824,5320,115,255,237.031,25.851
G13,5320,38,108,77.123,11.091,5320,38,108,77.123,11.091,5320,107,255,226.012,26.896
G14,5320,51,108,79.989,10.780,5320,51,108,79.989,10.780,5320,138,255,213.798,34.463
G15,5320,37,141,81.230,18.098,5320,37,141,81.230,18.098,5320,125,253,193.885,26.493
G16,5320,47,210,157.142,33.883,5320,40,210,156.580,34.939,5320,40,255,213.130,55.909
G17,5320,54,174,124.634,26.124,5320,54,174,124.634,26.124,5320,117,255,227.021,31.762
G18,5320,63,166,101.094,22.692,5320,63,166,101.094,22.692,5320,206,255,245.853,12.001
G19,5320,25,131,62.116,20.384,5320,25,131,62.116,20.384,5320,76,255,210.242,41.613
G20,5320,31,151,106.080,28.809,5320,31,151,106.080,28.809,5320,80,255,187.417,45.469
G21,5320,81,190,142.192,21.918,5320,81,190,142.192,21.918,5320,142,255,218.321,29.615
G22,5320,47,229,160.814,32.850,5320,42,225,159.837,32.985,5320,42,255,182.245,37.184
G23,5320,116,247,185.137,31.769,5320,116,247,185.137,31.769,5320,215,255,248.540,7.922
G24,5320,24,214,105.573,50.734,5320,24,214,105.573,50.734,5320,80,255,221.108,31.105
G25,5320,30,151,98.677,25.419,5320,30,151,98.677,25.419,5320,110,255,227.045,19.683
G26,5320,16,254,140.833,49.514,5320,0,197,88.011,60.347,5320,0,255,144.351,101.403
G27,5320,86,255,199.036,41.168,5320,73,242,180.634,33.993,5320,73,255,188.773,35.692
G28,5320,91,255,184.812,38.468,5320,50,208,121.662,44.580,5320,50,208,121.662,44.580
G29,5320,29,224,162.067,44.815,5320,29,224,162.067,44.815,5320,109,255,227.783,31.859
G30,5320,0,101,20.252,26.752,5320,0,101,20.112,26.511,5320,61,255,209.029,42.711
G31,5320,0,193,67.797,57.080,5320,0,166,60.842,48.467,5320,24,255,170.599,58.705
G32,5320,32,248,159.554,57.622,5320,32,220,145.353,51.233,5320,39,224,154.269,48.375
G33,5320,86,252,165.242,33.339,5320,38,193,106.295,35.706,5320,38,193,106.295,35.706
G34,5320,39,255,184.369,56.640,5320,7,135,52.839,26.577,5320,7,135,52.865,26.609
G35,5320,0,91,10.836,18.103,5320,0,91,10.836,18.103,5320,159,255,217.012,23.523
G36,5320,0,188,76.169,74.013,5320,0,188,76.169,74.013,5320,60,255,220.210,33.367
G37,5320,133,255,211.905,27.575,5320,133,252,195.265,22.344,5320,138,253,207.339,23.304
G38,5320,157,255,246.699,15.991,5320,103,196,158.722,18.879,5320,103,196,158.722,18.879
G39,5320,18,255,184.379,64.670,5320,18,194,129.402,40.030,5320,35,230,138.806,35.306
G40,5320,0,163,62.773,40.336,5320,0,163,62.773,40.336,5320,79,249,197.093,35.882
G41,5320,48,255,163.230,59.248,5320,48,242,157.960,52.126,5320,111,255,203.868,30.936
G42,5320,70,255,212.966,38.802,5320,58,233,172.825,33.444,5320,58,243,173.774,34.172
G43,5320,0,219,32.329,46.697,5320,0,219,32.329,46.697,5320,81,255,226.136,34.806
G44,5320,19,245,161.888,38.928,5320,19,223,147.954,31.557,5320,60,255,179.058,42.578
G45,5320,27,255,114.777,55.420,5320,27,255,113.700,53.732,5320,40,255,142.197,53.343
G46,5320,91,238,139.049,35.970,5320,91,233,138.903,35.687,5320,129,255,238.371,19.602
